,Orientation,TR1,TR2,TR3
112,22.5,9402.0,12788.0,22445.0
113,23.5,8537.0,12021.0,20942.0
114,24.5,8193.0,10774.0,18827.0
115,25.5,7665.0,10370.0,17085.0
116,26.5,7368.0,9751.0,15316.0
117,27.5,6928.0,8854.0,13937.0
118,28.5,6559.0,8063.0,12160.0
119,29.5,6342.0,7468.0,10653.0
120,30.5,5667.0,6855.0,8675.0
121,31.5,5094.0,6526.0,7737.0
122,32.5,4880.0,5855.0,6873.0
123,33.5,4606.0,4769.0,6107.0
124,34.5,4297.0,4279.0,5619.0
125,35.5,4110.0,3771.0,5376.0
126,36.5,3752.0,3198.0,4277.0
127,37.5,3280.0,2861.0,3532.0
128,38.5,3066.0,2640.0,3251.0
129,39.5,2773.0,2598.0,2665.0
130,40.5,2414.0,2474.0,2137.0
131,41.5,2026.0,2196.0,1845.0
132,42.5,1742.0,1811.0,1709.0
133,43.5,1450.0,1648.0,1515.0
134,44.5,1252.0,1502.0,1438.0
135,45.5,1190.0,1397.0,1364.0
136,46.5,1008.0,1288.0,1296.0
137,47.5,971.0,1208.0,1274.0
138,48.5,758.0,1086.0,1237.0
139,49.5,676.0,985.0,1153.0
140,50.5,606.0,873.0,937.0
141,51.5,573.0,866.0,732.0
142,52.5,503.0,768.0,656.0
143,53.5,479.0,660.0,607.0
144,54.5,524.0,553.0,629.0
145,55.5,423.0,527.0,652.0
146,56.5,404.0,512.0,524.0
147,57.5,405.0,469.0,436.0
148,58.5,354.0,429.0,400.0
149,59.5,359.0,409.0,339.0
150,60.5,310.0,325.0,262.0
151,61.5,337.0,317.0,263.0
152,62.5,278.0,288.0,266.0
153,63.5,297.0,220.0,206.0
154,64.5,266.0,179.0,243.0
155,65.5,258.0,185.0,262.0
156,66.5,260.0,168.0,253.0
157,67.5,240.0,162.0,227.0
158,68.5,226.0,164.0,184.0
159,69.5,215.0,147.0,202.0
160,70.5,253.0,153.0,196.0
161,71.5,202.0,165.0,184.0
162,72.5,211.0,145.0,174.0
163,73.5,229.0,139.0,146.0
164,74.5,229.0,119.0,167.0
165,75.5,229.0,108.0,174.0
166,76.5,228.0,120.0,177.0
167,77.5,232.0,125.0,155.0
168,78.5,238.0,121.0,138.0
169,79.5,187.0,112.0,154.0
170,80.5,196.0,106.0,118.0
171,81.5,196.0,117.0,121.0
172,82.5,191.0,127.0,121.0
173,83.5,174.0,117.0,92.0
174,84.5,191.0,109.0,91.0
175,85.5,183.0,115.0,102.0
176,86.5,191.0,116.0,88.0
177,87.5,198.0,121.0,99.0
178,88.5,210.0,98.0,88.0
179,89.5,203.0,142.0,77.0
