,Orientation,TR1,TR2,TR3
0,-89.5,223.0,120.0,88.0
1,-88.5,219.0,114.0,85.0
2,-87.5,189.0,122.0,82.0
3,-86.5,225.0,115.0,82.0
4,-85.5,212.0,148.0,82.0
5,-84.5,232.0,146.0,73.0
6,-83.5,193.0,140.0,73.0
7,-82.5,198.0,157.0,69.0
8,-81.5,198.0,131.0,83.0
9,-80.5,191.0,128.0,87.0
10,-79.5,187.0,110.0,79.0
11,-78.5,197.0,121.0,84.0
12,-77.5,210.0,117.0,80.0
13,-76.5,172.0,164.0,69.0
14,-75.5,192.0,151.0,87.0
15,-74.5,235.0,157.0,91.0
16,-73.5,261.0,143.0,89.0
17,-72.5,253.0,145.0,95.0
18,-71.5,302.0,140.0,110.0
19,-70.5,309.0,132.0,98.0
20,-69.5,429.0,155.0,101.0
21,-68.5,312.0,138.0,121.0
22,-67.5,295.0,163.0,118.0
23,-66.5,319.0,184.0,118.0
24,-65.5,342.0,139.0,152.0
25,-64.5,303.0,158.0,146.0
26,-63.5,317.0,175.0,145.0
27,-62.5,357.0,175.0,172.0
28,-61.5,348.0,206.0,209.0
29,-60.5,327.0,181.0,215.0
30,-59.5,381.0,209.0,243.0
31,-58.5,388.0,183.0,340.0
32,-57.5,418.0,209.0,298.0
33,-56.5,393.0,250.0,289.0
34,-55.5,391.0,254.0,327.0
35,-54.5,480.0,282.0,345.0
36,-53.5,529.0,292.0,394.0
37,-52.5,530.0,350.0,382.0
38,-51.5,681.0,480.0,392.0
39,-50.5,697.0,579.0,407.0
40,-49.5,770.0,622.0,482.0
41,-48.5,895.0,617.0,540.0
42,-47.5,1057.0,654.0,592.0
43,-46.5,1103.0,730.0,659.0
44,-45.5,1247.0,709.0,691.0
45,-44.5,1539.0,816.0,820.0
46,-43.5,1898.0,1067.0,1026.0
47,-42.5,2089.0,1243.0,935.0
48,-41.5,2590.0,1347.0,931.0
49,-40.5,3368.0,1638.0,1045.0
50,-39.5,3674.0,2091.0,1267.0
51,-38.5,4037.0,2250.0,1329.0
52,-37.5,4373.0,2620.0,1320.0
53,-36.5,4809.0,2753.0,1327.0
54,-35.5,5015.0,2871.0,1440.0
55,-34.5,5440.0,3306.0,1589.0
56,-33.5,6319.0,3728.0,1641.0
57,-32.5,7072.0,3992.0,1736.0
58,-31.5,7703.0,4188.0,1746.0
59,-30.5,8298.0,4461.0,1861.0
60,-29.5,8764.0,4744.0,2085.0
61,-28.5,9311.0,4979.0,2174.0
62,-27.5,9793.0,5654.0,2244.0
63,-26.5,10662.0,6263.0,2572.0
64,-25.5,11395.0,6812.0,2702.0
65,-24.5,12038.0,7448.0,2887.0
66,-23.5,12525.0,7868.0,2841.0
67,-22.5,13022.0,8293.0,3221.0
68,-21.5,13524.0,9009.0,3426.0
69,-20.5,14763.0,9924.0,3685.0
70,-19.5,15648.0,10789.0,4100.0
71,-18.5,16312.0,11234.0,4414.0
72,-17.5,16996.0,11942.0,4889.0
73,-16.5,16983.0,12592.0,5022.0
74,-15.5,17799.0,13535.0,5781.0
75,-14.5,18294.0,14099.0,6541.0
76,-13.5,18175.0,14768.0,7134.0
77,-12.5,18348.0,15410.0,7963.0
78,-11.5,19246.0,16333.0,8990.0
79,-10.5,19841.0,16963.0,9730.0
80,-9.5,20332.0,17706.0,9820.0
81,-8.5,20285.0,18632.0,10468.0
82,-7.5,20826.0,19645.0,10785.0
83,-6.5,20710.0,20512.0,11375.0
84,-5.5,20923.0,20877.0,11829.0
85,-4.5,20985.0,21582.0,12760.0
86,-3.5,20979.0,22588.0,13776.0
87,-2.5,21109.0,22944.0,15351.0
88,-1.5,20856.0,22761.0,17040.0
89,-0.5,20943.0,22708.0,17648.0
90,0.5,20558.0,22882.0,18646.0
91,1.5,19543.0,22922.0,19639.0
92,2.5,18847.0,22798.0,20769.0
93,3.5,18223.0,22922.0,22059.0
94,4.5,17984.0,22621.0,23330.0
95,5.5,17482.0,22091.0,24699.0
96,6.5,17500.0,22360.0,25670.0
97,7.5,17120.0,21724.0,26667.0
98,8.5,16481.0,21462.0,27824.0
99,9.5,16352.0,21000.0,28700.0
100,10.5,15966.0,20931.0,30112.0
101,11.5,15589.0,20479.0,30846.0
102,12.5,14777.0,19563.0,30964.0
103,13.5,14158.0,18943.0,30546.0
104,14.5,13896.0,18725.0,30664.0
105,15.5,13102.0,17837.0,30340.0
106,16.5,12190.0,17031.0,29331.0
107,17.5,11776.0,16391.0,28835.0
108,18.5,11608.0,15450.0,27919.0
109,19.5,10644.0,14854.0,27362.0
110,20.5,10182.0,14281.0,25469.0
111,21.5,9786.0,13797.0,23968.0
