,Orientation,TR1,TR2,TR3
0,-89.5,1464.0,2012.0,3102.0
1,-88.5,1465.0,2019.0,3053.0
2,-87.5,1531.0,2059.0,3106.0
3,-86.5,1510.0,2117.0,3155.0
4,-85.5,1535.0,2233.0,3197.0
5,-84.5,1510.0,2318.0,3127.0
6,-83.5,1520.0,2383.0,3135.0
7,-82.5,1569.0,2358.0,3043.0
8,-81.5,1576.0,2355.0,3167.0
9,-80.5,1607.0,2315.0,3337.0
10,-79.5,1659.0,2333.0,3397.0
11,-78.5,1736.0,2527.0,3587.0
12,-77.5,1861.0,2543.0,3561.0
13,-76.5,1940.0,2631.0,3826.0
14,-75.5,1948.0,2892.0,3814.0
15,-74.5,1987.0,2887.0,3994.0
16,-73.5,2080.0,2898.0,4060.0
17,-72.5,2125.0,2992.0,4176.0
18,-71.5,2206.0,3030.0,4384.0
19,-70.5,2281.0,3212.0,4361.0
20,-69.5,2470.0,3267.0,4587.0
21,-68.5,2467.0,3488.0,4735.0
22,-67.5,2536.0,3625.0,4895.0
23,-66.5,2580.0,3749.0,5217.0
24,-65.5,2773.0,3908.0,5405.0
25,-64.5,2985.0,4036.0,5594.0
26,-63.5,2959.0,4565.0,5649.0
27,-62.5,2931.0,4690.0,5947.0
28,-61.5,3197.0,5162.0,6166.0
29,-60.5,3198.0,5274.0,6608.0
30,-59.5,3378.0,5492.0,6853.0
31,-58.5,3625.0,5863.0,7163.0
32,-57.5,3829.0,6300.0,7543.0
33,-56.5,3985.0,6542.0,7784.0
34,-55.5,4416.0,6840.0,7812.0
35,-54.5,4715.0,7199.0,8065.0
36,-53.5,4809.0,7766.0,8455.0
37,-52.5,5041.0,8157.0,8618.0
38,-51.5,5267.0,8511.0,8798.0
39,-50.5,5468.0,8881.0,9038.0
40,-49.5,5728.0,9299.0,9461.0
41,-48.5,5775.0,9987.0,9910.0
42,-47.5,6189.0,10401.0,10564.0
43,-46.5,6641.0,10322.0,10862.0
44,-45.5,6886.0,10815.0,10862.0
45,-44.5,7194.0,11279.0,11008.0
46,-43.5,7409.0,11876.0,11013.0
47,-42.5,7826.0,12336.0,10756.0
48,-41.5,8130.0,12274.0,10204.0
49,-40.5,8323.0,12345.0,9882.0
50,-39.5,8811.0,12267.0,10111.0
51,-38.5,8798.0,12107.0,10164.0
52,-37.5,8801.0,11805.0,10223.0
53,-36.5,9078.0,11684.0,9771.0
54,-35.5,9128.0,11948.0,9522.0
55,-34.5,9463.0,11998.0,9316.0
56,-33.5,9609.0,11817.0,9204.0
57,-32.5,9350.0,11429.0,8760.0
58,-31.5,9287.0,11090.0,8204.0
59,-30.5,9050.0,10982.0,7979.0
60,-29.5,8807.0,10828.0,7592.0
61,-28.5,8634.0,10745.0,7490.0
62,-27.5,8689.0,10635.0,7237.0
63,-26.5,8544.0,10538.0,6953.0
64,-25.5,8714.0,10521.0,6572.0
65,-24.5,8692.0,10077.0,6335.0
66,-23.5,8466.0,10053.0,5929.0
67,-22.5,8539.0,9497.0,5758.0
68,-21.5,8508.0,9494.0,5653.0
69,-20.5,8569.0,9301.0,5430.0
70,-19.5,8341.0,9004.0,5260.0
71,-18.5,8151.0,9168.0,5127.0
72,-17.5,8183.0,8988.0,5104.0
73,-16.5,8024.0,8561.0,4919.0
74,-15.5,8297.0,8132.0,4859.0
75,-14.5,8285.0,8225.0,4832.0
76,-13.5,8249.0,7993.0,4558.0
