,P7,P28,P70
227,43.727,40.083,5.05
228,18.348,36.567,56.897
229,17.197,1.215,19.115
230,50.44,25.572,45.39
231,38.677,4.859,39.828
232,37.91,26.722,44.303
233,47.627,25.572,59.71
234,29.088,39.572,60.349
235,47.18,27.425,21.992
236,16.302,60.285,44.047
237,53.7,60.924,37.654
238,27.617,11.699,47.243
239,44.814,3.964,55.938
240,42.513,32.604,39.508
241,25.124,6.585,4.539
242,26.722,40.787,40.851
243,52.23,41.49,67.061
244,23.654,55.81,61.372
245,49.673,36.951,47.627
246,71.409,25.891,64.568
247,82.98,54.915,38.549
248,3.196,43.024,83.747
249,4.475,33.179,64.121
250,30.238,19.946,8.183
251,51.271,8.886,8.247
252,68.468,10.293,21.544
253,56.257,38.293,26.658
254,49.481,35.864,46.86
255,62.586,54.851,58.495
256,42.768,30.366,63.993
257,24.357,2.429,31.325
258,48.266,37.462,23.078
259,51.718,26.786,64.057
260,6.904,57.472,25.38
261,7.16,47.691,38.357
262,6.201,36.695,26.914
263,7.735,41.042,26.786
264,50.376,12.019,29.407
265,91.93,19.626,50.312
266,52.805,32.668,41.618
267,49.225,62.139,29.216
268,46.348,38.293,66.294
269,26.53,34.33,52.997
270,51.271,44.239,7.032
271,22.95,26.658,47.499
272,23.59,41.873,32.284
273,57.28,27.937,42.641
274,0.959,23.206,41.298
275,55.171,43.6,48.522
276,48.714,25.252,34.266
277,146.845,37.079,33.754
278,0.959,29.471,30.366
279,47.435,24.293,3.388
280,59.901,25.763,47.883
281,21.16,43.663,5.69
282,53.445,8.822,41.042
283,45.134,0.767,101.967
284,1.662,31.837,62.778
285,22.055,19.818,61.947
286,2.365,5.242,39.764
287,2.174,38.485,27.809
288,34.649,20.01,75.053
289,3.772,10.101,79.016
290,39.188,22.695,21.16
291,43.088,32.987,25.763
292,17.964,33.946,36.951
293,63.801,48.011,50.951
294,52.933,57.216,61.052
295,41.426,34.33,47.755
296,41.49,32.412,50.376
297,30.047,30.878,28.193
298,50.312,27.873,45.07
299,50.248,33.754,12.338
300,29.343,25.38,28.512
301,44.622,53.508,66.102
302,57.152,23.59,1.726
303,19.179,25.124,72.367
304,40.723,36.695,52.613
305,50.951,53.317,86.624
306,94.103,26.467,0.959
