,P7,P28,P70
0,22045.50545053077,23935.12020343341,17546.422705524492
1,19256.074148626878,24115.08351323366,17546.422705524492
2,21685.57883093027,21055.70724662939,18266.275944725498
3,25914.716611236174,20245.87235252826,17906.349325124993
4,24924.91840733479,22855.340344631903,20335.854007428385
5,23395.230274032656,19166.092493726752,23035.303654432155
6,20425.83566232851,20965.725591729264,21235.670556429643
7,19885.945732927757,22405.432070131275,21235.670556429643
8,16736.58781142336,23755.156893633157,23485.211928932782
