,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-F-Actin,StdDev-F-Actin,Mode-F-Actin,Min-F-Actin,Max-F-Actin,XM-F-Actin,YM-F-Actin,IntDen-F-Actin,Median-F-Actin,RawIntDen-F-Actin
0,54.787,4.412,3.349,31.041,0.253,0.253,10.114,7.332,9.899,7.047,23.655,0.715,11.927,1.0,26.0,32.005,7.332,1.405,0.712,0.934,80.403,22.289,83.0,10.0,140.0,4.288,3.44,4402.595,80.0,68905.0,15.309,8.686,10.0,2.0,59.0,4.943,3.318,838.285,13.0,13120.0
1,10.484,20.93,1.286,13.837,18.205,0.253,5.31,2.276,5.472,2.439,0.38,0.688,5.597,72.0,1.0,161.565,2.276,2.243,0.446,0.948,67.848,17.411,71.0,25.0,125.0,20.999,1.206,710.945,68.0,11127.0,27.329,13.997,11.0,8.0,75.0,20.841,1.476,286.372,26.0,4482.0
2,11.443,26.788,1.444,13.751,24.273,0.253,5.057,2.781,5.238,2.782,1.491,0.761,5.358,96.0,8.0,19.29,2.781,1.883,0.531,0.94,43.101,31.898,14.0,7.0,136.0,27.323,1.125,492.94,31.0,7715.0,34.464,19.804,22.0,9.0,92.0,26.658,1.735,394.16,28.0,6169.0
3,18.667,34.897,1.465,21.842,30.088,0.253,9.102,2.781,9.536,2.492,179.776,0.492,9.324,119.0,9.0,12.529,2.781,3.826,0.261,0.88,73.791,27.495,76.0,9.0,152.0,35.078,1.412,1376.717,73.0,21547.0,22.767,11.736,16.0,2.0,80.0,34.745,1.6,424.765,20.0,6648.0
4,7.224,50.37,1.388,10.298,48.798,0.253,3.287,2.528,3.466,2.654,6.173,0.856,3.859,193.0,9.0,31.608,2.528,1.306,0.766,0.95,54.637,21.161,37.0,18.0,101.0,50.352,1.169,394.48,54.0,6174.0,27.726,15.986,16.0,5.0,81.0,50.285,1.64,200.179,24.0,3133.0
5,20.265,64.591,1.854,19.053,61.441,0.253,7.08,4.298,6.638,3.887,8.315,0.702,7.372,244.0,12.0,22.166,4.298,1.708,0.586,0.928,79.965,32.943,72.0,11.0,154.0,64.864,1.786,1619.641,85.0,25349.0,19.492,14.48,10.0,3.0,98.0,64.139,2.129,394.799,15.0,6179.0
6,9.525,73.983,1.09,14.823,70.796,0.253,6.321,2.276,5.806,2.089,179.691,0.545,6.366,280.0,1.0,173.157,2.276,2.78,0.36,0.92,87.128,24.747,117.0,29.0,136.0,73.72,1.053,829.468,89.0,12982.0,18.933,9.908,14.0,3.0,64.0,74.242,1.205,180.244,16.0,2821.0
7,30.686,86.96,1.808,26.071,81.415,0.253,10.872,3.793,10.302,3.792,1.101,0.567,10.919,322.0,1.0,174.685,3.793,2.716,0.368,0.931,68.335,33.38,81.0,10.0,148.0,86.834,1.631,2095.777,72.0,32801.0,21.915,17.979,9.0,3.0,117.0,86.895,2.147,672.098,15.0,10519.0
8,18.667,122.315,1.804,17.858,119.088,0.253,6.574,3.54,6.311,3.766,1.774,0.736,6.651,471.0,1.0,171.254,3.54,1.676,0.597,0.947,65.01,31.689,26.0,13.0,152.0,122.219,1.584,1212.894,61.0,18983.0,14.866,12.613,9.0,1.0,78.0,121.931,2.093,277.363,11.0,4341.0
9,1.918,128.14,0.683,5.833,126.926,0.253,2.276,1.011,2.546,0.959,174.828,0.708,2.49,502.0,1.0,156.038,1.011,2.655,0.377,0.909,64.133,22.75,42.0,23.0,107.0,128.244,0.634,122.931,70.0,1924.0,15.9,5.88,16.0,6.0,29.0,127.973,0.712,30.477,16.0,477.0
10,56.833,12.876,4.409,30.102,7.838,0.506,10.367,8.091,11.081,6.53,32.099,0.788,11.581,34.0,34.0,36.119,7.146,1.697,0.589,0.925,62.21,27.946,80.0,7.0,130.0,12.851,4.25,3533.641,66.0,55305.0,27.406,17.627,18.0,6.0,124.0,12.922,4.255,1556.706,22.0,24364.0
11,27.17,43.403,2.272,22.174,39.443,0.506,8.597,4.045,9.096,3.803,9.45,0.694,8.968,157.0,17.0,21.501,4.045,2.392,0.418,0.953,87.795,36.245,85.0,8.0,179.0,43.552,2.129,2384.065,90.0,37313.0,22.134,11.935,15.0,7.0,113.0,42.946,2.432,601.048,19.0,9407.0
12,31.645,57.091,2.633,22.741,52.591,0.506,8.344,4.804,8.457,4.764,169.891,0.769,8.529,208.0,7.0,168.024,4.804,1.775,0.563,0.955,85.808,32.752,95.0,10.0,177.0,56.82,2.467,2713.885,91.0,42475.0,19.626,11.638,15.0,6.0,113.0,57.276,2.524,620.727,16.0,9715.0
13,45.39,97.413,3.432,26.168,92.54,0.506,9.355,6.321,9.44,6.122,166.121,0.833,9.628,366.0,9.0,166.329,6.321,1.542,0.649,0.942,71.117,27.776,80.0,9.0,145.0,97.343,3.31,3226.184,75.0,50493.0,20.055,14.874,10.0,3.0,108.0,96.619,3.101,909.782,15.0,14239.0
14,77.162,112.398,3.842,35.899,105.688,0.506,13.653,7.332,13.618,7.214,177.95,0.752,13.737,418.0,11.0,173.66,7.244,1.888,0.53,0.949,64.244,27.9,63.0,5.0,139.0,112.376,3.791,4954.445,66.0,77542.0,18.465,10.713,11.0,2.0,67.0,112.114,3.666,1423.999,15.0,22287.0
15,37.782,78.829,4.254,24.651,74.335,1.011,8.849,6.068,8.698,5.531,1.11,0.781,9.025,294.0,23.0,11.31,6.068,1.573,0.636,0.929,81.164,35.076,78.0,5.0,186.0,78.48,4.04,3064.853,86.0,47968.0,27.318,15.024,17.0,3.0,89.0,79.083,4.269,1031.564,23.0,16145.0
16,6.329,103.786,2.415,9.496,102.401,1.011,2.781,2.781,3.155,2.554,46.231,0.882,3.594,406.0,15.0,50.711,2.781,1.236,0.809,0.917,21.343,4.044,19.0,14.0,37.0,103.723,2.426,135.007,21.0,2113.0,22.616,13.701,10.0,2.0,71.0,103.793,2.428,143.058,19.0,2239.0
