,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-F-Actin,StdDev-F-Actin,Mode-F-Actin,Min-F-Actin,Max-F-Actin,XM-F-Actin,YM-F-Actin,IntDen-F-Actin,Median-F-Actin,RawIntDen-F-Actin
0,1.982,1.064,0.828,5.18,0.253,0.253,1.77,1.264,1.951,1.294,15.007,0.928,2.175,1.0,6.0,35.538,1.264,1.508,0.663,0.954,85.129,74.306,24.0,20.0,248.0,0.989,0.59,168.615,47.0,2639.0,18.419,6.142,17.0,8.0,34.0,1.031,0.841,36.483,17.0,571.0
1,3.772,6.37,0.804,8.423,4.551,0.253,3.54,1.264,3.682,1.304,178.309,0.668,3.62,18.0,1.0,167.905,1.264,2.823,0.354,0.937,124.881,33.68,98.0,75.0,220.0,6.341,0.76,470.769,116.0,7368.0,12.271,3.552,11.0,5.0,24.0,6.325,0.828,46.259,12.0,724.0
2,1.343,17.067,0.632,4.464,16.182,0.253,1.77,0.759,1.997,0.856,0.0,0.846,1.926,64.0,1.0,156.801,0.759,2.333,0.429,1.0,199.333,41.301,163.0,131.0,255.0,17.116,0.639,267.459,201.0,4186.0,19.095,8.988,10.0,6.0,37.0,17.082,0.699,25.621,18.0,401.0
3,14.256,21.904,1.529,16.846,18.71,0.253,6.574,2.781,6.77,2.681,5.856,0.631,6.808,74.0,8.0,15.068,2.72,2.525,0.396,0.903,109.184,61.551,28.0,21.0,255.0,22.612,1.417,1555.684,117.0,24348.0,14.744,6.128,13.0,4.0,41.0,21.622,1.627,210.082,14.0,3288.0
4,18.539,28.908,1.861,19.375,25.031,0.253,7.585,3.287,7.984,2.956,10.732,0.621,8.267,99.0,14.0,23.429,3.043,2.701,0.37,0.906,124.321,59.549,131.0,6.0,255.0,28.601,1.809,2303.559,134.0,36053.0,10.79,5.416,8.0,3.0,46.0,28.778,1.906,199.923,10.0,3129.0
5,15.279,46.992,1.405,18.93,43.489,0.253,7.585,3.287,6.811,2.856,4.286,0.536,7.652,172.0,1.0,172.405,3.287,2.385,0.419,0.84,97.134,62.452,28.0,9.0,255.0,47.24,1.219,1483.292,95.0,23215.0,17.117,11.259,12.0,3.0,58.0,47.038,1.746,261.389,13.0,4091.0
6,2.238,53.259,0.704,6.339,52.085,0.253,2.528,1.011,2.799,1.018,4.919,0.7,2.723,206.0,5.0,21.801,1.011,2.75,0.364,0.933,22.286,8.913,14.0,10.0,53.0,53.035,0.677,49.837,21.0,780.0,17.143,6.852,16.0,6.0,35.0,53.093,0.709,38.336,16.0,600.0
7,24.868,64.22,2.27,20.386,60.935,0.253,7.08,4.298,7.107,4.455,12.751,0.752,7.854,243.0,18.0,33.179,4.298,1.595,0.627,0.944,144.103,55.495,255.0,18.0,255.0,64.246,2.176,3581.625,136.0,56056.0,7.828,3.38,5.0,0.0,24.0,64.047,2.301,194.556,7.0,3045.0
8,3.452,77.337,0.796,8.066,75.6,0.253,3.287,1.264,3.485,1.261,175.947,0.667,3.373,299.0,1.0,167.005,1.264,2.763,0.362,0.923,152.241,77.822,255.0,21.0,255.0,77.228,0.648,525.27,156.0,8221.0,13.204,7.517,7.0,4.0,43.0,77.518,0.902,45.556,11.0,713.0
9,0.959,82.3,0.632,3.453,81.668,0.253,1.264,0.759,1.427,0.856,0.0,1.0,1.474,323.0,1.0,149.036,0.759,1.667,0.6,1.0,9.4,2.947,11.0,4.0,15.0,82.335,0.655,9.009,10.0,141.0,13.067,6.216,16.0,5.0,30.0,82.264,0.682,12.523,12.0,196.0
10,39.252,87.351,2.863,27.18,82.679,0.253,10.114,6.068,9.222,5.419,15.483,0.668,10.425,327.0,11.0,14.036,5.954,1.702,0.588,0.884,135.725,63.909,255.0,5.0,255.0,87.045,2.898,5324.581,137.0,83335.0,10.347,7.317,9.0,1.0,53.0,87.232,3.145,405.917,9.0,6353.0
11,2.621,95.96,0.891,6.043,94.816,0.253,2.276,1.264,2.458,1.358,171.311,0.902,2.603,375.0,1.0,150.945,1.264,1.81,0.552,0.953,7.78,2.455,5.0,3.0,14.0,95.881,0.836,20.382,8.0,319.0,16.585,5.736,14.0,8.0,34.0,95.857,0.949,43.448,15.0,680.0
12,1.662,98.686,0.729,4.822,97.85,0.253,1.77,1.011,1.949,1.086,6.693,0.898,2.038,387.0,5.0,29.745,1.011,1.796,0.557,0.963,11.846,7.535,10.0,5.0,42.0,98.806,0.658,19.679,10.0,308.0,14.308,5.781,10.0,7.0,29.0,98.633,0.752,23.768,14.0,372.0
13,67.317,118.172,2.301,47.938,109.986,0.253,19.216,5.815,20.312,4.22,6.274,0.368,20.005,435.0,23.0,16.144,5.495,4.814,0.208,0.795,97.877,73.842,15.0,5.0,255.0,119.26,2.245,6585.204,107.0,103065.0,10.979,9.458,8.0,1.0,85.0,118.295,2.159,738.675,8.0,11561.0
14,43.216,10.458,3.689,26.884,6.068,0.506,9.355,6.827,10.039,5.481,33.427,0.751,10.884,24.0,26.0,30.735,6.362,1.832,0.546,0.918,121.836,62.36,255.0,8.0,255.0,10.514,3.594,5262.349,125.0,82361.0,9.198,5.442,8.0,0.0,39.0,10.455,3.87,397.291,8.0,6218.0
15,36.376,37.731,2.438,26.367,32.617,0.506,10.619,4.045,11.107,4.17,4.38,0.657,10.81,129.0,15.0,10.784,4.045,2.664,0.375,0.952,145.65,55.801,255.0,8.0,255.0,37.932,2.483,5295.19,147.0,82875.0,9.984,5.716,8.0,1.0,48.0,37.458,2.362,362.98,9.0,5681.0
16,13.233,59.1,3.766,16.55,57.395,0.506,3.287,6.321,6.345,2.655,84.714,0.607,6.718,227.0,27.0,70.201,3.138,2.389,0.419,0.84,187.473,56.231,255.0,23.0,255.0,59.117,4.055,2479.523,194.0,38807.0,9.783,6.083,7.0,1.0,44.0,58.978,3.37,129.385,8.0,2025.0
17,36.823,71.315,3.316,25.515,67.003,0.506,9.608,5.815,9.047,5.182,17.278,0.711,10.076,265.0,20.0,17.526,5.78,1.746,0.573,0.917,120.002,54.63,255.0,10.0,255.0,71.346,3.473,4416.396,110.0,69121.0,9.024,4.468,8.0,1.0,38.0,71.162,3.442,332.119,8.0,5198.0
18,17.133,102.058,2.26,19.262,98.608,0.506,7.585,4.045,7.359,2.964,21.1,0.58,8.17,390.0,14.0,21.801,3.731,2.483,0.403,0.849,38.306,31.021,14.0,7.0,149.0,101.364,2.903,655.933,27.0,10266.0,15.388,10.273,9.0,1.0,66.0,102.117,1.872,263.498,12.0,4124.0
19,1.215,80.251,1.284,3.811,79.645,0.759,1.264,1.011,1.403,1.102,167.179,1.0,1.619,315.0,3.0,141.34,1.011,1.273,0.785,0.974,15.421,9.137,10.0,6.0,42.0,80.127,1.174,18.721,13.0,293.0,13.842,6.784,12.0,1.0,29.0,80.222,1.179,16.804,13.0,263.0
20,27.425,2.891,4.496,21.791,0.253,1.264,6.068,6.827,7.142,4.889,50.371,0.726,8.405,1.0,32.0,43.781,5.519,1.461,0.685,0.902,136.739,55.836,255.0,20.0,255.0,2.926,4.697,3748.068,137.0,58661.0,9.781,5.837,8.0,1.0,53.0,2.863,4.186,268.098,9.0,4196.0
21,42.065,53.764,5.43,27.834,49.81,1.517,7.585,8.091,9.257,5.786,47.636,0.682,10.114,202.0,38.0,53.13,7.091,1.6,0.625,0.868,136.356,75.332,255.0,7.0,255.0,54.101,5.385,5732.67,151.0,89722.0,10.894,8.717,7.0,1.0,67.0,53.324,5.647,457.99,8.0,7168.0
22,3.836,93.079,2.659,7.683,91.782,1.517,2.528,2.276,3.17,1.54,37.642,0.817,3.402,363.0,15.0,41.987,1.753,2.058,0.486,0.902,8.15,1.774,8.0,5.0,12.0,93.044,2.674,31.244,8.0,489.0,14.15,4.535,12.0,5.0,27.0,93.068,2.651,54.246,13.0,849.0
23,33.563,106.041,5.046,22.715,102.148,1.517,7.08,6.574,8.147,5.245,36.202,0.817,8.968,404.0,29.0,40.426,5.542,1.553,0.644,0.944,130.091,67.573,255.0,9.0,255.0,105.994,4.98,4363.812,132.0,68298.0,8.221,5.248,5.0,0.0,50.0,106.025,4.955,275.765,7.0,4316.0
24,3.644,50.043,3.156,7.264,48.798,2.276,2.528,1.77,2.845,1.631,22.385,0.868,3.086,193.0,16.0,34.992,1.77,1.744,0.573,0.934,18.982,6.61,23.0,7.0,33.0,50.038,3.028,69.133,20.0,1082.0,21.702,9.977,12.0,6.0,55.0,50.001,3.056,79.037,20.0,1237.0
25,39.124,93.924,6.885,28.671,89.759,2.276,8.091,9.355,10.615,4.693,53.569,0.598,11.434,361.0,46.0,54.904,5.75,2.262,0.442,0.833,87.194,57.054,16.0,7.0,255.0,93.806,7.145,3409.559,88.0,53363.0,11.51,5.722,8.0,2.0,39.0,93.885,6.588,450.067,10.0,7044.0
26,45.198,78.113,5.969,28.523,72.818,2.528,10.114,7.08,10.333,5.569,23.303,0.698,10.367,288.0,28.0,12.68,6.166,1.855,0.539,0.887,123.352,65.717,255.0,5.0,255.0,78.253,5.873,5572.169,132.0,87210.0,11.747,9.648,8.0,1.0,69.0,77.989,6.197,530.637,9.0,8305.0
