,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-F-Actin,StdDev-F-Actin,Mode-F-Actin,Min-F-Actin,Max-F-Actin,XM-F-Actin,YM-F-Actin,IntDen-F-Actin,Median-F-Actin,RawIntDen-F-Actin
0,6.649,2.927,0.946,12.024,0.506,0.253,5.057,1.77,5.077,1.667,1.425,0.578,5.157,2.0,5.0,11.31,1.77,3.045,0.328,0.908,97.875,38.453,123.0,8.0,171.0,2.812,0.929,650.374,104.0,10179.0,26.029,16.51,15.0,9.0,90.0,2.678,1.091,172.96,20.0,2707.0
1,29.216,12.668,2.014,25.54,6.827,0.253,10.619,4.045,9.961,3.735,172.878,0.563,10.727,27.0,1.0,171.87,3.992,2.667,0.375,0.909,92.551,36.823,99.0,7.0,206.0,12.283,1.978,2702.448,96.0,42296.0,18.567,11.958,13.0,3.0,85.0,12.707,2.2,542.138,15.0,8485.0
2,16.685,24.454,1.444,19.375,19.974,0.253,8.091,2.781,8.137,2.611,171.284,0.559,8.477,79.0,1.0,162.646,2.781,3.117,0.321,0.93,102.513,76.071,15.0,6.0,255.0,23.798,1.146,1709.54,101.0,26756.0,41.414,26.118,19.0,6.0,130.0,24.429,1.72,690.627,36.0,10809.0
3,18.859,32.131,1.914,18.128,28.571,0.253,7.08,3.54,7.449,3.223,168.699,0.721,7.436,113.0,1.0,162.181,3.422,2.311,0.433,0.922,110.685,65.081,255.0,6.0,255.0,32.015,1.945,2086.257,101.0,32652.0,30.542,18.769,15.0,2.0,96.0,31.845,2.075,575.682,24.0,9010.0
4,65.655,44.726,4.31,32.298,39.443,0.253,10.114,8.849,11.639,7.183,144.705,0.791,12.795,156.0,3.0,142.224,8.151,1.62,0.617,0.945,146.259,52.884,137.0,8.0,254.0,44.598,4.215,9597.344,149.0,150208.0,18.913,15.219,10.0,2.0,99.0,44.648,4.635,1241.071,14.0,19424.0
5,17.772,52.534,1.849,21.433,48.293,0.253,8.849,3.793,8.912,2.539,165.119,0.486,9.628,191.0,1.0,156.801,3.074,3.51,0.285,0.8,98.112,68.946,11.0,7.0,255.0,51.586,1.62,1742.701,112.0,27275.0,22.741,15.597,14.0,3.0,80.0,53.14,2.122,403.936,17.0,6322.0
6,6.329,57.882,0.987,10.865,55.625,0.253,4.551,1.77,4.548,1.772,0.854,0.674,4.614,220.0,1.0,170.538,1.77,2.567,0.39,0.934,162.899,25.776,159.0,117.0,246.0,57.821,0.986,1030.414,161.0,16127.0,24.232,11.555,19.0,9.0,77.0,57.766,1.137,153.281,21.0,2399.0
7,28.576,69.48,2.538,22.148,64.98,0.253,7.838,5.31,7.889,4.612,159.754,0.732,8.707,257.0,1.0,154.179,5.13,1.711,0.585,0.92,133.501,45.751,141.0,15.0,255.0,69.513,2.48,3812.856,132.0,59675.0,18.445,14.181,10.0,1.0,111.0,69.374,2.719,526.804,14.0,8245.0
8,25.444,79.794,2.018,22.383,74.841,0.253,8.849,4.045,8.558,3.785,170.904,0.638,9.355,296.0,1.0,161.075,4.02,2.261,0.442,0.915,92.817,50.712,87.0,14.0,255.0,79.212,1.77,2360.297,93.0,36941.0,21.56,16.193,13.0,3.0,89.0,79.635,2.436,548.272,16.0,8581.0
9,27.298,96.673,2.509,26.02,91.782,0.253,10.114,5.31,10.201,3.407,159.584,0.507,11.423,363.0,1.0,152.301,4.263,2.994,0.334,0.803,79.052,51.991,15.0,8.0,235.0,96.47,2.084,2156.732,79.0,33755.0,20.152,14.362,14.0,4.0,93.0,96.568,2.663,549.805,15.0,8605.0
10,30.238,104.916,2.025,25.269,99.367,0.253,10.367,3.793,10.597,3.633,171.865,0.595,11.038,393.0,1.0,159.905,3.663,2.917,0.343,0.934,130.638,54.568,136.0,14.0,252.0,105.033,2.001,3948.119,135.0,61792.0,13.833,11.428,7.0,1.0,92.0,104.615,2.176,418.056,11.0,6543.0
11,18.795,113.992,2.065,19.559,109.986,0.253,7.585,4.045,8.288,2.888,160.158,0.617,8.374,435.0,1.0,151.113,3.234,2.87,0.348,0.899,109.378,51.222,94.0,12.0,255.0,113.526,1.9,2054.63,109.0,32157.0,18.84,13.221,12.0,2.0,85.0,114.245,2.192,353.907,14.0,5539.0
