,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-F-Actin,StdDev-F-Actin,Mode-F-Actin,Min-F-Actin,Max-F-Actin,XM-F-Actin,YM-F-Actin,IntDen-F-Actin,Median-F-Actin,RawIntDen-F-Actin
0,36.823,2.558,5.468,27.895,0.253,0.253,6.321,9.861,8.248,5.685,87.156,0.595,9.942,1.0,1.0,97.306,6.321,1.451,0.689,0.867,98.229,60.565,16.0,7.0,254.0,2.522,5.946,3615.105,105.0,56580.0,19.797,17.707,11.0,2.0,175.0,2.915,4.886,728.58,15.0,11403.0
1,4.155,4.164,0.811,9.077,2.276,0.253,3.793,1.264,4.072,1.299,0.667,0.634,3.925,9.0,1.0,165.069,1.264,3.134,0.319,0.935,15.815,11.17,11.0,7.0,54.0,4.205,0.674,65.683,12.0,1028.0,47.431,20.287,43.0,17.0,122.0,4.059,0.89,196.984,43.0,3083.0
2,21.288,39.157,1.782,20.866,34.386,0.253,8.597,3.54,7.912,3.426,169.475,0.614,9.035,136.0,1.0,162.072,3.54,2.309,0.433,0.899,120.715,54.296,118.0,7.0,239.0,38.654,1.648,2568.399,123.0,40198.0,30.712,29.493,10.0,3.0,154.0,38.694,2.125,653.441,17.0,10227.0
3,8.055,45.062,1.401,11.37,43.236,0.253,3.793,2.781,3.728,2.751,11.622,0.783,4.147,173.0,11.0,37.569,2.781,1.355,0.738,0.91,88.563,82.118,8.0,4.0,251.0,44.772,0.864,712.99,56.0,11159.0,51.659,46.232,27.0,13.0,226.0,44.991,1.877,415.884,35.0,6509.0
4,4.795,51.918,0.821,10.088,49.81,0.253,4.298,1.264,4.642,1.315,1.311,0.592,4.416,197.0,1.0,166.759,1.264,3.53,0.283,0.943,37.253,31.45,13.0,8.0,146.0,51.63,0.667,178.519,27.0,2794.0,36.76,14.463,30.0,13.0,102.0,52.085,0.844,176.155,35.0,2757.0
5,43.408,66.413,2.818,29.387,60.176,0.253,11.884,5.815,10.545,5.241,169.709,0.632,12.265,238.0,1.0,165.677,5.747,2.012,0.497,0.897,104.063,50.672,84.0,6.0,251.0,66.188,2.846,4514.665,98.0,70659.0,21.993,16.36,12.0,5.0,116.0,67.398,2.882,954.125,16.0,14933.0
6,2.557,72.243,0.828,6.043,71.048,0.253,2.276,1.264,2.436,1.336,174.536,0.88,2.49,281.0,1.0,156.038,1.264,1.823,0.549,0.952,12.875,3.204,13.0,8.0,22.0,72.163,0.779,32.905,13.0,515.0,54.175,33.055,26.0,23.0,152.0,72.123,0.98,138.458,41.0,2167.0
7,9.781,77.983,0.908,16.872,74.335,0.253,7.585,1.517,8.299,1.501,1.15,0.432,7.652,294.0,5.0,7.595,1.517,5.53,0.181,0.93,70.771,59.094,10.0,7.0,203.0,77.124,0.736,691.841,48.0,10828.0,50.693,35.471,26.0,5.0,172.0,78.698,0.997,495.56,40.0,7756.0
8,3.324,84.391,0.861,7.202,82.932,0.253,2.781,1.264,3.03,1.397,176.346,0.805,3.055,328.0,1.0,155.556,1.264,2.169,0.461,0.981,9.115,2.72,8.0,4.0,17.0,84.389,0.82,30.286,9.0,474.0,82.885,31.44,61.0,31.0,173.0,84.223,0.859,275.382,72.0,4310.0
9,19.051,91.18,1.303,22.051,86.472,0.253,9.608,2.528,9.663,2.51,1.089,0.492,9.691,342.0,6.0,7.496,2.528,3.849,0.26,0.94,102.671,52.493,113.0,8.0,251.0,91.646,1.195,1954.892,109.0,30596.0,32.218,31.066,13.0,4.0,169.0,90.283,1.582,613.443,20.0,9601.0
