,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-F-Actin,StdDev-F-Actin,Mode-F-Actin,Min-F-Actin,Max-F-Actin,XM-F-Actin,YM-F-Actin,IntDen-F-Actin,Median-F-Actin,RawIntDen-F-Actin
0,25.699,4.083,1.841,22.828,0.253,0.253,8.849,3.793,8.771,3.731,6.265,0.62,9.44,1.0,14.0,20.376,3.793,2.351,0.425,0.928,109.316,80.944,9.0,5.0,255.0,5.078,1.587,2807.808,124.0,43945.0,27.657,22.227,11.0,3.0,144.0,3.182,2.054,710.37,21.0,11118.0
1,36.439,11.569,3.112,26.501,6.574,0.253,10.367,6.068,9.957,4.66,26.648,0.652,11.322,26.0,19.0,23.703,5.517,2.137,0.468,0.904,129.023,58.992,102.0,5.0,255.0,11.545,2.953,4698.934,124.0,73543.0,23.126,17.861,15.0,6.0,213.0,11.582,3.221,842.247,18.0,13182.0
2,1.982,22.923,0.828,5.031,21.997,0.253,1.77,1.264,1.883,1.34,171.439,0.984,2.038,87.0,1.0,150.255,1.264,1.404,0.712,0.954,66.613,39.79,14.0,11.0,132.0,22.68,0.794,131.94,71.0,2065.0,40.097,13.874,27.0,22.0,76.0,22.926,0.82,79.42,36.0,1243.0
3,15.471,29.708,1.146,21.04,24.778,0.253,9.355,2.276,9.052,2.176,178.302,0.439,9.386,98.0,1.0,175.365,2.276,4.159,0.24,0.924,125.996,61.546,135.0,3.0,253.0,29.84,1.311,1948.183,128.0,30491.0,21.835,16.836,16.0,5.0,160.0,29.226,1.186,337.614,17.0,5284.0
4,15.727,37.464,1.891,15.687,34.892,0.253,5.31,3.793,5.04,3.973,178.841,0.803,5.597,138.0,8.0,18.435,3.793,1.269,0.788,0.946,146.72,42.085,124.0,17.0,255.0,37.65,1.863,2306.115,140.0,36093.0,21.004,11.817,13.0,3.0,65.0,37.192,2.088,330.139,17.0,5167.0
5,1.343,49.033,0.704,4.168,48.293,0.253,1.517,1.011,1.626,1.051,4.448,0.971,1.696,191.0,1.0,153.435,1.011,1.548,0.646,0.933,121.333,27.529,104.0,65.0,188.0,49.009,0.686,162.801,120.0,2548.0,34.143,9.291,21.0,21.0,55.0,49.014,0.739,45.812,35.0,717.0
6,34.586,67.615,1.548,33.508,59.418,0.253,14.665,3.54,15.264,2.885,176.034,0.387,14.782,235.0,1.0,167.152,3.54,5.291,0.189,0.861,153.207,81.692,255.0,5.0,255.0,68.468,1.627,5295.829,169.0,82885.0,32.643,33.777,13.0,3.0,253.0,65.809,1.608,1128.363,21.0,17660.0
7,23.398,81.079,1.799,22.68,77.117,0.253,9.102,3.793,9.113,3.269,10.028,0.572,9.355,306.0,13.0,18.925,3.7,2.788,0.359,0.915,154.658,100.232,255.0,3.0,255.0,81.01,1.871,3616.703,198.0,56605.0,31.59,37.172,13.0,3.0,255.0,80.655,1.726,738.739,20.0,11562.0
8,4.795,91.918,0.693,12.259,89.0,0.253,5.563,1.011,6.053,1.009,178.543,0.401,5.614,352.0,1.0,172.235,1.011,6.001,0.167,0.92,166.453,42.899,149.0,73.0,254.0,91.813,0.66,797.649,164.0,12484.0,27.68,12.111,32.0,10.0,59.0,91.629,0.765,132.643,25.0,2076.0
9,39.7,103.227,2.294,27.205,97.597,0.253,10.872,4.804,10.173,4.969,179.333,0.674,10.945,386.0,1.0,173.367,4.804,2.047,0.488,0.95,102.478,75.563,11.0,7.0,255.0,103.363,1.703,4066.131,82.0,63639.0,24.773,16.956,16.0,5.0,160.0,103.225,2.502,982.941,20.0,15384.0
10,5.37,114.158,0.852,11.161,111.756,0.253,4.804,1.517,4.664,1.466,0.0,0.542,4.864,442.0,1.0,171.027,1.517,3.181,0.314,0.903,151.226,39.745,111.0,68.0,236.0,114.267,0.818,811.642,147.0,12703.0,24.417,13.265,23.0,7.0,69.0,113.686,0.898,131.046,21.0,2051.0
11,5.242,124.151,0.919,9.792,122.123,0.253,4.045,1.517,4.269,1.563,0.679,0.687,4.17,483.0,1.0,165.964,1.517,2.731,0.366,0.943,46.183,32.347,10.0,6.0,118.0,124.321,0.689,241.965,42.0,3787.0,47.049,23.815,27.0,10.0,117.0,123.947,1.069,246.502,44.0,3858.0
12,40.723,18.002,4.465,25.785,13.906,0.506,8.091,7.838,9.83,5.275,43.535,0.77,10.192,56.0,32.0,46.005,5.787,1.864,0.537,0.924,126.691,67.219,255.0,10.0,255.0,17.815,4.826,5156.349,130.0,80702.0,28.091,24.543,11.0,4.0,152.0,18.121,4.218,1143.314,19.0,17894.0
13,34.586,44.059,2.95,23.333,39.949,0.506,8.091,5.057,8.271,5.324,4.256,0.798,8.641,158.0,19.0,20.556,5.057,1.554,0.644,0.953,146.974,62.715,132.0,5.0,255.0,44.288,2.78,5080.379,151.0,79513.0,23.229,19.492,14.0,4.0,171.0,43.977,3.175,802.952,18.0,12567.0
14,46.732,53.02,3.489,28.191,48.293,0.506,10.114,6.574,10.083,5.901,22.53,0.739,11.307,191.0,23.0,26.565,6.508,1.709,0.585,0.935,115.176,69.073,11.0,6.0,255.0,53.005,3.658,5379.466,120.0,84194.0,34.702,34.839,13.0,2.0,219.0,52.32,3.611,1620.791,22.0,25367.0
15,15.279,119.265,2.228,19.559,114.79,0.506,7.838,3.54,7.01,2.775,177.51,0.502,7.984,454.0,10.0,169.046,3.406,2.526,0.396,0.762,56.025,34.27,10.0,6.0,164.0,118.526,2.267,855.537,61.0,13390.0,37.946,25.591,15.0,9.0,135.0,119.708,2.02,579.452,29.0,9069.0
16,5.818,128.128,1.899,9.077,126.926,0.506,2.276,2.781,2.948,2.513,92.793,0.887,3.402,502.0,3.0,131.987,2.276,1.173,0.852,0.963,26.396,14.793,24.0,3.0,74.0,128.077,2.008,153.473,24.0,2402.0,40.396,16.711,27.0,15.0,97.0,127.96,1.979,234.873,36.0,3676.0
17,64.44,93.462,4.546,35.664,86.472,1.011,13.401,7.332,13.288,6.174,169.054,0.637,14.236,342.0,7.0,160.278,7.181,2.152,0.465,0.871,115.931,71.112,255.0,4.0,255.0,93.308,4.902,7466.49,128.0,116858.0,23.447,19.842,14.0,1.0,140.0,92.866,3.928,1510.128,17.0,23635.0
18,3.708,75.635,2.707,7.264,74.588,1.517,2.023,2.276,2.341,2.017,88.873,0.883,2.688,295.0,14.0,48.814,2.023,1.161,0.861,0.899,5.69,2.079,4.0,2.0,11.0,75.649,2.777,21.085,6.0,330.0,63.19,32.333,39.0,26.0,147.0,75.639,2.518,234.17,48.0,3665.0
19,9.334,110.958,2.852,12.147,108.722,1.517,4.551,2.781,4.702,2.528,170.473,0.795,4.662,430.0,14.0,12.529,2.678,1.86,0.538,0.893,9.205,3.946,7.0,3.0,26.0,110.986,2.683,85.873,8.0,1344.0,45.801,18.702,31.0,21.0,122.0,110.749,2.822,427.257,41.0,6687.0
20,69.938,29.845,5.342,39.5,21.997,2.023,15.676,6.574,16.036,5.553,172.709,0.563,15.727,87.0,19.0,175.389,6.325,2.888,0.346,0.858,117.158,89.652,6.0,2.0,255.0,30.055,5.706,8189.319,125.0,128171.0,28.055,27.355,14.0,3.0,219.0,28.554,5.026,1961.025,19.0,30692.0
21,11.763,58.099,5.044,15.871,55.625,2.023,4.551,5.31,6.336,2.364,56.346,0.587,6.675,221.0,29.0,52.696,2.984,2.681,0.373,0.833,56.859,42.129,46.0,8.0,181.0,57.741,5.57,668.456,46.0,10462.0,37.359,20.914,28.0,8.0,134.0,58.138,4.849,439.205,32.0,6874.0
22,31.069,126.99,7.287,29.795,123.387,2.276,5.815,11.378,11.536,3.429,110.753,0.44,12.553,488.0,10.0,117.597,4.78,3.364,0.297,0.749,42.741,26.969,9.0,3.0,132.0,127.454,8.143,1327.2,45.0,20772.0,30.862,17.181,15.0,3.0,78.0,126.508,6.494,958.342,26.0,14999.0
23,33.435,79.263,5.592,31.583,73.324,2.781,12.389,5.057,12.677,3.358,9.555,0.421,12.793,291.0,27.0,18.435,4.234,3.775,0.265,0.755,67.369,64.074,7.0,3.0,255.0,80.089,5.787,2251.23,48.0,35234.0,43.962,30.937,29.0,8.0,183.0,78.299,5.835,1469.044,33.0,22992.0
