,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-F-Actin,StdDev-F-Actin,Mode-F-Actin,Min-F-Actin,Max-F-Actin,XM-F-Actin,YM-F-Actin,IntDen-F-Actin,Median-F-Actin,RawIntDen-F-Actin
0,5.434,1.658,1.144,9.286,0.253,0.253,3.287,2.023,3.447,2.007,16.633,0.792,3.859,1.0,9.0,31.608,2.023,1.717,0.582,0.95,79.965,30.496,73.0,31.0,152.0,1.661,1.014,434.285,73.0,6797.0,14.976,5.418,15.0,6.0,40.0,1.664,1.249,81.337,14.0,1273.0
1,4.411,20.101,0.632,12.555,17.193,0.253,5.815,0.759,6.562,0.856,0.0,0.352,5.865,68.0,1.0,172.569,0.759,7.667,0.13,1.0,74.812,36.998,81.0,7.0,134.0,20.657,0.619,329.819,86.0,5162.0,20.0,15.878,13.0,6.0,93.0,19.361,0.636,88.173,15.0,1380.0
2,16.941,27.123,1.48,18.092,23.514,0.253,7.332,2.528,7.879,2.738,3.643,0.65,7.677,93.0,10.0,17.241,2.528,2.878,0.347,0.969,88.362,40.357,106.0,5.0,165.0,27.383,1.32,1496.135,105.0,23416.0,18.826,14.482,10.0,4.0,95.0,26.964,1.656,318.766,14.0,4989.0
3,11.443,33.983,1.573,13.541,31.605,0.253,4.804,2.781,4.956,2.94,6.515,0.784,5.316,125.0,10.0,25.346,2.781,1.686,0.593,0.942,85.43,37.614,92.0,11.0,168.0,34.049,1.323,977.062,92.0,15292.0,16.581,14.824,14.0,2.0,110.0,33.988,1.788,189.636,13.0,2968.0
4,8.055,39.188,1.176,13.245,36.915,0.253,5.31,2.276,5.411,1.895,13.858,0.577,5.777,146.0,10.0,23.199,2.276,2.855,0.35,0.916,82.206,25.95,72.0,22.0,128.0,39.397,1.059,661.811,86.0,10358.0,12.77,6.682,10.0,5.0,54.0,38.888,1.236,102.805,11.0,1609.0
5,1.151,48.714,0.716,3.811,48.04,0.253,1.264,1.011,1.418,1.033,162.704,0.996,1.619,190.0,1.0,141.34,1.011,1.372,0.729,0.947,18.222,9.932,13.0,4.0,47.0,48.621,0.613,20.957,15.0,328.0,48.222,27.699,14.0,14.0,96.0,48.784,0.847,55.46,43.0,868.0
6,38.805,53.484,2.824,29.979,47.787,0.253,12.136,5.31,11.524,4.287,18.939,0.543,12.962,189.0,19.0,20.556,5.031,2.688,0.372,0.879,61.44,32.54,11.0,6.0,156.0,54.411,2.62,2382.852,64.0,37294.0,19.425,15.186,13.0,2.0,107.0,52.54,2.827,753.371,14.0,11791.0
7,17.005,64.325,1.681,17.98,60.935,0.253,6.827,3.793,6.037,3.586,3.734,0.661,6.901,241.0,1.0,171.573,3.793,1.683,0.594,0.893,36.853,26.389,8.0,6.0,112.0,64.125,1.201,626.35,27.0,9803.0,19.887,14.284,9.0,2.0,87.0,64.568,2.012,337.998,15.0,5290.0
8,2.301,69.826,0.885,5.537,68.773,0.253,2.023,1.264,2.173,1.348,6.62,0.943,2.261,272.0,5.0,26.565,1.264,1.612,0.621,0.947,10.389,2.811,8.0,4.0,17.0,69.815,0.883,23.896,10.0,374.0,28.056,6.155,28.0,18.0,40.0,69.754,0.877,64.533,28.0,1010.0
9,27.362,80.272,3.2,26.822,76.864,0.253,8.849,7.08,9.24,3.77,40.347,0.478,10.781,306.0,28.0,39.289,5.246,2.451,0.408,0.727,56.801,31.378,11.0,6.0,120.0,80.457,2.81,1553.32,67.0,24311.0,18.769,13.934,9.0,3.0,99.0,80.216,2.869,513.258,14.0,8033.0
10,12.402,90.625,0.983,19.191,86.472,0.253,8.597,1.517,9.422,1.676,0.815,0.423,8.689,342.0,6.0,8.366,1.517,5.622,0.178,0.977,78.84,34.707,94.0,14.0,165.0,90.796,0.909,977.254,85.0,15295.0,15.964,14.061,9.0,3.0,121.0,90.493,1.112,197.879,12.0,3097.0
11,13.553,99.753,1.088,19.042,95.827,0.253,8.344,1.77,9.056,1.905,2.147,0.47,8.529,379.0,8.0,11.976,1.77,4.753,0.21,0.968,88.509,37.379,87.0,10.0,175.0,99.612,1.075,1198.901,93.0,18764.0,13.712,10.525,9.0,2.0,77.0,100.053,1.119,185.739,11.0,2907.0
12,30.622,108.535,2.561,22.235,104.676,0.253,7.838,5.057,7.626,5.113,8.079,0.778,8.499,414.0,14.0,22.751,5.057,1.492,0.67,0.931,89.338,39.747,90.0,10.0,184.0,108.661,2.502,2734.203,92.0,42793.0,16.608,16.817,9.0,3.0,133.0,108.204,2.902,508.274,11.0,7955.0
13,16.494,115.177,2.272,16.994,112.262,0.253,5.563,4.045,5.898,3.56,24.854,0.718,6.878,444.0,17.0,36.027,3.709,1.657,0.604,0.912,88.147,18.412,84.0,28.0,143.0,115.295,2.259,1453.07,87.0,22742.0,14.058,8.227,9.0,3.0,70.0,114.967,2.251,231.742,12.0,3627.0
14,16.877,120.514,2.111,16.489,118.077,0.253,5.31,4.045,5.592,3.843,33.04,0.78,6.675,467.0,17.0,37.304,4.045,1.455,0.687,0.95,93.534,26.028,75.0,19.0,156.0,120.388,2.13,1577.727,95.0,24693.0,11.864,6.74,9.0,2.0,52.0,120.317,2.192,200.115,10.0,3132.0
15,7.735,126.969,1.071,12.53,124.145,0.253,5.057,2.023,5.145,1.914,173.497,0.619,5.279,491.0,1.0,163.301,2.023,2.687,0.372,0.92,103.438,31.741,99.0,25.0,177.0,127.086,1.044,799.694,108.0,12516.0,13.992,6.894,10.0,5.0,49.0,126.638,1.146,108.172,13.0,1693.0
16,23.014,6.882,2.178,21.311,2.528,0.506,8.597,3.54,8.94,3.278,10.184,0.637,9.204,10.0,16.0,20.925,3.473,2.728,0.367,0.924,101.867,43.22,81.0,10.0,208.0,6.645,2.297,2343.11,99.0,36672.0,12.744,8.554,6.0,2.0,91.0,6.899,2.227,293.144,11.0,4588.0
17,20.585,74.468,2.441,17.561,71.554,0.506,5.815,4.298,5.848,4.482,1.161,0.839,6.173,286.0,17.0,34.992,4.298,1.305,0.766,0.944,65.416,25.296,78.0,14.0,132.0,74.469,2.293,1345.857,68.0,21064.0,12.242,7.242,10.0,1.0,59.0,74.254,2.394,251.869,11.0,3942.0
18,24.293,13.634,3.866,20.151,11.125,0.759,5.31,6.321,6.986,4.427,62.637,0.752,7.543,46.0,26.0,50.44,4.606,1.578,0.634,0.917,99.929,44.718,24.0,6.0,193.0,13.54,4.048,2426.235,107.0,37973.0,20.903,17.475,11.0,2.0,95.0,13.306,3.926,507.508,15.0,7943.0
19,57.536,40.791,4.853,36.589,34.386,0.759,13.653,8.344,14.635,5.006,26.645,0.54,15.38,136.0,35.0,27.408,5.898,2.924,0.342,0.856,81.956,43.571,13.0,6.0,184.0,40.261,5.058,4712.799,93.0,73760.0,16.922,16.593,10.0,0.0,154.0,41.112,4.398,973.101,13.0,15230.0
20,27.362,19.13,4.237,21.162,15.929,1.77,6.827,5.31,7.402,4.706,35.899,0.768,8.496,63.0,27.0,36.529,5.31,1.573,0.636,0.94,91.114,37.867,91.0,6.0,198.0,19.062,4.365,2491.662,91.0,38997.0,12.414,8.997,10.0,1.0,110.0,19.199,4.042,339.467,10.0,5313.0
21,17.069,59.067,4.531,16.647,56.637,2.023,5.31,5.31,6.622,3.282,42.033,0.774,6.831,224.0,29.0,38.991,3.451,2.018,0.496,0.921,44.266,20.493,60.0,8.0,90.0,58.629,4.818,755.16,48.0,11819.0,17.547,10.692,13.0,3.0,85.0,58.999,4.472,299.342,15.0,4685.0
22,23.526,123.767,5.369,20.1,121.111,2.023,5.815,6.827,7.765,3.857,56.02,0.732,7.875,481.0,35.0,47.603,4.056,2.013,0.497,0.901,86.405,36.0,81.0,10.0,175.0,123.835,5.321,2031.628,86.0,31797.0,13.299,9.968,7.0,1.0,72.0,123.372,5.5,312.696,10.0,4894.0
23,33.499,67.553,5.669,23.998,64.222,2.276,7.332,7.332,8.97,4.755,46.015,0.731,9.661,254.0,37.0,47.121,5.328,1.887,0.53,0.903,66.466,32.048,82.0,7.0,133.0,67.612,5.907,2225.29,73.0,34828.0,17.683,14.554,9.0,1.0,91.0,67.213,5.316,592.039,12.0,9266.0
24,93.656,92.109,7.63,58.885,80.656,2.276,23.261,11.125,24.605,4.846,22.901,0.339,24.979,319.0,45.0,21.371,6.454,5.077,0.197,0.755,87.827,41.455,90.0,6.0,182.0,92.638,7.618,8220.946,96.0,128666.0,16.145,14.456,9.0,0.0,129.0,91.037,7.776,1511.278,12.0,23653.0
25,32.284,83.786,5.777,23.012,79.898,2.528,7.332,6.321,8.198,5.014,38.077,0.766,9.304,316.0,35.0,42.797,5.512,1.635,0.612,0.946,101.515,45.107,111.0,8.0,198.0,83.906,5.643,3275.51,107.0,51265.0,14.747,11.761,9.0,1.0,99.0,83.645,5.672,475.816,11.0,7447.0
26,15.023,90.336,3.843,16.341,87.483,2.528,6.321,3.034,6.199,3.086,8.917,0.707,6.559,348.0,22.0,27.553,3.034,2.009,0.498,0.955,81.574,29.903,62.0,19.0,170.0,90.411,3.84,1224.842,79.0,19170.0,19.0,15.498,10.0,1.0,109.0,89.748,3.81,285.285,14.0,4465.0
27,0.767,128.696,3.413,2.947,128.191,3.034,1.011,0.759,1.141,0.856,0.0,1.0,1.264,507.0,12.0,143.13,0.759,1.333,0.75,1.0,14.25,3.519,13.0,9.0,20.0,128.71,3.414,10.926,14.0,171.0,21.333,11.356,17.0,12.0,55.0,128.592,3.359,16.357,19.0,256.0
28,3.324,0.934,4.478,6.906,0.253,3.287,1.517,2.528,2.65,1.597,83.907,0.876,2.827,1.0,23.0,63.435,1.517,1.659,0.603,0.954,68.769,28.99,83.0,15.0,120.0,0.823,4.458,228.484,78.0,3576.0,18.788,8.47,14.0,6.0,46.0,1.022,4.349,62.424,16.0,977.0
29,36.056,30.913,6.208,25.331,26.548,3.287,8.849,5.815,8.243,5.57,23.009,0.706,10.069,105.0,34.0,28.496,5.815,1.48,0.676,0.892,84.03,33.683,109.0,10.0,168.0,30.763,6.427,3028.114,94.0,47393.0,15.176,12.916,10.0,2.0,116.0,31.025,5.759,546.866,11.0,8559.0
30,26.53,24.106,6.33,20.754,20.733,3.54,6.827,6.068,7.783,4.34,43.177,0.774,8.142,83.0,33.0,36.158,4.686,1.793,0.558,0.926,102.214,30.81,102.0,15.0,177.0,24.074,6.403,2710.307,104.0,42419.0,12.439,9.788,9.0,2.0,109.0,24.179,6.151,329.819,10.0,5162.0
31,30.238,6.044,6.35,23.247,1.264,4.045,9.102,4.298,9.563,4.026,9.902,0.703,9.595,5.0,30.0,18.435,4.164,2.376,0.421,0.941,66.592,34.169,87.0,7.0,154.0,6.294,6.359,2012.524,73.0,31498.0,22.182,17.038,14.0,3.0,122.0,5.637,6.334,670.373,17.0,10492.0
32,23.718,102.227,7.736,22.455,97.597,4.551,8.597,5.815,9.313,3.243,35.281,0.591,9.848,386.0,40.0,29.197,3.806,2.872,0.348,0.872,105.054,31.751,100.0,37.0,212.0,102.148,7.764,2490.257,96.0,38975.0,12.191,6.207,10.0,4.0,66.0,102.222,7.601,288.991,11.0,4523.0
33,27.362,114.338,7.115,20.595,110.997,4.551,6.321,5.31,6.573,5.3,14.193,0.811,7.35,442.0,37.0,40.815,5.196,1.24,0.806,0.938,97.89,43.101,96.0,13.0,231.0,114.646,7.267,2676.954,95.0,41897.0,16.437,18.922,10.0,1.0,157.0,113.561,6.892,449.492,11.0,7035.0
34,18.603,127.171,7.713,17.832,124.398,4.551,4.804,5.815,6.406,3.697,53.009,0.735,7.187,493.0,41.0,50.711,4.346,1.733,0.577,0.922,107.766,30.962,101.0,11.0,189.0,127.305,7.722,2003.706,106.0,31360.0,11.21,8.166,10.0,1.0,98.0,127.025,7.447,208.421,10.0,3262.0
35,6.265,45.989,6.2,9.557,44.5,4.804,3.034,2.781,3.239,2.462,24.545,0.862,3.439,178.0,30.0,53.973,2.559,1.316,0.76,0.895,10.837,3.508,9.0,5.0,21.0,45.88,6.283,67.855,11.0,1062.0,22.714,13.279,17.0,8.0,108.0,45.907,6.289,142.227,20.0,2226.0
36,35.864,59.578,8.874,27.451,54.361,4.804,9.355,7.332,10.655,4.286,29.753,0.598,11.151,215.0,43.0,32.969,4.485,2.486,0.402,0.876,64.989,38.143,12.0,4.0,185.0,59.608,9.181,2329.5,71.0,36459.0,17.264,9.863,9.0,4.0,61.0,59.305,8.688,618.81,14.0,9685.0
37,7.032,119.268,6.484,9.94,118.077,5.057,2.528,3.034,3.374,2.654,75.663,0.894,3.793,468.0,32.0,53.13,2.528,1.271,0.787,0.969,57.982,12.076,61.0,23.0,88.0,119.256,6.517,407.514,59.0,6378.0,17.955,11.145,10.0,5.0,56.0,119.054,6.46,126.19,15.0,1975.0
38,40.914,73.048,8.649,24.886,68.773,5.31,8.344,6.321,8.438,6.174,14.912,0.83,9.003,273.0,45.0,38.157,6.282,1.367,0.732,0.938,81.836,37.783,93.0,7.0,182.0,72.824,8.65,3346.432,88.0,52375.0,15.181,12.745,10.0,2.0,123.0,73.043,8.69,620.791,12.0,9716.0
39,5.178,50.148,7.009,8.903,48.546,5.815,3.034,2.528,2.937,2.245,12.514,0.821,3.198,192.0,28.0,18.435,2.528,1.308,0.764,0.862,19.21,15.368,12.0,4.0,66.0,50.401,6.673,99.419,13.0,1556.0,22.877,10.431,14.0,7.0,56.0,49.995,7.031,118.395,21.0,1853.0
40,10.42,53.761,7.66,13.22,51.58,5.815,4.298,3.793,5.136,2.583,37.202,0.749,5.411,204.0,36.0,37.405,3.06,1.988,0.503,0.869,13.589,9.007,9.0,3.0,51.0,54.314,7.259,141.525,11.0,2215.0,21.423,9.635,22.0,5.0,53.0,53.563,7.778,223.117,20.0,3492.0
41,30.43,107.3,9.145,22.777,103.159,6.068,7.838,6.068,8.564,4.524,30.946,0.737,8.968,409.0,47.0,40.426,5.322,1.893,0.528,0.912,82.597,39.617,107.0,4.0,187.0,107.199,9.44,2512.045,87.0,39316.0,17.676,18.552,10.0,2.0,137.0,107.742,8.43,537.602,12.0,8414.0
42,27.17,7.063,10.209,25.479,2.781,7.332,9.355,5.31,10.302,3.358,17.38,0.526,10.517,11.0,49.0,27.181,4.209,3.068,0.326,0.783,61.52,34.027,13.0,9.0,140.0,5.886,10.54,1670.565,73.0,26146.0,19.106,13.526,8.0,2.0,76.0,7.934,9.898,518.817,14.0,8120.0
43,32.796,17.34,10.041,23.073,12.895,7.585,8.597,5.31,8.531,4.895,166.56,0.774,9.204,51.0,33.0,159.075,5.31,1.743,0.574,0.913,85.363,38.415,114.0,6.0,179.0,17.43,10.122,2797.969,91.0,43791.0,14.906,12.779,9.0,2.0,78.0,16.736,9.638,488.595,10.0,7647.0
44,42.321,43.771,10.213,35.455,36.662,7.585,13.148,5.057,12.604,4.275,1.684,0.423,13.235,145.0,42.0,6.582,5.0,2.948,0.339,0.828,32.227,22.353,15.0,4.0,107.0,42.766,10.114,1363.108,25.0,21334.0,23.382,12.764,15.0,4.0,106.0,43.69,10.148,989.011,21.0,15479.0
