,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-F-Actin,StdDev-F-Actin,Mode-F-Actin,Min-F-Actin,Max-F-Actin,XM-F-Actin,YM-F-Actin,IntDen-F-Actin,Median-F-Actin,RawIntDen-F-Actin
0,5.626,1.132,1.695,10.15,0.253,0.253,2.276,3.54,3.764,1.903,71.135,0.686,4.208,1.0,15.0,57.265,2.276,1.978,0.505,0.921,100.648,49.157,15.0,10.0,176.0,1.239,1.349,565.906,113.0,8857.0,16.0,13.426,12.0,4.0,90.0,1.005,2.063,89.962,13.0,1408.0
1,43.472,6.916,2.885,27.389,2.023,0.253,10.367,6.068,9.887,5.598,16.944,0.728,11.038,8.0,16.0,20.095,6.043,1.766,0.566,0.94,139.607,51.13,120.0,10.0,255.0,6.86,2.522,6065.62,138.0,94933.0,11.149,11.531,5.0,1.0,106.0,6.586,3.519,484.378,8.0,7581.0
2,1.854,26.736,0.719,5.328,25.79,0.253,2.023,1.011,2.23,1.059,6.209,0.821,2.261,102.0,5.0,26.565,1.011,2.106,0.475,0.951,9.655,1.857,10.0,7.0,14.0,26.743,0.728,17.89,10.0,280.0,25.31,21.314,13.0,9.0,100.0,26.448,0.683,46.898,20.0,734.0
3,12.914,34.53,1.23,17.204,30.594,0.253,7.332,2.528,6.897,2.384,176.024,0.548,7.372,121.0,1.0,174.094,2.528,2.893,0.346,0.933,143.119,41.394,122.0,62.0,255.0,34.659,1.186,1847.167,135.0,28910.0,13.351,8.293,8.0,3.0,70.0,34.186,1.332,172.321,12.0,2697.0
4,5.562,51.851,1.022,9.644,50.063,0.253,3.793,1.77,3.877,1.827,3.04,0.751,3.998,198.0,6.0,18.435,1.77,2.122,0.471,0.93,83.563,48.095,21.0,18.0,174.0,52.139,0.814,464.507,88.0,7270.0,28.092,24.264,12.0,5.0,106.0,51.45,1.287,156.156,19.0,2444.0
5,20.969,56.763,2.379,18.905,53.602,0.253,6.827,4.551,6.701,3.984,27.57,0.737,7.471,212.0,13.0,23.962,4.47,1.682,0.595,0.906,128.921,50.159,113.0,16.0,250.0,56.835,2.304,2701.809,127.0,42286.0,13.841,15.609,7.0,1.0,150.0,56.247,2.794,290.077,10.0,4540.0
6,28.832,62.651,3.009,22.925,58.912,0.253,8.091,5.815,8.605,4.266,35.943,0.689,9.541,233.0,21.0,32.005,4.897,2.017,0.496,0.908,122.969,51.698,114.0,9.0,251.0,62.523,2.856,3543.481,122.0,55459.0,12.273,11.814,8.0,1.0,101.0,62.49,3.497,353.652,9.0,5535.0
7,2.429,73.703,0.699,6.697,72.313,0.253,2.781,1.011,2.964,1.044,0.0,0.681,2.883,286.0,1.0,164.745,1.011,2.84,0.352,0.927,151.553,12.896,135.0,124.0,177.0,73.656,0.685,367.964,150.0,5759.0,18.974,7.81,12.0,8.0,45.0,73.537,0.747,46.067,17.0,721.0
8,2.238,86.75,0.82,5.537,85.713,0.253,2.023,1.264,2.139,1.332,177.478,0.917,2.261,339.0,1.0,153.435,1.264,1.606,0.623,0.946,144.629,62.924,200.0,32.0,235.0,86.63,0.699,323.43,152.0,5062.0,10.8,3.818,11.0,5.0,19.0,86.735,0.893,24.152,11.0,378.0
9,3.069,112.156,0.78,7.56,110.745,0.253,3.034,1.264,3.196,1.222,5.241,0.675,3.127,438.0,1.0,165.964,1.264,2.615,0.382,0.914,105.271,31.438,125.0,28.0,157.0,112.252,0.713,322.855,117.0,5053.0,12.938,7.628,8.0,5.0,52.0,112.093,0.896,39.678,11.0,621.0
