,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-F-Actin,StdDev-F-Actin,Mode-F-Actin,Min-F-Actin,Max-F-Actin,XM-F-Actin,YM-F-Actin,IntDen-F-Actin,Median-F-Actin,RawIntDen-F-Actin
0,14.512,8.49,0.834,27.281,2.528,0.253,12.895,1.264,13.694,1.349,1.0,0.245,12.935,10.0,5.0,4.485,1.264,10.149,0.099,0.954,157.388,82.221,255.0,21.0,255.0,9.216,0.725,2282.73,176.0,35727.0,47.722,42.851,18.0,9.0,236.0,8.335,1.058,692.16,32.0,10833.0
1,3.388,39.179,0.68,9.225,37.168,0.253,4.045,1.011,4.336,0.995,0.264,0.5,4.116,147.0,1.0,169.38,1.011,4.359,0.229,0.906,209.057,68.58,255.0,29.0,255.0,39.198,0.617,707.942,249.0,11080.0,32.925,21.199,15.0,9.0,101.0,39.208,0.803,111.495,28.0,1745.0
2,6.968,47.958,0.699,17.525,43.742,0.253,8.091,1.264,8.507,1.043,179.052,0.285,8.126,173.0,1.0,174.644,1.264,8.157,0.123,0.832,177.78,84.354,255.0,19.0,255.0,47.991,0.609,1238.132,218.0,19378.0,38.156,25.179,20.0,9.0,140.0,48.277,0.831,265.734,31.0,4159.0
3,5.306,67.123,0.791,11.605,64.727,0.253,5.057,1.264,5.404,1.25,1.884,0.495,5.157,256.0,5.0,11.31,1.264,4.322,0.231,0.922,189.434,63.102,255.0,55.0,255.0,67.169,0.714,1004.601,206.0,15723.0,32.566,24.066,16.0,9.0,120.0,66.827,0.959,172.705,23.0,2703.0
4,2.301,80.909,0.632,6.993,79.392,0.253,3.034,0.759,3.424,0.856,0.0,0.591,3.127,314.0,1.0,165.964,0.759,4.0,0.25,1.0,148.861,73.397,66.0,50.0,255.0,81.055,0.548,342.406,128.0,5359.0,26.222,18.518,23.0,7.0,87.0,80.565,0.699,60.316,22.0,944.0
5,4.283,92.995,0.772,10.088,91.023,0.253,4.298,1.264,4.568,1.194,3.847,0.529,4.365,360.0,1.0,169.992,1.264,3.826,0.261,0.912,98.418,52.441,52.0,30.0,193.0,93.443,0.725,421.315,91.0,6594.0,23.358,13.051,12.0,10.0,72.0,92.665,0.893,99.994,20.0,1565.0
6,10.612,115.299,0.987,18.808,110.492,0.253,8.344,2.023,7.728,1.748,175.638,0.377,8.405,437.0,1.0,173.089,2.023,4.42,0.226,0.808,155.988,77.822,255.0,20.0,255.0,115.575,0.865,1654.463,167.0,25894.0,25.139,10.666,19.0,6.0,71.0,115.254,1.105,266.628,24.0,4173.0
7,3.324,121.325,0.807,7.708,119.847,0.253,3.034,1.264,3.332,1.27,2.076,0.703,3.198,474.0,1.0,161.565,1.264,2.623,0.381,0.929,48.962,10.299,44.0,25.0,69.0,121.294,0.756,162.673,48.0,2546.0,40.385,16.072,20.0,12.0,71.0,121.26,0.893,134.177,39.0,2100.0
8,5.881,125.624,1.138,10.717,123.64,0.253,4.298,2.023,4.446,1.684,14.141,0.644,4.558,489.0,7.0,19.44,1.962,2.639,0.379,0.902,98.815,38.561,75.0,44.0,197.0,125.362,1.293,580.858,90.0,9091.0,29.728,11.463,20.0,11.0,64.0,125.442,1.129,174.749,27.0,2735.0
9,1.854,0.99,1.12,4.822,0.253,0.506,1.517,1.264,1.693,1.394,11.17,1.0,1.975,1.0,7.0,39.806,1.264,1.215,0.823,0.983,172.069,37.203,130.0,105.0,249.0,0.948,1.154,318.83,172.0,4990.0,42.379,20.704,28.0,17.0,81.0,0.972,0.986,78.525,35.0,1229.0
10,51.463,18.114,3.117,34.765,9.861,0.506,14.412,5.563,13.312,4.922,3.172,0.535,14.52,39.0,9.0,172.999,5.563,2.704,0.37,0.875,150.561,87.304,255.0,9.0,255.0,18.568,3.407,7744.044,169.0,121202.0,38.368,35.099,14.0,6.0,192.0,17.606,2.469,1973.421,21.0,30886.0
11,29.791,31.719,1.925,30.832,24.778,0.506,13.148,4.045,13.725,2.764,172.951,0.394,13.343,98.0,3.0,170.181,3.69,4.966,0.201,0.765,140.966,90.497,255.0,7.0,255.0,31.059,1.921,4197.177,153.0,65690.0,35.852,30.459,14.0,5.0,148.0,31.158,1.555,1067.472,23.0,16707.0
12,25.444,59.181,1.831,23.778,53.855,0.506,10.367,2.781,10.702,3.027,177.852,0.566,10.613,213.0,2.0,167.619,2.781,3.535,0.283,0.961,193.023,59.679,255.0,21.0,255.0,58.789,1.766,4908.505,206.0,76823.0,24.266,17.895,14.0,5.0,110.0,59.665,1.951,617.085,18.0,9658.0
13,33.754,72.611,2.383,31.251,64.98,0.506,13.653,3.793,13.197,3.257,6.742,0.434,13.842,257.0,12.0,9.462,3.793,4.052,0.247,0.848,186.038,68.707,255.0,18.0,255.0,73.399,2.282,6276.15,207.0,98228.0,28.152,14.824,15.0,5.0,82.0,71.528,2.41,949.716,24.0,14864.0
14,17.772,86.93,1.862,18.659,83.185,0.506,7.332,3.034,7.959,2.843,177.893,0.641,7.488,329.0,5.0,168.311,3.003,2.799,0.357,0.9,134.903,54.812,134.0,35.0,255.0,87.451,1.919,2396.205,144.0,37503.0,30.022,17.601,19.0,10.0,125.0,86.8,1.743,533.257,25.0,8346.0
15,26.722,95.912,3.053,23.308,91.023,0.506,8.849,4.804,8.926,3.812,11.22,0.618,9.276,360.0,16.0,17.447,4.404,2.342,0.427,0.875,174.904,60.496,255.0,36.0,255.0,95.955,3.056,4671.268,179.0,73110.0,22.007,13.959,16.0,6.0,95.0,95.581,2.836,587.758,17.0,9199.0
16,21.16,104.515,1.792,21.397,100.631,0.506,8.849,3.034,9.02,2.987,5.44,0.581,9.204,398.0,12.0,15.945,3.034,3.02,0.331,0.955,150.553,55.005,255.0,21.0,255.0,104.44,1.669,3184.015,149.0,49833.0,17.924,8.375,14.0,3.0,66.0,104.372,1.927,379.081,16.0,5933.0
17,29.024,42.749,3.38,25.06,37.926,1.517,10.114,4.045,10.548,3.504,7.731,0.581,10.634,150.0,21.0,18.004,3.699,3.011,0.332,0.912,187.683,78.41,255.0,20.0,255.0,42.363,3.626,5444.254,224.0,85208.0,26.264,24.422,15.0,3.0,157.0,43.207,2.881,761.868,18.0,11924.0
18,28.384,51.531,4.414,20.718,48.293,1.517,6.574,5.563,6.676,5.414,9.799,0.831,7.025,193.0,27.0,30.256,5.405,1.233,0.811,0.93,181.444,76.825,255.0,15.0,255.0,51.508,4.42,5147.34,202.0,80561.0,24.696,20.156,14.0,5.0,145.0,51.435,4.257,700.594,17.0,10965.0
19,12.53,127.604,3.905,14.047,125.662,1.517,3.54,4.298,4.392,3.632,57.331,0.798,5.375,497.0,22.0,48.814,3.54,1.209,0.827,0.958,219.617,43.863,255.0,72.0,255.0,127.632,3.928,2750.304,241.0,43045.0,16.112,9.674,11.0,2.0,70.0,127.366,3.707,201.776,14.0,3158.0
20,26.658,79.301,4.746,22.358,74.588,1.77,8.091,5.31,7.804,4.349,24.983,0.67,8.556,295.0,23.0,18.97,5.221,1.794,0.557,0.866,155.094,81.63,255.0,19.0,255.0,79.619,4.522,4132.261,178.0,64674.0,27.329,16.69,14.0,6.0,136.0,79.125,4.743,728.133,22.0,11396.0
21,43.6,105.319,4.954,39.204,97.85,1.77,16.435,6.321,17.14,3.239,15.455,0.356,17.195,387.0,29.0,17.103,4.563,5.292,0.189,0.702,100.827,70.702,255.0,9.0,255.0,106.152,4.474,4393.586,93.0,68764.0,35.903,16.372,23.0,12.0,132.0,104.855,5.163,1564.501,32.0,24486.0
22,42.513,119.782,4.681,27.415,114.284,2.023,10.619,5.057,10.817,5.004,3.171,0.711,10.727,452.0,21.0,8.13,5.057,2.162,0.463,0.915,119.395,53.74,131.0,14.0,255.0,119.605,4.751,5073.032,121.0,79398.0,21.08,13.173,13.0,4.0,83.0,119.573,4.416,895.662,17.0,14018.0
23,31.581,3.785,4.377,25.208,0.253,2.276,8.849,5.31,9.131,4.404,19.75,0.625,10.32,1.0,30.0,30.964,5.113,2.073,0.482,0.916,153.318,79.464,255.0,12.0,255.0,3.283,4.475,4839.245,167.0,75739.0,34.368,33.986,18.0,5.0,230.0,4.582,3.911,1084.787,23.0,16978.0
24,27.106,30.26,4.953,24.197,25.031,3.287,10.114,3.54,10.821,3.19,171.951,0.582,10.559,99.0,13.0,163.301,3.258,3.393,0.295,0.932,158.269,90.081,255.0,12.0,255.0,30.582,4.705,4287.65,192.0,67106.0,30.934,24.061,13.0,4.0,132.0,30.19,5.329,838.03,21.0,13116.0
25,32.54,61.005,5.566,26.577,55.372,3.793,11.125,3.793,11.307,3.664,179.237,0.579,11.265,219.0,25.0,9.039,3.79,3.086,0.324,0.912,152.642,63.316,255.0,18.0,255.0,61.353,5.423,4964.221,164.0,77695.0,33.943,21.868,18.0,3.0,121.0,61.062,5.666,1103.891,26.0,17277.0
