,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-F-Actin,StdDev-F-Actin,Mode-F-Actin,Min-F-Actin,Max-F-Actin,XM-F-Actin,YM-F-Actin,IntDen-F-Actin,Median-F-Actin,RawIntDen-F-Actin
0,5.818,8.084,0.671,15.503,4.551,0.253,7.08,1.011,7.837,0.945,0.044,0.304,7.12,18.0,1.0,173.884,1.011,8.292,0.121,0.831,67.538,23.877,84.0,13.0,101.0,8.319,0.634,392.691,77.0,6146.0,22.813,10.913,16.0,6.0,75.0,8.315,0.742,132.643,20.0,2076.0
1,2.11,23.365,0.724,5.685,22.25,0.253,2.276,1.011,2.452,1.095,1.744,0.82,2.399,88.0,1.0,161.565,1.011,2.239,0.447,0.957,39.545,13.82,44.0,14.0,69.0,23.499,0.679,83.381,41.0,1305.0,18.364,8.264,9.0,7.0,35.0,23.207,0.788,38.72,18.0,606.0
2,31.261,29.677,2.087,27.946,23.261,0.253,11.378,4.045,11.44,3.479,2.292,0.503,11.775,92.0,13.0,14.931,4.041,3.288,0.304,0.854,68.19,26.915,69.0,6.0,129.0,29.691,1.952,2130.535,73.0,33345.0,17.716,15.162,12.0,1.0,111.0,29.342,2.285,553.511,13.0,8663.0
3,16.11,38.724,1.433,18.363,35.398,0.253,7.585,2.781,7.426,2.762,6.521,0.6,7.735,140.0,7.0,11.31,2.781,2.688,0.372,0.944,61.127,30.159,26.0,6.0,130.0,38.656,1.213,984.218,61.0,15404.0,24.972,18.964,14.0,5.0,91.0,38.312,1.852,402.083,18.0,6293.0
4,15.023,52.787,1.279,18.363,48.798,0.253,7.838,2.528,7.701,2.484,178.04,0.56,7.939,193.0,6.0,9.162,2.528,3.1,0.323,0.942,74.106,30.136,82.0,10.0,146.0,53.223,1.212,1112.709,79.0,17415.0,19.983,16.418,11.0,3.0,110.0,52.091,1.33,300.045,14.0,4696.0
5,21.352,66.054,2.02,19.349,62.705,0.253,7.332,4.045,7.508,3.621,9.154,0.717,7.756,248.0,13.0,19.026,3.927,2.073,0.482,0.923,66.799,39.416,11.0,5.0,159.0,66.423,1.951,1425.532,70.0,22311.0,24.862,26.91,10.0,0.0,176.0,65.5,2.03,530.573,14.0,8304.0
6,12.914,74.859,1.152,17.796,70.796,0.253,7.585,2.276,7.707,2.133,176.816,0.512,7.652,280.0,1.0,172.405,2.276,3.613,0.277,0.935,65.931,37.361,18.0,8.0,139.0,74.724,1.008,850.936,71.0,13318.0,29.109,32.414,13.0,4.0,200.0,74.229,1.286,375.695,18.0,5880.0
7,9.909,82.042,1.135,14.195,79.139,0.253,5.815,2.023,6.193,2.037,0.075,0.618,6.01,313.0,7.0,14.621,2.023,3.04,0.329,0.934,70.032,32.912,14.0,13.0,146.0,82.463,1.014,693.566,73.0,10855.0,17.742,13.094,14.0,5.0,98.0,81.91,1.273,175.708,14.0,2750.0
8,22.695,90.049,1.676,22.618,85.46,0.253,9.608,3.034,9.898,2.919,5.034,0.557,9.935,338.0,11.0,14.744,2.984,3.391,0.295,0.926,79.552,42.752,12.0,5.0,160.0,89.937,1.547,1804.422,89.0,28241.0,19.414,16.115,13.0,3.0,107.0,90.211,1.917,440.355,14.0,6892.0
9,19.115,102.77,1.117,25.739,96.333,0.253,11.884,2.023,11.774,2.067,178.002,0.363,11.908,381.0,1.0,176.348,2.023,5.696,0.176,0.949,65.886,44.031,14.0,6.0,157.0,101.75,0.955,1258.706,60.0,19700.0,22.766,15.586,11.0,3.0,104.0,103.292,1.239,434.924,18.0,6807.0
10,9.461,114.877,0.888,17.944,110.492,0.253,8.091,1.77,7.884,1.528,177.418,0.369,8.126,437.0,1.0,174.644,1.77,5.16,0.194,0.881,47.486,35.144,23.0,5.0,141.0,116.095,0.839,449.045,31.0,7028.0,25.27,17.57,15.0,6.0,135.0,114.08,0.94,238.962,20.0,3740.0
11,8.311,125.966,1.089,12.887,123.387,0.253,5.31,2.023,5.239,2.02,2.893,0.629,5.405,488.0,1.0,169.216,2.023,2.594,0.386,0.932,78.546,26.349,76.0,22.0,148.0,125.749,0.994,652.419,77.0,10211.0,15.208,7.56,15.0,5.0,57.0,125.969,1.23,126.318,14.0,1977.0
12,18.987,1.899,3.272,17.5,0.253,0.506,3.793,6.068,6.332,3.818,80.332,0.779,6.68,1.0,26.0,60.524,3.793,1.659,0.603,0.949,68.104,27.402,67.0,7.0,138.0,1.641,3.245,1292.378,69.0,20227.0,14.933,9.611,9.0,2.0,63.0,2.206,3.178,283.369,12.0,4435.0
13,4.283,16.014,1.296,8.275,14.665,0.506,3.034,1.77,3.264,1.671,16.663,0.786,3.513,58.0,9.0,30.256,1.77,1.954,0.512,0.931,14.284,3.428,13.0,8.0,22.0,15.971,1.359,61.146,14.0,957.0,40.955,18.881,31.0,15.0,108.0,15.815,1.273,175.324,36.0,2744.0
14,45.517,43.802,4.586,27.982,39.443,0.506,8.597,7.838,9.315,6.222,43.902,0.731,10.376,162.0,33.0,46.975,7.227,1.497,0.668,0.894,83.92,43.094,82.0,3.0,195.0,43.493,4.818,3817.712,85.0,59751.0,26.888,24.248,14.0,4.0,160.0,43.972,3.913,1223.181,18.0,19144.0
15,29.088,58.442,3.32,21.347,54.867,0.506,7.08,5.815,8.239,4.495,33.412,0.802,8.7,217.0,23.0,35.538,5.049,1.833,0.546,0.93,83.0,30.448,97.0,10.0,147.0,58.389,3.481,2412.945,85.0,37765.0,21.662,16.535,11.0,3.0,116.0,58.558,3.003,629.736,16.0,9856.0
16,28.001,120.505,3.484,20.928,117.066,0.506,6.827,5.563,7.162,4.978,14.437,0.803,7.28,463.0,11.0,159.677,5.218,1.439,0.695,0.916,65.235,27.618,19.0,11.0,140.0,120.672,3.306,1825.635,68.0,28573.0,17.272,12.801,9.0,2.0,113.0,120.393,3.303,483.356,13.0,7565.0
17,5.37,12.218,2.27,10.001,10.367,1.011,3.54,2.276,4.094,1.67,20.946,0.675,4.208,41.0,13.0,32.735,1.878,2.452,0.408,0.87,12.917,2.917,13.0,7.0,22.0,12.314,2.261,69.325,13.0,1085.0,37.262,12.826,27.0,16.0,76.0,12.205,2.212,199.987,36.0,3130.0
18,25.06,19.278,3.776,19.262,16.182,1.011,6.321,5.31,6.952,4.59,34.458,0.849,7.644,64.0,25.0,34.216,5.006,1.515,0.66,0.934,60.995,24.004,57.0,6.0,115.0,19.049,4.139,1527.698,64.0,23910.0,20.061,15.761,9.0,2.0,85.0,19.442,3.243,502.46,15.0,7864.0
19,45.326,111.605,4.595,26.761,106.952,1.517,9.608,6.068,9.962,5.793,174.927,0.795,10.076,423.0,12.0,162.474,6.068,1.72,0.581,0.942,86.454,25.593,88.0,9.0,144.0,111.548,4.576,3916.428,89.0,61296.0,32.835,18.123,19.0,7.0,127.0,110.955,4.352,1487.445,28.0,23280.0
20,17.58,6.785,3.735,16.463,4.045,1.77,5.563,4.298,6.009,3.725,29.653,0.815,6.593,16.0,22.0,32.471,4.171,1.613,0.62,0.931,52.68,22.43,34.0,10.0,105.0,6.491,3.858,925.628,55.0,14487.0,19.793,11.938,10.0,6.0,80.0,6.707,3.63,347.773,17.0,5443.0
21,44.431,99.314,4.377,31.756,93.299,1.77,12.895,5.057,13.389,4.225,178.369,0.554,13.053,369.0,14.0,171.085,4.977,3.169,0.316,0.878,55.147,31.998,11.0,6.0,146.0,98.454,4.265,2448.854,55.0,38327.0,22.98,20.996,11.0,4.0,145.0,99.546,4.191,1020.446,15.0,15971.0
22,56.449,70.445,6.409,30.337,65.486,2.276,9.861,8.344,9.873,7.28,29.109,0.771,10.978,260.0,34.0,28.926,7.765,1.356,0.737,0.921,96.25,36.391,100.0,9.0,184.0,70.487,6.461,5430.261,100.0,84989.0,16.657,14.199,10.0,2.0,149.0,70.265,6.016,939.748,13.0,14708.0
23,16.494,127.33,4.632,16.55,124.651,2.276,4.551,5.057,4.978,4.219,136.766,0.757,5.924,493.0,13.0,140.194,4.551,1.18,0.848,0.893,53.64,27.708,10.0,8.0,101.0,127.625,4.578,884.225,61.0,13839.0,22.109,17.544,14.0,1.0,111.0,126.871,4.62,364.45,15.0,5704.0
24,31.197,50.561,5.542,21.668,47.281,2.528,6.827,5.563,7.111,5.586,4.916,0.835,7.854,187.0,31.0,33.179,5.563,1.273,0.786,0.944,75.459,32.225,85.0,10.0,160.0,50.52,5.608,2352.821,78.0,36824.0,19.766,15.476,10.0,3.0,108.0,50.356,5.652,616.319,15.0,9646.0
25,55.81,78.669,7.001,32.273,74.335,2.528,9.608,9.608,10.354,6.863,62.71,0.673,11.786,294.0,38.0,35.395,7.265,1.509,0.663,0.863,75.26,31.023,85.0,8.0,166.0,78.482,7.019,4197.944,80.0,65702.0,17.505,15.198,10.0,2.0,111.0,78.609,6.683,976.423,13.0,15282.0
26,61.436,9.592,8.175,35.762,3.54,3.034,12.136,10.114,14.419,5.425,37.894,0.604,15.02,14.0,47.0,36.098,6.584,2.658,0.376,0.872,63.156,24.835,66.0,8.0,124.0,9.196,8.549,3877.9,68.0,60693.0,16.432,12.958,10.0,1.0,89.0,9.57,7.67,1008.945,12.0,15791.0
27,57.28,34.676,7.578,31.139,29.33,3.54,10.619,7.838,10.607,6.876,23.256,0.742,11.137,119.0,44.0,39.472,7.15,1.543,0.648,0.898,58.798,30.193,65.0,7.0,146.0,34.501,7.88,3366.112,63.0,52683.0,20.116,18.095,10.0,2.0,109.0,34.351,6.907,1151.62,14.0,18024.0
28,44.367,86.563,6.601,29.621,81.668,3.54,10.872,6.574,11.052,5.111,23.597,0.635,12.451,323.0,40.0,29.168,6.198,2.162,0.463,0.882,68.725,31.136,78.0,5.0,141.0,86.297,6.908,3047.41,74.0,47695.0,18.597,18.904,10.0,2.0,170.0,86.641,5.963,824.612,13.0,12906.0
29,39.572,25.62,6.636,24.948,20.986,4.045,9.355,5.563,9.124,5.522,10.97,0.799,9.691,83.0,29.0,15.124,5.563,1.652,0.605,0.936,77.12,32.299,70.0,8.0,170.0,25.371,6.619,3050.093,76.0,47737.0,16.658,12.813,13.0,2.0,114.0,25.659,6.834,658.808,13.0,10311.0
30,55.171,59.446,8.468,32.84,53.097,4.298,11.884,8.091,12.538,5.603,20.478,0.643,12.33,213.0,43.0,28.142,6.236,2.238,0.447,0.869,65.988,28.459,67.0,4.0,130.0,59.517,8.606,3638.618,72.0,56948.0,15.846,13.124,10.0,0.0,123.0,59.329,8.048,873.746,13.0,13675.0
31,37.207,122.029,8.493,25.515,116.813,6.068,9.861,5.563,9.265,5.113,2.009,0.718,10.018,462.0,27.0,169.824,5.435,1.812,0.552,0.907,73.576,26.301,76.0,5.0,134.0,122.31,8.608,2735.992,75.0,42821.0,26.223,9.85,21.0,7.0,59.0,121.724,8.531,975.146,25.0,15262.0
32,26.339,92.7,8.899,20.126,89.0,6.321,7.332,4.804,7.575,4.427,18.286,0.817,8.031,353.0,44.0,28.179,4.804,1.711,0.584,0.946,73.204,22.563,77.0,14.0,143.0,92.591,9.072,1927.034,72.0,30160.0,17.09,11.033,14.0,1.0,85.0,92.813,8.879,449.876,14.0,7041.0
33,15.023,2.346,8.728,15.6,0.253,6.574,4.804,4.551,5.85,3.27,42.905,0.776,6.446,1.0,44.0,41.82,3.83,1.789,0.559,0.92,43.009,18.964,17.0,13.0,82.0,1.963,8.908,645.774,43.0,10107.0,20.813,14.461,13.0,3.0,83.0,2.5,8.408,312.504,16.0,4891.0
34,44.175,102.682,9.034,28.549,97.091,6.574,11.125,5.815,11.016,5.106,7.071,0.681,11.355,384.0,39.0,11.56,5.554,2.158,0.463,0.928,67.122,34.945,12.0,6.0,173.0,102.381,9.295,2963.454,73.0,46381.0,20.686,19.115,13.0,0.0,138.0,102.626,8.47,913.296,14.0,14294.0
35,33.499,16.975,9.555,26.797,11.125,7.08,10.619,5.057,9.84,4.335,9.737,0.586,10.978,44.0,48.0,14.676,4.928,2.27,0.441,0.84,72.319,29.398,83.0,7.0,150.0,16.693,9.492,2421.252,74.0,37895.0,18.048,14.836,13.0,3.0,125.0,17.477,9.491,604.243,14.0,9457.0
36,118.588,110.311,13.072,52.276,100.631,7.585,19.469,10.872,19.691,7.668,16.557,0.545,20.053,398.0,68.0,13.861,8.854,2.568,0.389,0.844,75.454,31.615,73.0,7.0,171.0,110.377,13.299,8943.073,77.0,139968.0,16.295,12.824,10.0,2.0,119.0,110.234,12.745,1931.315,12.0,30227.0
37,8.822,128.029,10.145,11.876,126.421,8.091,2.781,4.045,4.011,2.8,80.67,0.786,4.321,505.0,32.0,110.556,2.781,1.432,0.698,0.929,32.08,24.5,14.0,9.0,89.0,128.393,10.311,282.857,18.0,4427.0,28.384,21.945,15.0,3.0,98.0,127.945,9.557,250.272,19.0,3917.0
38,36.631,46.781,12.926,24.922,43.236,8.597,7.08,8.344,7.745,6.022,110.151,0.741,8.649,182.0,34.0,105.255,6.776,1.286,0.778,0.858,51.613,21.257,62.0,5.0,102.0,46.852,13.188,1889.592,58.0,29574.0,17.328,14.929,7.0,1.0,93.0,46.751,12.44,634.401,12.0,9929.0
39,10.101,50.975,10.259,12.443,48.798,8.849,4.298,3.034,4.438,2.898,157.644,0.82,4.987,193.0,35.0,149.534,3.034,1.531,0.653,0.932,17.253,11.231,7.0,3.0,47.0,50.678,10.527,174.174,13.0,2726.0,38.5,18.059,32.0,14.0,153.0,50.862,10.04,388.665,35.0,6083.0
40,3.26,43.095,9.774,6.906,41.719,9.102,2.528,1.517,2.676,1.551,169.598,0.859,2.827,165.0,36.0,153.435,1.517,1.725,0.58,0.944,19.686,4.259,24.0,12.0,28.0,43.158,9.834,64.149,21.0,1004.0,27.51,14.209,25.0,11.0,79.0,43.003,9.699,89.643,25.0,1403.0
41,51.335,63.9,13.497,28.82,58.912,9.608,10.114,7.332,10.333,6.325,22.609,0.777,10.884,236.0,67.0,30.735,6.88,1.634,0.612,0.941,95.63,28.179,101.0,11.0,166.0,63.835,13.52,4906.461,95.0,76791.0,18.147,12.966,10.0,3.0,102.0,64.095,13.115,931.059,14.0,14572.0
42,49.865,24.372,13.382,28.191,19.974,9.861,9.355,7.332,10.075,6.302,27.471,0.788,11.015,79.0,65.0,31.866,6.911,1.599,0.625,0.943,59.965,29.282,77.0,6.0,128.0,24.562,13.637,2988.5,67.0,46773.0,23.19,21.902,10.0,2.0,121.0,24.305,12.464,1155.709,15.0,18088.0
43,38.229,38.331,13.245,24.12,34.386,10.114,8.091,7.08,8.286,5.874,28.603,0.826,8.499,137.0,58.0,22.751,6.458,1.41,0.709,0.916,73.691,29.84,75.0,8.0,161.0,38.153,13.33,2815.604,76.0,44067.0,16.669,12.52,13.0,2.0,110.0,38.213,13.114,636.892,13.0,9968.0
44,23.398,84.628,12.252,20.335,80.909,10.114,7.585,4.804,7.665,3.887,16.399,0.711,7.935,320.0,52.0,22.479,4.423,1.972,0.507,0.909,75.847,32.828,66.0,11.0,155.0,84.723,12.168,1773.689,72.0,27760.0,18.891,14.404,13.0,3.0,82.0,84.073,12.168,441.761,13.0,6914.0
45,9.909,73.501,11.773,16.969,69.784,10.367,7.08,2.781,6.496,1.942,171.928,0.432,7.24,276.0,45.0,167.905,2.638,3.344,0.299,0.728,34.013,15.128,14.0,6.0,67.0,74.175,11.793,336.848,35.0,5272.0,26.045,15.572,18.0,7.0,109.0,73.257,11.624,257.939,22.0,4037.0
46,20.01,97.298,12.98,18.966,93.804,10.619,6.321,5.31,6.905,3.69,152.036,0.699,7.293,371.0,47.0,146.31,4.091,1.872,0.534,0.839,78.428,31.348,74.0,13.0,150.0,97.578,13.076,1568.462,82.0,24548.0,27.032,20.221,14.0,3.0,98.0,96.678,13.102,540.605,20.0,8461.0
47,23.462,124.756,13.499,20.744,120.858,11.378,7.838,3.793,8.129,3.675,174.117,0.685,8.236,478.0,50.0,162.121,3.793,2.212,0.452,0.917,65.48,22.817,62.0,14.0,130.0,124.739,13.448,1535.429,66.0,24031.0,23.676,17.196,13.0,2.0,83.0,124.404,13.204,555.172,17.0,8689.0
48,17.9,1.969,14.553,16.698,0.253,11.884,4.045,5.563,5.555,4.103,87.127,0.807,6.01,1.0,69.0,67.751,4.045,1.354,0.739,0.938,64.271,27.628,57.0,8.0,127.0,1.78,14.305,1149.831,68.0,17996.0,18.975,10.932,12.0,3.0,92.0,2.06,14.765,339.467,16.0,5313.0
49,31.837,13.451,14.765,23.936,9.861,11.884,8.091,6.321,9.097,4.456,35.3,0.698,9.964,39.0,72.0,35.707,5.39,2.041,0.49,0.915,62.253,21.443,65.0,8.0,112.0,13.446,14.685,1980.832,65.0,31002.0,17.177,11.295,14.0,2.0,83.0,13.108,14.75,546.547,14.0,8554.0
50,59.006,30.619,16.777,35.307,23.767,11.884,12.642,8.344,10.651,7.053,19.195,0.595,12.733,94.0,75.0,6.843,8.044,1.51,0.662,0.808,55.505,27.155,71.0,5.0,140.0,30.82,16.547,3273.338,62.0,51231.0,18.82,12.875,10.0,1.0,78.0,30.021,17.136,1109.897,14.0,17371.0
51,50.12,54.529,15.837,27.599,49.81,11.884,9.102,7.585,8.868,7.196,166.092,0.827,9.228,197.0,63.0,170.538,7.207,1.232,0.811,0.936,71.784,25.872,84.0,8.0,136.0,54.415,15.812,3595.873,77.0,56279.0,16.82,15.322,10.0,2.0,126.0,54.926,15.887,842.566,12.0,13187.0
52,44.558,88.095,15.928,29.596,83.185,11.884,9.861,8.344,11.878,4.776,38.815,0.639,12.288,329.0,76.0,36.634,5.36,2.487,0.402,0.872,60.225,23.987,72.0,11.0,130.0,88.074,15.857,2682.066,62.0,41977.0,23.623,14.945,13.0,5.0,117.0,87.9,15.922,1052.01,19.0,16465.0
53,35.544,70.824,16.062,23.727,67.003,12.895,7.585,6.574,8.604,5.26,32.114,0.793,9.204,266.0,77.0,37.185,5.732,1.636,0.611,0.94,72.362,26.517,67.0,9.0,138.0,70.733,16.179,2570.635,74.0,40233.0,16.156,9.335,13.0,2.0,72.0,70.877,15.775,573.957,14.0,8983.0
54,38.805,78.999,16.322,24.294,75.094,12.895,8.091,6.574,8.026,6.156,163.655,0.826,8.348,298.0,56.0,144.866,6.574,1.304,0.767,0.92,59.232,25.289,71.0,8.0,128.0,78.994,16.496,2297.234,63.0,35954.0,18.42,15.105,9.0,4.0,114.0,79.043,15.914,714.395,14.0,11181.0
55,18.412,7.44,15.559,18.128,4.551,13.148,5.31,5.31,4.968,4.718,29.888,0.704,6.245,18.0,65.0,31.759,5.032,1.053,0.95,0.865,74.927,28.46,79.0,9.0,156.0,7.433,15.543,1378.762,78.0,21579.0,17.917,15.88,9.0,3.0,129.0,7.233,15.36,329.691,13.0,5160.0
56,13.873,16.628,17.041,17.633,13.653,13.653,5.563,6.068,7.636,2.313,44.572,0.561,7.706,56.0,77.0,48.991,2.648,3.301,0.303,0.83,63.055,15.806,56.0,8.0,111.0,16.646,17.018,874.257,62.0,13683.0,15.18,8.771,14.0,0.0,67.0,16.804,16.746,210.466,13.0,3294.0
57,15.215,94.605,16.284,15.008,92.034,14.412,5.563,3.793,5.587,3.467,15.654,0.849,5.837,364.0,69.0,17.65,3.793,1.611,0.621,0.932,34.483,10.425,27.0,13.0,62.0,94.835,16.241,524.376,35.0,8207.0,31.525,13.8,19.0,10.0,96.0,94.444,16.178,479.394,28.0,7503.0
58,29.599,42.679,17.98,20.581,39.443,14.665,6.574,6.827,6.372,5.915,116.364,0.878,6.993,166.0,58.0,102.529,5.996,1.077,0.928,0.929,88.352,31.81,105.0,9.0,189.0,42.526,17.734,2613.699,88.0,40907.0,15.352,10.566,10.0,0.0,90.0,42.556,18.23,454.156,13.0,7108.0
59,36.12,122.601,17.172,31.818,115.549,15.17,13.653,4.551,13.303,3.457,176.792,0.448,13.768,457.0,70.0,7.386,4.232,3.848,0.26,0.817,59.159,29.569,60.0,6.0,137.0,122.905,17.24,2135.647,64.0,33425.0,21.23,15.537,11.0,3.0,106.0,122.212,16.994,766.405,16.0,11995.0
60,39.764,110.918,19.286,25.785,105.688,15.929,9.608,6.321,9.217,5.493,18.394,0.752,9.819,418.0,81.0,11.889,5.993,1.678,0.596,0.925,68.823,31.039,77.0,6.0,149.0,110.796,19.489,2735.161,73.0,42808.0,17.773,14.0,10.0,3.0,113.0,110.958,18.994,706.345,13.0,11055.0
61,56.513,96.726,21.308,30.102,91.529,16.688,9.861,8.597,9.646,7.459,25.421,0.784,10.028,371.0,99.0,56.31,8.098,1.293,0.773,0.902,78.56,32.573,76.0,9.0,160.0,96.508,21.738,4437.226,80.0,69447.0,16.41,16.519,9.0,1.0,104.0,96.819,20.389,926.842,11.0,14506.0
62,48.202,19.479,21.431,27.303,15.676,17.193,8.091,8.597,9.503,6.459,47.613,0.813,10.394,64.0,102.0,48.945,6.615,1.471,0.68,0.929,60.942,28.118,75.0,8.0,131.0,19.222,21.158,2935.915,68.0,45950.0,20.883,16.4,10.0,3.0,128.0,19.438,22.106,1006.07,15.0,15746.0
63,35.353,3.76,20.594,22.506,0.506,17.446,7.08,6.321,7.384,6.096,33.751,0.877,8.154,2.0,92.0,29.745,6.321,1.211,0.826,0.952,80.302,29.39,83.0,6.0,155.0,3.633,20.826,2837.327,82.0,44407.0,18.222,12.295,14.0,1.0,107.0,3.784,20.178,643.857,15.0,10077.0
64,30.942,62.651,19.736,22.174,58.659,17.446,7.838,4.804,8.093,4.868,6.207,0.791,7.939,236.0,88.0,37.235,4.693,1.663,0.601,0.939,67.531,22.449,72.0,8.0,120.0,62.697,19.873,2088.365,69.0,32685.0,19.738,20.507,11.0,3.0,134.0,61.856,19.487,610.376,13.0,9553.0
65,37.398,48.891,20.995,25.193,44.5,17.699,9.355,6.574,8.013,5.942,8.87,0.74,9.628,176.0,88.0,13.671,6.558,1.349,0.742,0.886,61.034,26.268,70.0,6.0,137.0,49.034,21.078,2281.324,65.0,35705.0,16.715,16.791,10.0,2.0,102.0,48.656,20.565,624.753,12.0,9778.0
66,16.366,38.485,20.827,16.709,35.651,17.952,5.31,5.563,5.86,3.556,131.302,0.737,6.031,148.0,71.0,123.024,4.096,1.648,0.607,0.863,55.285,18.336,65.0,14.0,100.0,38.619,20.985,904.287,58.0,14153.0,31.457,18.66,19.0,7.0,102.0,38.139,20.59,514.536,25.0,8053.0
67,5.05,90.176,19.246,8.694,88.495,18.205,3.287,2.023,3.531,1.821,20.736,0.84,3.733,350.0,79.0,28.301,2.023,1.939,0.516,0.929,35.861,9.214,27.0,20.0,64.0,90.01,19.284,181.011,36.0,2833.0,24.797,10.46,21.0,11.0,59.0,90.223,19.136,125.168,22.0,1959.0
68,53.125,72.72,21.939,29.831,66.75,18.457,11.125,6.827,10.5,6.442,3.511,0.75,11.307,264.0,88.0,10.305,6.827,1.63,0.614,0.925,74.024,30.112,75.0,6.0,151.0,72.86,21.924,3930.357,79.0,61514.0,15.517,13.05,9.0,2.0,105.0,72.361,21.992,823.909,12.0,12895.0
69,4.795,103.343,19.592,8.633,101.895,18.457,3.034,2.023,3.271,1.866,165.847,0.809,3.513,403.0,73.0,149.744,2.023,1.753,0.57,0.904,31.093,6.727,30.0,17.0,48.0,103.281,19.592,149.0,30.0,2332.0,28.72,13.135,22.0,11.0,79.0,103.392,19.688,137.627,26.0,2154.0
70,16.941,127.372,21.412,17.352,124.904,18.457,4.298,5.563,4.962,4.347,53.521,0.707,6.26,494.0,91.0,46.637,4.298,1.142,0.876,0.914,50.026,32.377,10.0,5.0,100.0,128.014,21.34,847.039,58.0,13257.0,20.253,16.075,11.0,2.0,89.0,126.944,21.109,342.917,15.0,5367.0
71,47.116,118.978,21.837,27.711,114.284,18.71,9.861,6.068,10.054,5.967,6.546,0.771,10.658,452.0,97.0,22.306,6.068,1.685,0.593,0.946,63.628,28.954,83.0,6.0,143.0,119.084,21.919,2996.231,68.0,46894.0,20.882,14.802,14.0,3.0,110.0,118.647,21.758,983.324,16.0,15390.0
