,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-F-Actin,StdDev-F-Actin,Mode-F-Actin,Min-F-Actin,Max-F-Actin,XM-F-Actin,YM-F-Actin,IntDen-F-Actin,Median-F-Actin,RawIntDen-F-Actin
0,3.069,6.795,0.785,7.412,5.31,0.253,3.034,1.264,3.053,1.28,1.597,0.702,3.127,21.0,1.0,165.964,1.264,2.386,0.419,0.906,28.875,29.809,9.0,6.0,103.0,7.084,0.548,88.557,15.0,1386.0,42.521,18.934,49.0,15.0,90.0,6.731,0.819,130.407,37.0,2041.0
1,10.548,39.2,1.194,14.195,36.156,0.253,5.815,2.023,6.065,2.214,178.485,0.658,6.01,143.0,1.0,165.379,2.023,2.739,0.365,0.965,45.479,42.679,15.0,7.0,213.0,38.557,0.854,479.458,27.0,7504.0,27.909,22.229,16.0,4.0,153.0,38.887,1.422,294.23,22.0,4605.0
2,14.895,55.471,1.298,18.782,51.58,0.253,8.091,2.781,7.234,2.622,1.336,0.531,8.126,204.0,1.0,174.644,2.781,2.759,0.362,0.908,108.524,48.218,146.0,12.0,200.0,55.504,1.183,1615.616,112.0,25286.0,14.652,6.729,11.0,3.0,43.0,55.803,1.418,218.133,13.0,3414.0
3,3.836,64.323,0.733,9.373,62.199,0.253,4.045,1.011,4.44,1.1,178.058,0.549,4.17,246.0,1.0,165.964,1.011,4.037,0.248,0.968,89.7,51.861,19.0,12.0,211.0,64.348,0.604,343.876,80.0,5382.0,28.55,19.471,19.0,10.0,94.0,64.546,0.881,109.45,20.0,1713.0
4,9.206,79.499,1.094,14.614,76.864,0.253,6.068,2.276,5.895,1.988,6.741,0.542,6.152,304.0,5.0,9.462,2.276,2.965,0.337,0.917,97.069,68.807,10.0,7.0,241.0,80.115,0.877,893.106,104.0,13978.0,13.757,5.544,12.0,3.0,31.0,79.439,1.17,126.573,13.0,1981.0
5,8.055,87.517,0.847,15.86,83.691,0.253,7.08,1.517,7.482,1.371,177.398,0.402,7.12,331.0,1.0,173.884,1.517,5.458,0.183,0.903,83.143,47.317,24.0,3.0,210.0,87.198,0.731,669.35,86.0,10476.0,16.508,7.999,16.0,6.0,58.0,87.462,0.907,132.899,15.0,2080.0
6,2.685,96.519,0.837,6.758,95.068,0.253,2.781,1.264,3.011,1.135,167.007,0.739,3.055,376.0,1.0,155.556,1.264,2.652,0.377,0.903,23.286,10.848,15.0,8.0,51.0,96.213,0.723,62.488,24.0,978.0,22.881,9.256,23.0,5.0,53.0,96.628,0.856,61.402,23.0,961.0
7,4.986,100.962,0.749,12.111,98.608,0.253,5.31,1.264,5.698,1.114,3.787,0.427,5.405,390.0,5.0,10.784,1.264,5.114,0.196,0.862,76.692,27.945,55.0,16.0,135.0,101.014,0.664,382.212,77.0,5982.0,34.782,26.446,19.0,10.0,130.0,100.288,0.925,173.344,24.0,2713.0
8,3.069,108.127,1.001,7.979,106.446,0.253,3.287,1.517,3.685,1.06,164.823,0.606,3.62,421.0,1.0,155.225,1.226,3.475,0.288,0.842,5.625,1.671,6.0,3.0,10.0,108.174,0.999,17.251,6.0,270.0,30.125,16.491,24.0,13.0,90.0,108.285,0.955,92.39,25.0,1446.0
9,1.726,111.63,0.632,5.476,110.492,0.253,2.276,0.759,2.568,0.856,0.0,0.723,2.399,437.0,1.0,161.565,0.759,3.0,0.333,1.0,24.926,11.0,20.0,10.0,53.0,111.549,0.557,43.0,23.0,673.0,35.333,13.03,20.0,19.0,68.0,111.641,0.683,60.955,33.0,954.0
10,5.626,116.732,0.782,12.469,114.032,0.253,5.563,1.264,5.669,1.263,0.798,0.455,5.614,451.0,1.0,172.235,1.264,4.487,0.223,0.903,65.273,35.478,34.0,17.0,180.0,117.005,0.664,367.005,65.0,5744.0,28.602,17.966,20.0,8.0,95.0,116.665,0.876,160.82,23.0,2517.0
11,7.927,1.095,2.679,14.553,0.253,0.506,2.276,5.563,5.582,1.808,79.129,0.47,6.01,1.0,24.0,67.751,2.276,3.087,0.324,0.797,105.298,79.684,8.0,5.0,239.0,1.017,1.905,834.26,113.0,13057.0,15.024,10.341,8.0,3.0,68.0,1.119,3.233,119.034,13.0,1863.0
