,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-F-Actin,StdDev-F-Actin,Mode-F-Actin,Min-F-Actin,Max-F-Actin,XM-F-Actin,YM-F-Actin,IntDen-F-Actin,Median-F-Actin,RawIntDen-F-Actin
0,9.334,20.633,0.951,16.218,16.688,0.253,7.08,1.77,7.404,1.605,176.068,0.446,7.151,66.0,1.0,171.87,1.77,4.612,0.217,0.912,207.288,54.522,255.0,39.0,255.0,20.819,0.947,1933.679,228.0,30264.0,22.788,11.557,14.0,5.0,82.0,20.865,1.088,212.574,20.0,3327.0
1,32.22,31.654,1.4,34.816,24.273,0.253,15.676,2.781,15.149,2.708,1.449,0.334,15.84,96.0,10.0,8.259,2.781,5.594,0.179,0.898,138.776,84.209,255.0,14.0,255.0,32.35,1.074,4468.917,155.0,69943.0,28.345,15.58,19.0,8.0,114.0,30.836,1.642,912.785,23.0,14286.0
2,2.493,53.982,0.865,5.747,52.844,0.253,2.276,1.264,2.401,1.322,171.085,0.949,2.49,209.0,1.0,156.038,1.264,1.816,0.551,0.94,225.744,27.991,255.0,153.0,255.0,53.972,0.87,562.52,231.0,8804.0,23.256,6.34,14.0,13.0,37.0,53.976,0.882,57.952,23.0,907.0
3,4.795,58.122,0.848,9.94,55.878,0.253,4.298,1.264,4.679,1.305,175.799,0.61,4.48,221.0,1.0,163.61,1.264,3.586,0.279,0.943,159.4,75.134,255.0,31.0,255.0,57.78,0.833,763.849,172.0,11955.0,22.947,6.947,23.0,9.0,50.0,58.034,0.87,109.961,23.0,1721.0
4,16.366,65.365,1.207,20.744,60.935,0.253,9.102,2.276,9.184,2.269,179.988,0.478,9.158,241.0,5.0,6.34,2.276,4.048,0.247,0.906,110.066,61.632,35.0,20.0,249.0,65.631,1.076,1800.333,114.0,28177.0,31.438,19.802,15.0,9.0,130.0,65.083,1.457,514.216,26.0,8048.0
5,39.252,75.649,2.241,30.091,69.026,0.253,13.148,4.045,13.108,3.813,3.254,0.545,13.302,273.0,13.0,8.746,4.045,3.438,0.291,0.91,130.738,65.929,144.0,12.0,255.0,75.66,2.074,5128.939,136.0,80273.0,26.712,18.07,19.0,7.0,120.0,75.754,2.44,1047.921,20.0,16401.0
6,36.12,96.151,1.141,49.716,82.932,0.253,23.261,2.528,24.302,1.892,177.75,0.184,23.372,328.0,1.0,174.413,2.422,12.842,0.078,0.828,96.375,83.115,20.0,7.0,255.0,93.996,0.947,3479.14,59.0,54452.0,31.715,15.851,23.0,5.0,129.0,96.595,1.252,1144.911,29.0,17919.0
7,5.945,1.35,1.796,9.138,0.253,0.506,2.528,2.781,3.109,2.435,63.866,0.895,3.576,1.0,13.0,45.0,2.528,1.277,0.783,0.949,60.538,42.364,33.0,16.0,155.0,0.974,1.755,359.722,39.0,5630.0,38.43,19.156,22.0,14.0,85.0,1.356,1.729,228.356,30.0,3574.0
8,32.604,9.53,2.489,28.538,3.034,0.506,11.884,3.793,12.518,3.316,0.378,0.503,12.054,12.0,14.0,9.66,3.786,3.775,0.265,0.888,163.996,56.045,255.0,18.0,255.0,9.466,2.518,5343.941,167.0,83638.0,23.345,16.918,13.0,3.0,109.0,9.447,2.158,760.718,18.0,11906.0
9,33.435,47.5,2.614,25.775,42.73,0.506,9.861,4.804,10.072,4.227,11.492,0.632,10.477,169.0,21.0,19.747,4.697,2.383,0.42,0.888,163.26,63.072,255.0,13.0,255.0,47.43,2.563,5455.563,172.0,85385.0,21.331,11.208,18.0,6.0,106.0,47.159,2.635,712.798,19.0,11156.0
