,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-F-Actin,StdDev-F-Actin,Mode-F-Actin,Min-F-Actin,Max-F-Actin,XM-F-Actin,YM-F-Actin,IntDen-F-Actin,Median-F-Actin,RawIntDen-F-Actin
0,9.014,5.088,1.01,14.491,2.276,0.253,6.068,1.77,6.677,1.719,3.251,0.539,6.255,9.0,7.0,14.036,1.77,3.884,0.257,0.94,189.397,56.982,255.0,34.0,255.0,5.184,0.992,1706.281,197.0,26705.0,19.376,8.471,13.0,5.0,45.0,5.325,1.053,174.558,17.0,2732.0
1,4.731,32.302,0.707,11.902,29.835,0.253,5.31,1.011,5.855,1.029,2.08,0.42,5.405,118.0,5.0,10.784,1.011,5.692,0.176,0.937,59.635,63.502,19.0,9.0,255.0,32.277,0.547,281.963,35.0,4413.0,43.365,15.537,33.0,13.0,98.0,32.058,0.76,205.035,41.0,3209.0
2,14.128,40.02,1.687,15.835,37.168,0.253,5.815,3.287,5.895,3.051,8.946,0.708,5.951,147.0,6.0,12.265,3.258,1.932,0.518,0.902,192.905,35.917,255.0,80.0,255.0,39.886,1.692,2723.916,190.0,42632.0,19.14,7.7,15.0,7.0,43.0,39.904,1.727,270.27,18.0,4230.0
3,10.996,57.104,1.489,14.614,54.108,0.253,5.815,2.528,6.109,2.292,174.505,0.647,6.157,214.0,1.0,160.821,2.388,2.665,0.375,0.891,127.151,78.53,255.0,13.0,255.0,57.227,1.774,1397.355,143.0,21870.0,22.076,6.893,20.0,5.0,45.0,56.881,1.463,242.604,21.0,3797.0
4,1.982,61.526,0.828,5.031,60.682,0.253,1.77,1.264,1.883,1.34,8.561,0.984,2.038,240.0,5.0,29.745,1.264,1.404,0.712,0.954,26.839,4.337,28.0,19.0,37.0,61.543,0.84,53.16,28.0,832.0,35.581,20.668,22.0,8.0,73.0,61.402,0.971,70.475,27.0,1103.0
5,2.749,67.159,0.75,6.845,65.739,0.253,2.781,1.011,3.091,1.132,178.785,0.737,2.959,260.0,1.0,160.017,1.011,2.73,0.366,0.989,27.163,8.295,25.0,17.0,67.0,67.291,0.755,74.628,25.0,1168.0,19.465,6.645,18.0,9.0,39.0,67.061,0.781,53.479,18.0,837.0
6,40.531,77.46,1.466,41.303,69.279,0.253,18.457,3.54,18.147,2.844,2.429,0.299,18.542,274.0,8.0,5.477,3.54,6.381,0.157,0.816,80.347,62.815,17.0,8.0,255.0,75.323,1.444,3254.745,78.0,50940.0,12.169,6.826,10.0,0.0,57.0,77.7,1.622,492.94,11.0,7715.0
7,40.147,105.117,1.629,35.322,96.586,0.253,15.676,3.54,16.045,3.186,177.116,0.404,15.806,382.0,1.0,172.648,3.54,5.036,0.199,0.886,83.764,51.311,7.0,5.0,249.0,104.97,1.406,3361.064,83.0,52604.0,13.344,8.625,11.0,2.0,69.0,104.554,1.859,535.429,11.0,8380.0
8,33.307,120.213,2.287,31.572,113.02,0.253,13.148,4.045,12.857,3.298,167.577,0.42,13.756,447.0,1.0,162.897,3.8,3.898,0.257,0.83,96.127,66.39,29.0,7.0,255.0,120.358,2.367,3199.924,98.0,50082.0,14.012,10.608,9.0,0.0,77.0,119.791,2.101,466.424,11.0,7300.0
9,4.986,126.392,0.729,11.753,123.64,0.253,5.31,1.011,5.773,1.1,178.911,0.454,5.364,489.0,1.0,171.87,1.011,5.249,0.191,0.963,154.269,69.105,255.0,27.0,255.0,126.896,0.739,768.833,157.0,12033.0,10.731,5.273,7.0,2.0,33.0,125.965,0.766,53.479,10.0,837.0
