 ,Area,X,Y,Perim,BX,BY,Width,Height,Major,Minor,Angle,Circ,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
1,19.545,2.598,127.049,16.856,0,129.167,5.051,4.672,5.568,4.469,143.802,0.864,6.177,0,0,130.855,4.672,1.246,0.803,0.968,176.398,37.151,255,80,255,2.577,127.057,3447.726,174,216264,37.923,22.965,11,3,131,2.359,127.52,741.201,37,46493,4.753,4.99,0,0,26,2.118,127.717,92.895,3,5827,19.118,8.447,13,5,77,2.598,127.261,373.669,18,23439
2,24.535,33.682,127.198,21.111,29.545,129.167,7.323,4.924,7.126,4.384,158.934,0.692,7.817,29.545,0,148.878,4.924,1.626,0.615,0.951,163.807,37.479,149,64,255,33.791,127.248,4019.015,160,252099,58.765,35.803,9,1,198,33.614,127.655,1441.798,58,90439,6.207,5.744,0,0,30,33.63,127.738,152.296,5,9553,29.698,13.262,19,6,120,33.615,127.462,728.639,27,45705
3,18.589,40.277,127.314,17.052,37.374,129.167,5.808,4.419,5.459,4.336,176.107,0.803,6.071,37.374,0.126,163.072,4.419,1.259,0.794,0.949,161.01,33.481,127,87,255,40.272,127.293,2992.959,158,187738,60.785,37.198,20,6,187,40.337,127.643,1129.904,59,70875,7.151,6.662,0,0,41,40.291,127.697,132.926,6,8338,36.268,16.192,23,7,92,40.35,127.479,674.18,33,42289
4,27.851,50.844,126.569,20.649,47.475,129.167,6.566,5.429,7.259,4.885,150.095,0.821,7.711,47.601,0.126,140.315,5.167,1.486,0.673,0.96,179.441,37.406,195,76,255,50.73,126.645,4997.628,182,313484,35.814,20.616,11,4,128,50.621,126.989,997.456,36,62567,3.837,3.933,0,0,26,50.486,127.037,106.861,3,6703,28.437,11.944,15,5,81,50.693,126.803,792.009,28,49680
5,12.18,60.05,127.623,15.063,56.818,129.167,5.682,3.662,5.727,2.708,152.839,0.675,6.218,56.818,0,150.832,2.876,2.115,0.473,0.94,79.842,14.515,87,42,117,60.068,127.617,972.459,79,60999,12.851,5.626,9,2,38,59.999,127.683,156.521,12,9818,1.38,1.677,0,0,10,60.008,127.827,16.803,1,1054,15.391,7.558,9,4,49,59.98,127.734,187.464,14,11759
6,3.428,67.162,128.575,8.443,65.151,129.167,3.409,1.515,3.357,1.3,167.512,0.604,3.556,65.151,0,163.496,1.515,2.583,0.387,0.911,68.544,10.051,67,48,98,67.096,128.602,234.94,67,14737,7.386,2.46,6,2,16,67.101,128.619,25.316,7,1588,0.977,1.251,0,0,6,67.054,128.637,3.348,1,210,12.912,6.129,9,4,39,66.997,128.623,44.256,12,2776
7,2.949,81.777,128.662,7.55,80.05,129.167,3.157,1.136,3.17,1.185,175.224,0.65,3.246,80.05,0,166.504,1.136,2.676,0.374,0.949,116.514,33.733,123,63,187,81.723,128.736,343.634,109,21555,17.541,10.533,10,3,56,81.699,128.788,51.732,14,3245,1.827,2.086,0,0,9,81.719,128.807,5.388,1,338,20.324,6.061,21,10,40,81.712,128.695,59.943,20,3760
8,3.459,88.632,128.734,9.823,86.237,129.167,4.293,1.136,4.349,1.013,176.012,0.451,4.323,86.237,0,173.29,1.136,4.294,0.233,0.927,76.286,21.076,64,46,144,88.369,128.772,263.907,71,16554,10.654,3.81,8,4,24,88.464,128.754,36.858,10,2312,0.724,1.096,0,0,6,88.247,128.807,2.503,0,157,16.756,5.568,14,6,38,88.477,128.745,57.966,17,3636
9,20.693,108.043,127.294,18.567,104.672,129.167,6.818,4.167,6.285,4.192,173.817,0.754,6.934,104.672,0.253,169.509,4.167,1.499,0.667,0.939,162.946,41.712,255,69,255,108.066,127.354,3371.841,158,211504,42.403,24.43,13,4,102,108.086,127.618,877.443,40,55039,4.193,4.55,0,0,30,108.04,127.647,86.773,3,5443,24.015,10.913,16,5,89,107.937,127.456,496.935,22,31171
10,4.193,118.21,128.508,8.8,116.288,129.167,3.535,1.641,3.328,1.604,174.662,0.68,3.591,116.288,0,169.875,1.641,2.074,0.482,0.948,97.631,21.338,71,56,154,118.137,128.578,409.348,96,25677,17.97,12.166,13,3,58,118.123,128.707,75.343,14,4726,1.692,2.445,0,0,12,118.159,128.687,7.094,1,445,15.631,6.43,11,6,40,118.181,128.608,65.538,14,4111
11,11.606,19.661,127.938,17.034,15.53,129.04,7.323,2.525,6.957,2.124,168.415,0.503,7.505,15.53,0.126,167.367,2.438,3.275,0.305,0.91,179.745,44.989,218,80,255,19.637,127.997,2086.102,179,130854,40.321,28.148,9,6,157,19.545,128.158,467.968,34,29354,2.959,4.035,0,0,35,19.402,128.239,34.34,2,2154,32.451,14.882,27,7,92,19.748,127.97,376.619,30,23624
