 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AC0-DAPI,StdDev+AC0-DAPI,Mode+AC0-DAPI,Min+AC0-DAPI,Max+AC0-DAPI,XM+AC0-DAPI,YM+AC0-DAPI,IntDen+AC0-DAPI,Median+AC0-DAPI,RawIntDen+AC0-DAPI,Mean+AC0-Sox2,StdDev+AC0-Sox2,Mode+AC0-Sox2,Min+AC0-Sox2,Max+AC0-Sox2,XM+AC0-Sox2,YM+AC0-Sox2,IntDen+AC0-Sox2,Median+AC0-Sox2,RawIntDen+AC0-Sox2,Mean+AC0-Klf4,StdDev+AC0-Klf4,Mode+AC0-Klf4,Min+AC0-Klf4,Max+AC0-Klf4,XM+AC0-Klf4,YM+AC0-Klf4,IntDen+AC0-Klf4,Median+AC0-Klf4,RawIntDen+AC0-Klf4,Mean+AC0-Sox9,StdDev+AC0-Sox9,Mode+AC0-Sox9,Min+AC0-Sox9,Max+AC0-Sox9,XM+AC0-Sox9,YM+AC0-Sox9,IntDen+AC0-Sox9,Median+AC0-Sox9,RawIntDen+AC0-Sox9
354,31.215,113.35,3.591,22.922,110.48,7.955,5.303,8.081,8.6,4.622,71.772,0.747,8.81,880,1024,64.537,4.846,1.861,0.537,0.952,191.597,34.943,255,104,255,113.332,3.579,5980.672,188,375147,43.446,14.138,27,15,84,113.427,3.553,1356.172,44,85068,2.647,4.14,0,0,62,113.528,3.935,82.628,2,5183,77.318,31.317,80,15,235,113.39,3.658,2413.475,76,151389
355,26.097,52.97,3.452,21.524,50.758,7.576,4.293,7.702,8.134,4.085,81.096,0.708,8.188,406,1024,70.168,4.207,1.991,0.502,0.937,144.002,37.148,130,69,251,52.944,3.337,3758.073,138,235731,26.14,7.93,20,9,56,52.989,3.479,682.183,25,42791,0.929,1.4,0,0,16,53.043,3.442,24.248,0,1521,55.924,21.188,41,21,152,52.935,3.477,1459.462,51,91547
356,20.725,105.246,2.943,20.957,103.283,7.197,4.04,7.323,7.571,3.485,90.19,0.593,7.746,820,1024,70.974,4.04,2.172,0.46,0.891,213.623,35.497,255,97,255,105.261,2.902,4427.311,219,277710,46.276,18.505,27,13,103,105.408,2.908,959.067,44,60159,1.501,2.766,0,0,41,105.329,2.804,31.103,1,1951,41.824,15.958,31,12,104,105.294,2.975,866.794,39,54371
357,19.944,21.213,3.414,19.756,19.066,7.071,4.672,6.944,7.95,3.194,113.343,0.642,8.09,152,969,124.186,3.37,2.489,0.402,0.931,205.317,38.214,255,68,255,21.31,3.342,4094.773,207,256851,47.384,18.832,61,12,109,21.261,3.421,945.006,47,59277,1.213,1.908,0,0,23,21.375,3.242,24.184,1,1517,66.03,33.238,25,14,170,21.281,3.387,1316.89,61,82604
358,25.284,43.036,2.829,21.031,40.783,6.439,4.924,6.566,7.053,4.564,100.015,0.718,7.536,331,973,121.293,4.705,1.545,0.647,0.94,185.582,37.7,186,71,255,43.082,2.799,4692.319,186,294333,38.417,16.153,20,6,91,43.195,2.742,971.343,38,60929,1.175,2.005,0,0,25,43.096,2.524,29.7,0,1863,86.777,42.06,102,12,210,43.276,2.757,2194.11,89,137629
359,22.67,92.079,2.867,19.59,89.52,6.439,4.545,6.566,6.465,4.465,90.169,0.742,6.99,716,1024,69.928,4.545,1.448,0.691,0.927,189.298,40.362,255,75,255,92.038,2.88,4291.356,191,269182,49.025,21.589,27,14,108,91.959,2.842,1111.395,45,69714,1.76,2.515,0,0,31,91.912,3.161,39.903,1,2503,53.93,27.648,32,12,178,91.94,2.947,1222.592,46,76689
360,7.19,80.253,3.929,11.042,79.293,6.061,1.894,4.167,4.484,2.042,88.562,0.741,4.287,631,1008,76.373,1.894,2.196,0.455,0.967,137.902,18.004,151,83,186,80.27,3.965,991.51,138,62194,22.537,4.449,20,12,39,80.263,3.985,162.037,22,10164,3.847,4.485,2,0,44,80.308,4.122,27.66,3,1735,37.71,19.7,32,17,164,80.269,4.132,271.129,33,17007
361,17.536,83.25,2.567,18.266,81.439,5.934,3.788,6.061,6.442,3.466,83.41,0.66,6.672,646,1024,60.524,3.788,1.859,0.538,0.877,179.935,33.754,255,87,255,83.307,2.529,3155.426,177,197929,50.299,19.738,28,14,101,83.392,2.645,882.067,51,55329,2.035,3.538,0,0,47,83.485,2.732,35.695,1,2239,68.54,36.929,28,18,255,83.412,2.717,1201.947,62,75394
362,15.958,17.412,2.418,17.879,15.53,5.556,4.293,5.682,6.356,3.197,108.524,0.627,6.768,125,981,126.656,3.631,1.988,0.503,0.863,202.826,36.446,255,90,255,17.437,2.405,3236.731,202,203029,50.493,21.707,27,15,110,17.593,2.129,805.767,50,50543,2.457,3.266,0,0,26,17.816,1.829,39.202,2,2459,69.248,37.712,29,11,188,17.639,2.121,1105.066,64,69317
363,16.739,13.455,2.376,16.899,11.742,5.429,3.788,5.556,5.998,3.553,99.818,0.737,6.218,98,981,119.168,3.692,1.688,0.592,0.948,176.669,43.549,192,59,255,13.509,2.306,2957.312,180,185502,47.036,22.432,20,7,105,13.781,2.283,787.354,49,49388,1.83,2.472,0,0,17,13.752,1.869,30.641,1,1922,27.338,14.805,27,5,114,13.73,2.332,457.621,25,28705
