 ,Area,X,Y,Perim,BX,BY,Width,Height,Major,Minor,Angle,Circ,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
331,18.923,82.718,12.353,16.886,80.682,15.152,4.293,5.303,5.556,4.337,91.647,0.834,5.816,81.187,119.318,62.879,4.293,1.281,0.781,0.95,145.88,33.84,135,87,255,82.752,12.345,2760.537,139,173159,44.934,21.07,51,9,97,82.873,12.487,850.31,45,53337,5.276,4.922,0,0,31,82.896,12.548,99.846,4,6263,30.767,10.754,20,14,82,82.785,12.461,582.21,29,36520
332,54.762,4.438,8.666,31.475,1.136,14.646,6.439,11.869,12.131,5.748,100.552,0.695,12.109,3.662,114.52,101.427,5.87,2.111,0.474,0.946,179.404,46.641,255,49,255,4.485,8.852,9824.451,179,616254,36.196,16.489,52,4,83,4.537,8.753,1982.143,36,124333,5.293,5.222,0,0,37,4.588,8.79,289.861,4,18182,30.521,13.589,22,11,93,4.45,8.7,1671.365,27,104839
333,32.745,76.471,10.595,22.213,73.485,14.52,6.187,7.323,7.748,5.381,118.191,0.834,7.854,74.369,115.278,126.501,5.566,1.44,0.695,0.956,147.673,39.867,111,78,253,76.436,10.588,4835.607,142,303321,45.288,22.554,59,5,96,76.49,10.86,1482.96,48,93021,23.271,17.712,2,0,83,76.431,10.752,762.022,22,47799,28.039,13.174,16,9,107,76.389,10.598,918.16,26,57593
334,13.838,34.282,11.931,14.662,32.449,14.394,3.914,5.303,5.237,3.364,70.32,0.809,5.451,33.712,120.076,76.608,3.533,1.557,0.642,0.929,75.357,12.544,63,54,106,34.184,11.923,1042.78,74,65410,16.55,5.899,13,7,43,34.184,11.965,229.01,15,14365,3.2,2.938,2,0,22,34.214,11.96,44.287,3,2778,33.793,20.481,22,12,150,34.42,12.166,467.617,27,29332
335,27.166,92.028,9.688,20.981,89.52,13.51,4.924,7.828,7.743,4.467,106.737,0.776,8.152,90.909,115.656,106.189,4.769,1.733,0.577,0.949,152.887,36.747,124,94,255,92.015,9.663,4153.265,146,260520,44.168,20.19,63,8,96,91.992,9.825,1199.843,48,75262,25.898,17.583,4,0,103,91.958,9.911,703.53,25,44130,32.353,14.254,18,14,108,91.98,9.751,878.878,29,55129
336,0.845,0.213,12.277,4.607,0,13.258,0.505,2.02,2.185,0.492,88.714,0.5,2.055,0,115.909,100.62,0.505,4.436,0.225,0.906,85.057,13.309,85,66,117,0.2,12.288,71.867,82,4508,9.774,1.75,10,7,14,0.194,12.298,8.258,10,518,0.396,0.793,0,0,4,0.171,12.551,0.335,0,21,18.132,2.732,17,13,23,0.21,12.319,15.32,18,961
337,31.071,71.669,7.673,25.539,69.444,12.626,4.293,10.354,10.512,3.764,102.305,0.599,10.788,70.328,116.54,106.314,4.103,2.793,0.358,0.939,148.159,31.97,139,78,255,71.635,7.622,4603.489,143,288761,41.954,20.233,57,7,83,71.751,7.778,1303.579,45,81769,15.916,12.634,0,0,61,71.776,7.805,494.527,14,31020,29.403,14.751,13,10,111,71.754,7.818,913.6,26,57307
338,28.903,42.291,7.799,22.478,39.899,12.374,5.177,8.207,7.85,4.688,92.313,0.719,8.37,40.783,125,78.69,5.177,1.674,0.597,0.931,154.229,36.486,147,92,254,42.273,7.783,4457.729,150,279618,44.76,21.503,56,8,89,42.369,7.949,1293.694,47,81149,20.507,15.944,2,0,112,42.55,8.035,592.731,19,37180,31.398,14.311,19,11,119,42.426,7.928,907.494,29,56924
339,34.993,30.589,7.854,25.391,27.399,11.995,6.313,8.46,9.266,4.808,115.6,0.682,9.316,27.651,117.677,122.829,5.281,1.927,0.519,0.917,131.269,37.147,107,57,255,30.589,7.97,4593.525,123,288136,35.152,17.599,12,6,86,30.529,8.075,1230.069,37,77158,36.13,26.211,4,0,123,30.523,8.025,1264.313,34,79306,30.82,17.679,17,10,106,30.499,8.096,1078.475,26,67649
340,32.809,104.537,7.078,23.924,101.894,11.49,5.429,8.838,9.056,4.613,111.473,0.72,9.45,102.651,117.803,112.797,5.026,1.963,0.509,0.943,132.64,36.039,120,69,255,104.432,7.137,4351.809,123,272974,38.303,20.007,9,6,94,104.476,7.301,1256.677,38,78827,19.414,15.578,2,0,91,104.502,7.381,636.971,16,39955,31.776,16.589,22,12,108,104.466,7.346,1042.541,27,65395
341,11.558,128.373,8.018,15.71,127.146,11.364,2.146,6.818,6.793,2.166,90.836,0.588,6.837,128.535,124.621,85.764,2.146,3.136,0.319,0.961,32.659,2.299,32,27,40,128.394,7.983,377.48,32,23678,2.992,0.743,3,1,5,128.435,8.176,34.579,3,2169,0.756,1.087,0,0,7,128.417,8.408,8.736,0,548,15.767,6.651,12,6,41,128.415,8.567,182.235,14,11431
342,31.295,58.976,7.427,21.978,55.808,11.111,6.187,7.449,7.953,5.01,126.317,0.814,8.133,56.566,118.308,117.759,5.252,1.588,0.63,0.953,154.768,35.189,127,58,255,59,7.423,4843.387,149,303809,43.377,22.149,14,4,99,58.945,7.562,1357.479,46,85150,5.679,5.615,0,0,44,58.904,7.669,177.708,4,11147,43.451,21.077,18,12,113,58.929,7.538,1359.775,39,85294
