 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
1,11.032,1.039,126.756,15.649,0,129.167,2.525,6.061,5.941,2.364,79.23,0.566,6.518,0,48,68.405,2.525,2.513,0.398,0.952,192.027,46.834,255,88,255,1.03,126.622,2118.449,193,132883,95.447,47.326,27,17,208,0.893,127.141,1052.967,90,66049,12.036,9.882,1,0,63,0.889,127.419,132.783,10,8329,35.412,18.244,18,10,111,0.932,127.191,390.664,31,24505
2,7.493,7.205,128.004,11.923,4.924,129.167,4.419,2.652,4.745,2.011,158.649,0.662,4.969,39,3,152.784,2.181,2.36,0.424,0.933,140.8,48.448,112,30,255,7.005,128.019,1054.992,141,66176,96.319,43.772,144,12,182,7.146,127.918,721.704,102,45270,18.509,13.688,11,0,77,7.193,127.897,138.681,16,8699,24.862,9.141,22,7,60,7.241,127.958,186.285,23,11685
3,15.91,12.73,127.852,17.33,9.091,129.167,6.692,3.03,6.438,3.147,174.113,0.666,6.722,72,0,174.611,3.03,2.046,0.489,0.963,151.744,50.37,255,47,255,12.57,127.834,2414.304,147,151441,99.128,59.994,20,6,225,12.925,128.157,1577.163,95,98930,18.246,15.707,1,0,92,12.909,128.184,290.308,15,18210,27.854,16.031,14,4,142,12.746,127.905,443.162,24,27798
4,30.035,19.493,125.746,21.011,16.035,129.167,6.439,6.692,6.354,6.018,71.076,0.855,7.067,145,53,71.241,6.071,1.056,0.947,0.942,146.761,46.916,255,42,255,19.595,125.89,4407.989,141,276498,82.63,44.714,27,9,196,19.519,126.09,2481.804,82,155675,13.566,13.325,2,0,98,19.413,126.098,407.451,9,25558,24.049,14.672,17,5,115,19.317,125.989,722.326,20,45309
5,10.904,28.778,128.183,14.922,25.631,129.167,5.934,2.273,5.925,2.343,176.171,0.615,5.968,203,0,173.928,2.273,2.528,0.396,0.959,144.902,44.594,111,45,255,28.622,128.227,1580.08,138,99113,71.085,34.835,46,12,164,28.921,128.345,775.142,60,48622,17.737,12.049,12,0,61,28.938,128.352,193.411,14,12132,20.835,10.334,15,5,85,29.111,128.277,227.192,18,14251
6,12.291,34.72,127.804,14.3,32.449,129.167,5.05,3.283,5.063,3.091,15.742,0.755,5.435,260,22,30.735,3.283,1.638,0.611,0.95,134.446,40.842,123,47,255,34.617,127.852,1652.538,128,103658,87.442,40.711,30,16,192,34.809,127.968,1074.792,89,67418,13.983,11.057,4,0,58,34.919,128.077,171.873,11,10781,33.275,16.829,23,10,105,34.939,127.948,408.997,28,25655
7,18.573,42.248,126.874,19.011,39.646,129.167,4.924,5.05,5.523,4.282,111.631,0.646,6.095,315,0,140.042,4.732,1.29,0.775,0.896,174.887,47.515,255,46,255,42.156,126.918,3248.114,175,203743,103.5,46.892,137,15,209,42.329,127.096,1922.28,106,120578,14.9,11.528,3,0,81,42.381,127.148,276.741,13,17359,29.083,12.867,24,5,89,42.35,126.891,540.154,26,33882
8,8.003,46.861,127.871,11.282,45.202,129.167,3.409,3.157,3.256,3.129,156.505,0.79,3.817,368,25,55.784,3.157,1.041,0.961,0.939,148.584,53.545,255,43,255,46.731,127.831,1189.114,144,74589,77.323,49.587,27,10,188,46.863,128.126,618.813,65,38816,49.508,45.488,7,0,170,46.866,128.237,396.212,33,24853,31.283,17.959,20,10,120,46.691,128.026,250.356,25,15704
9,16.086,53.315,127.621,16.499,50.126,129.167,5.934,3.535,5.937,3.45,167.401,0.743,6.284,397,0,157.557,3.535,1.721,0.581,0.951,152.404,45.325,255,62,255,53.285,127.649,2451.529,145,153776,89.854,44.461,96,11,206,53.33,127.869,1445.369,92,90663,24.094,16.753,12,0,92,53.311,127.925,387.571,21,24311,33.751,21.036,18,8,160,53.347,127.85,542.912,28,34055
10,4.846,57.998,128.296,8.591,56.566,129.167,2.904,2.02,2.965,2.081,0.837,0.825,3.075,448,8,19.179,2.02,1.424,0.702,0.961,49.763,16.17,42,18,95,58.114,128.388,241.174,49,15128,24.273,7.895,19,10,56,58.116,128.409,117.638,23,7379,5.01,6.67,1,0,68,58.061,128.28,24.28,4,1523,21.48,9.385,16,9,75,58.15,128.255,104.103,19,6530
11,32.761,62.764,126.528,22.638,59.343,129.167,7.071,6.061,7.319,5.699,29.318,0.803,8.265,472,37,34.418,6.061,1.284,0.779,0.961,113.188,39.155,86,42,255,62.758,126.412,3708.19,106,232602,75.374,42.045,34,7,179,62.729,126.905,2469.337,78,154893,69.246,49.418,3,0,201,62.682,126.982,2268.593,71,142301,35.441,22.692,19,8,255,62.614,126.777,1161.103,29,72832
12,17.489,74.025,127.833,18.549,69.823,129.167,7.449,3.157,7.151,3.114,173.423,0.639,7.656,553,0,166.651,3.157,2.297,0.435,0.949,127.89,39.661,113,47,255,74.002,127.82,2236.612,122,140295,75.801,44.49,20,8,176,74.003,128.081,1325.659,75,83154,59.464,46.889,6,0,211,74.073,128.123,1039.942,53,65232,31.056,13.254,22,9,104,74.049,127.987,543.119,28,34068
13,1.515,88.831,128.838,5.573,87.626,129.167,2.399,0.758,2.45,0.787,179.685,0.613,2.429,694,0,171.027,0.758,3.112,0.321,0.945,104.611,32.02,117,52,191,88.757,128.872,158.434,105,9938,41.979,24.848,17,13,119,88.562,128.9,63.578,35,3988,3.937,3.118,3,0,14,88.685,128.915,5.962,3,374,26.053,7.34,23,14,46,88.841,128.837,39.457,25,2475
