 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AC0-DAPI,StdDev+AC0-DAPI,Mode+AC0-DAPI,Min+AC0-DAPI,Max+AC0-DAPI,XM+AC0-DAPI,YM+AC0-DAPI,IntDen+AC0-DAPI,Median+AC0-DAPI,RawIntDen+AC0-DAPI,Mean+AC0-Sox2,StdDev+AC0-Sox2,Mode+AC0-Sox2,Min+AC0-Sox2,Max+AC0-Sox2,XM+AC0-Sox2,YM+AC0-Sox2,IntDen+AC0-Sox2,Median+AC0-Sox2,RawIntDen+AC0-Sox2,Mean+AC0-Klf4,StdDev+AC0-Klf4,Mode+AC0-Klf4,Min+AC0-Klf4,Max+AC0-Klf4,XM+AC0-Klf4,YM+AC0-Klf4,IntDen+AC0-Klf4,Median+AC0-Klf4,RawIntDen+AC0-Klf4,Mean+AC0-Sox9,StdDev+AC0-Sox9,Mode+AC0-Sox9,Min+AC0-Sox9,Max+AC0-Sox9,XM+AC0-Sox9,YM+AC0-Sox9,IntDen+AC0-Sox9,Median+AC0-Sox9,RawIntDen+AC0-Sox9
1,37.385,13.021,126.223,25.495,9.217,129.167,7.323,6.692,7.086,6.717,169.121,0.723,7.883,74,33,31.908,6.692,1.055,0.948,0.935,108.665,33.814,94,37,249,13.049,126.216,4062.378,104,254819,101.574,46.83,123,11,238,13.133,126.599,3797.291,109,238191,65.565,37.198,85,0,169,13.173,126.649,2451.131,67,153751,29.471,13.746,21,8,138,13.01,126.457,1101.766,26,69110
2,13.662,20.258,127.767,14.996,17.677,129.167,5.177,3.283,5.173,3.363,179.417,0.763,5.274,140,0,168.959,3.283,1.538,0.65,0.967,136.781,42.67,126,37,255,20.257,127.819,1868.762,129,117221,110.768,58.729,20,12,255,20.421,128.044,1513.362,113,94928,53.709,31.007,78,0,158,20.496,128.02,733.804,56,46029,32.679,12.31,24,8,85,20.371,127.859,446.478,31,28006
3,6.01,36.439,127.983,9.379,34.975,129.167,2.778,2.652,3.076,2.488,143.165,0.859,3.483,277,1,136.469,2.652,1.237,0.809,0.953,65.286,18.357,56,23,119,36.348,127.997,392.386,64,24613,19.984,7.38,13,7,50,36.242,128.058,120.109,19,7534,9.836,6.421,5,0,33,36.134,128.062,59.114,8,3708,38.928,35.682,23,10,252,36.44,127.817,233.968,27,14676
4,3.061,40.563,128.744,8.634,38.636,129.167,3.788,1.01,3.891,1.002,179.685,0.516,3.807,306,0,174.289,1.01,3.884,0.257,0.932,169.964,48.121,209,60,255,40.642,128.776,520.242,179,32633,53.12,25.223,33,16,127,40.761,128.833,162.595,47,10199,5.203,3.679,2,0,21,40.94,128.77,15.926,5,999,38.026,13.383,29,17,96,40.634,128.748,116.394,35,7301
5,12.674,50.279,128.126,16.111,46.97,129.167,6.439,2.399,6.512,2.478,178.405,0.614,6.47,372,0,174.401,2.399,2.628,0.381,0.961,124.351,38.193,137,44,236,50.402,128.14,1576.031,123,98859,92.55,61.573,20,10,248,50.171,128.416,1172.98,77,73577,46.298,40.851,9,0,164,50.123,128.493,586.785,34,36807,56.284,30.976,34,6,153,50.095,128.292,713.35,47,44746
6,15.863,63.725,127.519,17.096,61.111,129.167,5.682,4.04,5.451,3.705,22.47,0.682,6.168,484,19,22.891,4.04,1.471,0.68,0.92,135.821,40.367,110,32,252,63.594,127.531,2154.462,132,135142,110.499,60.548,31,13,246,64.068,127.584,1752.798,103,109947,16.125,13.841,5,0,78,64.147,127.624,255.777,12,16044,39.392,16.503,23,12,103,63.873,127.433,624.855,36,39195
7,16.803,72.483,127.456,16.886,69.571,129.167,5.808,3.914,5.477,3.906,13.755,0.741,6.192,551,17,20.283,3.914,1.402,0.713,0.938,158.596,50.952,255,41,255,72.564,127.553,2664.9,153,167160,131.363,59.782,142,20,253,72.565,127.682,2207.311,131,138457,13.211,9.722,6,0,63,72.585,127.672,221.979,11,13924,36.12,12.929,27,11,90,72.534,127.572,606.92,34,38070
8,5.086,107.347,128.765,14.221,104.04,129.167,6.566,1.01,6.863,0.944,179.883,0.316,6.577,824,0,176.698,1.01,7.274,0.137,0.895,76.765,42.239,47,19,218,107.31,128.842,390.393,65,24488,17.232,9.695,13,4,54,107.212,128.849,87.634,14,5497,1.73,3.053,0,0,23,107.708,128.744,8.8,1,552,17.508,6.582,17,6,49,107.639,128.804,89.037,17,5585
9,28.138,116.998,126.901,21.985,113.257,129.167,7.702,5.177,7.672,4.67,22.499,0.732,8.372,897,28,23.085,5.177,1.643,0.609,0.932,118.373,46.538,96,31,255,116.891,127.009,3330.774,110,208928,151.057,80.877,255,7,255,117.097,127.242,4250.448,171,266616,16.291,14.835,0,0,104,117.261,127.328,458.386,12,28753,54.252,29.49,23,10,168,117.08,127.113,1526.53,49,95754
10,3.38,124.384,128.741,9.571,122.222,129.167,4.167,1.01,4.265,1.009,178.254,0.464,4.184,968,0,174.806,1.01,4.227,0.237,0.924,101.59,44.31,99,20,228,124.694,128.782,343.347,101,21537,30.741,23.654,19,7,125,124.648,128.85,103.895,22,6517,4.193,4.153,0,0,22,124.469,128.808,14.173,3,889,22.708,7.104,18,10,55,124.268,128.757,76.746,22,4814
