 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
1,8.609,2.2,128.112,11.905,0,129.167,4.293,2.399,4.464,2.455,175.902,0.763,4.462,0,1,154.885,2.399,1.818,0.55,0.953,123.893,29.49,127,52,222,2.18,128.207,1066.566,124,66902,23.019,8.099,17,8,49,2.222,128.244,198.162,21,12430,0.809,1.257,0,0,7,2.332,128.298,6.967,0,437,15.778,4.164,16,4,35,2.203,128.183,135.828,16,8520
2,5.293,11.831,128.503,10.821,9.47,129.167,4.419,1.768,4.186,1.61,174.777,0.568,4.448,75,0,173.48,1.768,2.6,0.385,0.917,100.708,21.23,81,58,171,11.685,128.55,533.028,97,33435,19.605,5.771,20,8,40,11.694,128.561,103.768,20,6509,0.771,1.146,0,0,6,11.558,128.491,4.081,0,256,22.37,13.161,19,7,109,11.942,128.585,118.403,20,7427
3,5.133,16.041,128.256,8.548,14.52,129.167,3.03,2.02,3.117,2.097,4.172,0.883,3.236,115,10,20.556,2.02,1.486,0.673,0.967,76.739,10.036,80,53,106,16.024,128.23,393.932,77,24710,14.177,2.978,13,6,23,16.062,128.286,72.776,14,4565,0.925,1.288,0,0,7,15.915,128.268,4.751,0,298,17.978,9.053,13,5,71,16.026,128.331,92.289,15,5789
4,38.756,27.008,126.586,27.873,21.338,129.167,10.354,6.061,10.422,4.735,155.378,0.627,11.589,169,0,150.642,5.492,2.201,0.454,0.936,133.353,32.691,126,53,243,26.968,126.564,5168.146,133,324180,32.773,15.602,20,7,91,27.007,126.465,1270.148,30,79672,1.246,1.812,0,0,24,27.014,126.599,48.305,1,3030,67.5,34.89,25,10,216,27.045,126.484,2616.005,63,164093
5,9.007,33.25,128.317,14.239,30.556,129.167,5.934,2.146,5.56,2.062,4.72,0.558,5.956,242,0,175.135,2.146,2.696,0.371,0.938,81.793,30.728,61,38,221,33.512,128.42,736.737,73,46213,14.239,5.059,13,4,42,33.475,128.368,128.255,13,8045,0.963,1.5,0,0,13,33.298,128.256,8.673,0,544,19.448,12.063,12,5,104,33.757,128.446,175.173,15,10988
6,11.175,42.27,127.883,15.58,38.763,129.167,6.187,3.157,6.201,2.294,159.662,0.579,6.667,307,1,155.376,2.799,2.703,0.37,0.902,159.223,30.889,140,75,252,42.146,127.904,1779.39,156,111615,40.745,16.671,27,17,96,42.486,128.017,455.341,36,28562,2.116,2.744,0,0,25,42.46,128.006,23.642,1,1483,20.859,9.853,14,6,68,42.461,127.979,233.107,19,14622
7,19.641,47.88,126.737,18.96,44.318,129.167,6.692,5.303,7.568,3.304,142.791,0.687,7.829,351,1,142.206,3.502,2.29,0.437,0.941,156.298,36.78,164,61,254,47.771,126.828,3069.816,156,192559,41.62,16.439,27,12,98,47.823,126.895,817.453,38,51276,1.403,2.404,0,0,34,48.227,126.707,27.564,1,1729,25.629,9.146,17,7,63,47.953,126.672,503.375,24,31575
8,3.348,52.389,128.769,9.718,50.126,129.167,4.419,0.884,4.487,0.95,179.423,0.445,4.435,397,0,175.101,0.884,4.724,0.212,0.963,67.633,8.815,67,49,94,52.41,128.766,226.427,67,14203,15.167,2.733,13,7,26,52.41,128.764,50.776,15,3185,0.719,1.146,0,0,9,52.22,128.761,2.407,0,151,22.271,10.371,14,6,57,52.329,128.755,74.562,19,4677
9,0.957,56.465,128.927,4.607,55.429,129.167,2.02,0.505,2.196,0.554,179.002,0.566,2.055,439,0,169.38,0.505,3.961,0.252,0.968,98.2,13.514,95,72,131,56.448,128.932,93.932,99,5892,18.133,3.748,17,12,29,56.439,128.924,17.345,18,1088,0.65,0.917,0,0,3,56.344,128.935,0.622,0,39,22.817,12.628,15,10,70,56.461,128.899,21.825,19,1369
10,12.658,63.141,128.067,17.896,58.712,129.167,7.576,2.778,7.331,2.198,166.929,0.497,7.84,465,0,165.069,2.778,3.335,0.3,0.88,154.168,44.36,153,61,255,63.146,128.11,1951.47,153,122409,32.698,13.528,20,9,84,63.452,128.147,413.892,29,25962,1.052,1.477,0,0,9,63.445,128.089,13.312,0,835,21.928,8.447,17,6,64,63.368,128.043,277.57,21,17411
