 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AC0-DAPI,StdDev+AC0-DAPI,Mode+AC0-DAPI,Min+AC0-DAPI,Max+AC0-DAPI,XM+AC0-DAPI,YM+AC0-DAPI,IntDen+AC0-DAPI,Median+AC0-DAPI,RawIntDen+AC0-DAPI,Mean+AC0-Sox2,StdDev+AC0-Sox2,Mode+AC0-Sox2,Min+AC0-Sox2,Max+AC0-Sox2,XM+AC0-Sox2,YM+AC0-Sox2,IntDen+AC0-Sox2,Median+AC0-Sox2,RawIntDen+AC0-Sox2,Mean+AC0-Klf4,StdDev+AC0-Klf4,Mode+AC0-Klf4,Min+AC0-Klf4,Max+AC0-Klf4,XM+AC0-Klf4,YM+AC0-Klf4,IntDen+AC0-Klf4,Median+AC0-Klf4,RawIntDen+AC0-Klf4,Mean+AC0-Sox9,StdDev+AC0-Sox9,Mode+AC0-Sox9,Min+AC0-Sox9,Max+AC0-Sox9,XM+AC0-Sox9,YM+AC0-Sox9,IntDen+AC0-Sox9,Median+AC0-Sox9,RawIntDen+AC0-Sox9
1,15.974,4.291,126.621,16.874,2.273,129.167,4.293,5.429,5.984,3.399,70.354,0.705,6.198,25,42,56.634,3.602,1.761,0.568,0.904,124.43,44.117,104,42,255,4.416,126.789,1987.659,115,124679,95.125,47.168,27,13,201,4.338,126.878,1519.532,100,95315,24.963,21.572,4,0,103,4.364,127.07,398.763,20,25013,26.429,14.519,18,6,107,4.328,126.583,422.182,22,26482
2,22.287,9.991,126.583,18.998,7.197,129.167,5.303,5.682,6.37,4.455,123.373,0.776,6.972,59,0,125.417,4.88,1.43,0.699,0.936,152.953,44.502,123,52,255,10.093,126.756,3408.891,146,213828,117.742,47.878,137,24,226,10.002,126.703,2624.136,124,164603,13.138,11.918,1,0,83,10.073,126.546,292.811,10,18367,24.023,12.042,18,4,85,9.801,126.685,535.403,22,33584
3,22.718,14.788,126.12,20.034,12.247,129.167,4.672,6.566,7.265,3.982,104.356,0.711,7.428,97,0,121.799,4.086,1.824,0.548,0.918,142.556,47.696,113,34,255,14.811,126.261,3238.533,137,203142,99.184,53.819,34,14,238,14.86,126.21,2253.224,94,141337,12.046,10.701,3,0,80,14.856,126.195,273.648,9,17165,29.353,17.18,16,8,136,14.771,126.177,666.831,24,41828
4,5.931,20.322,128.361,10.063,18.182,129.167,4.04,1.768,4.117,1.834,174.322,0.736,4.165,144,1,165.964,1.768,2.245,0.445,0.956,111.812,33.18,79,46,217,20.345,128.382,663.1,106,41594,52.056,36.11,14,6,138,20.225,128.591,308.721,40,19365,20.167,20.104,2,0,81,20.24,128.631,119.598,11,7502,18.11,7.633,13,5,61,20.285,128.447,107.403,16,6737
5,15.336,32.879,126.823,16.159,30.556,129.167,4.419,5.177,6.045,3.23,122.514,0.738,6.39,242,0,127.776,3.494,1.871,0.534,0.94,155.289,42.238,148,52,255,32.787,126.857,2381.575,150,149388,91.046,41.227,89,12,208,33.002,127.039,1396.314,93,87586,11.819,10.109,2,0,59,33.051,127.045,181.263,10,11370,20.605,10.932,18,6,104,32.827,127.014,316.006,18,19822
6,23.547,56.193,126.62,18.759,53.662,129.167,5.177,5.556,5.928,5.058,72.785,0.841,6.29,433,40,51.52,5.177,1.172,0.853,0.95,155.415,44.267,255,54,255,56.16,126.737,3659.503,153,229548,122.529,53.498,130,13,251,56.231,126.811,2885.157,125,180976,9.531,8.332,0,0,43,56.193,126.752,224.434,7,14078,40.905,26.405,19,11,182,56.267,126.709,963.181,32,60417
7,7.732,64.737,128.194,11.996,62.121,129.167,4.545,2.525,4.358,2.259,166.739,0.675,4.685,492,1,165.964,2.525,1.929,0.518,0.941,95.701,31.039,80,30,213,64.587,128.247,739.958,89,46415,65.728,44.005,16,6,168,64.689,128.42,508.206,57,31878,61.99,55.234,6,0,214,64.665,128.433,479.303,42,30065,31.021,20.169,19,10,179,64.731,128.185,239.851,24,15045
8,15.352,73.758,126.917,16.203,71.843,129.167,4.04,4.924,5.272,3.708,79.216,0.735,5.544,579,39,59.931,3.909,1.422,0.703,0.913,103.077,36.344,90,38,255,73.702,126.952,1582.472,96,99263,68.43,43.204,13,3,180,73.906,127.498,1050.56,57,65898,33.345,28.214,7,0,128,73.962,127.621,511.92,24,32111,18.592,10.191,13,3,112,73.827,127.067,285.429,16,17904
9,1.754,96.274,128.784,5.9,94.949,129.167,2.399,0.884,2.54,0.879,174.571,0.633,2.516,752,0,162.474,0.884,2.889,0.346,0.94,80.209,50.012,31,20,205,95.986,128.863,140.658,58,8823,20,7.816,17,8,42,96.194,128.853,35.073,18,2200,1.736,1.701,2,0,9,96.319,128.822,3.045,2,191,16.627,13.711,9,6,62,95.887,128.804,29.158,11,1829
10,7.493,99.641,128.011,10.777,97.727,129.167,3.535,2.778,3.596,2.653,162.253,0.811,3.84,775,0,133.668,2.778,1.355,0.738,0.945,124.964,37.387,92,56,252,99.666,128.036,936.334,120,58733,73.649,46.299,34,7,170,99.751,128.247,551.84,61,34615,8.057,8.407,0,0,61,99.792,128.211,60.373,5,3787,18.383,9.784,12,6,70,99.664,128.04,137.741,16,8640
