 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AC0-DAPI,StdDev+AC0-DAPI,Mode+AC0-DAPI,Min+AC0-DAPI,Max+AC0-DAPI,XM+AC0-DAPI,YM+AC0-DAPI,IntDen+AC0-DAPI,Median+AC0-DAPI,RawIntDen+AC0-DAPI,Mean+AC0-Sox2,StdDev+AC0-Sox2,Mode+AC0-Sox2,Min+AC0-Sox2,Max+AC0-Sox2,XM+AC0-Sox2,YM+AC0-Sox2,IntDen+AC0-Sox2,Median+AC0-Sox2,RawIntDen+AC0-Sox2,Mean+AC0-Klf4,StdDev+AC0-Klf4,Mode+AC0-Klf4,Min+AC0-Klf4,Max+AC0-Klf4,XM+AC0-Klf4,YM+AC0-Klf4,IntDen+AC0-Klf4,Median+AC0-Klf4,RawIntDen+AC0-Klf4,Mean+AC0-Sox9,StdDev+AC0-Sox9,Mode+AC0-Sox9,Min+AC0-Sox9,Max+AC0-Sox9,XM+AC0-Sox9,YM+AC0-Sox9,IntDen+AC0-Sox9,Median+AC0-Sox9,RawIntDen+AC0-Sox9
1,3.093,5.915,128.72,8.382,4.167,129.167,3.662,1.01,3.693,1.066,1.9,0.553,3.681,33,0,174.094,1.01,3.464,0.289,0.953,128.954,44.554,113,50,250,5.843,128.754,398.826,120,25017,37.067,18.988,27,9,109,6.033,128.798,114.64,31,7191,3.773,2.814,2,0,17,6.068,128.728,11.67,3,732,18.737,5.462,13,10,37,5.971,128.74,57.95,18,3635
2,12.515,15.893,127.572,14.509,13.889,129.167,4.419,4.04,4.496,3.544,38.218,0.747,5.127,120,32,52.001,4.04,1.269,0.788,0.947,114.18,47.323,81,42,255,15.933,127.738,1428.916,100,89631,80.726,47.353,34,7,189,16.036,127.869,1010.258,77,63370,12.708,11.661,0,0,80,16.053,127.902,159.039,10,9976,23.27,10.87,20,6,68,15.961,127.753,291.216,21,18267
3,14.268,22.86,127.153,15.371,20.455,129.167,4.419,4.672,5.362,3.388,127.353,0.759,5.82,163,0,130.601,3.67,1.583,0.632,0.938,118.667,36.451,119,43,253,22.876,127.131,1693.174,114,106207,85.265,46.61,116,6,208,22.95,127.404,1216.582,92,76312,10.864,8.705,0,0,45,22.996,127.446,155.006,9,9723,35.944,17.63,23,7,97,23.004,127.291,512.861,32,32170
4,14.157,28.039,127.628,14.866,25.505,129.167,5.177,3.662,5.056,3.565,11.991,0.805,5.431,202,15,17.592,3.662,1.418,0.705,0.957,115.329,46.138,111,35,255,27.897,127.73,1632.674,105,102412,59.866,36.142,27,6,174,28.151,127.803,847.504,53,53161,4.269,4.667,0,0,28,28.294,127.955,60.437,3,3791,23.973,14.514,15,5,113,28.155,127.682,339.378,20,21288
5,9.581,32.539,127.569,12.083,31.061,129.167,3.283,3.535,4.073,2.995,56.221,0.825,4.656,248,28,49.399,3.219,1.36,0.735,0.969,34.334,9.62,27,12,69,32.55,127.661,328.968,33,20635,11.982,4.758,6,2,26,32.413,127.755,114.8,12,7201,1.908,1.892,1,0,12,32.443,127.725,18.286,1,1147,13.013,8.814,9,2,72,32.566,127.624,124.684,11,7821
6,8.146,40.185,128.197,11.695,38.131,129.167,4.293,2.146,4.595,2.257,4.051,0.748,4.512,302,11,17.928,2.146,2.036,0.491,0.975,56.648,24.472,48,11,129,40.233,128.378,461.479,55,28947,18.785,14.488,9,2,87,40.219,128.508,153.029,13,9599,2.562,3.703,0,0,28,40.446,128.371,20.868,1,1309,20.035,16.044,11,4,134,40.57,128.127,163.216,16,10238
7,10.378,45.267,127.741,12.07,43.308,129.167,4.04,3.03,4.283,3.085,17.528,0.895,4.591,344,21,31.504,3.03,1.388,0.72,0.973,28.641,15.857,20,9,110,45.258,128.041,297.243,24,18645,6.194,4.062,3,0,24,45.263,128.138,64.279,5,4032,0.661,1.183,0,0,7,45.138,128.103,6.855,0,430,16.816,11.795,9,3,80,44.925,127.722,174.519,13,10947
8,15.878,52.22,127.553,17.361,49.621,129.167,6.061,3.788,6.151,3.287,21.828,0.662,6.429,393,22,19.502,3.788,1.872,0.534,0.891,137.917,38.456,110,43,255,52.312,127.586,2189.902,134,137365,60.776,34.512,20,5,154,52.363,127.879,965.03,57,60533,7.007,7.533,0,0,54,52.541,128.044,111.261,5,6979,24.974,13.965,18,1,108,52.41,127.768,396.547,23,24874
9,2.583,58.074,128.709,7.15,56.566,129.167,3.03,1.136,2.955,1.113,0.325,0.635,3.054,448,0,172.875,1.136,2.655,0.377,0.936,131.84,46.387,84,53,255,57.954,128.759,340.494,122,21358,32.568,22.822,10,6,107,58.322,128.822,84.111,26,5276,2.216,2.087,1,0,10,58.295,128.775,5.723,2,359,17.426,9.215,14,4,51,58.152,128.767,45.005,16,2823
10,27.229,62.788,126.175,20.113,59.848,129.167,5.556,6.187,6.199,5.593,98.98,0.846,6.609,480,5,133.452,5.556,1.108,0.902,0.949,144.29,44.971,123,52,255,62.812,126.157,3928.926,142,246448,71.428,34.764,75,6,168,62.841,126.457,1944.934,71,121999,9.308,8.725,0,0,55,62.857,126.488,253.449,7,15898,22.096,11.937,13,3,103,62.725,126.3,601.659,19,37740
