 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
1,28.106,3.276,125.968,22.712,0.631,129.167,5.177,7.576,7.778,4.601,101.045,0.685,8.301,6,0,116.175,5.144,1.691,0.592,0.921,135.335,24.431,136,69,241,3.325,126.102,3803.748,132,238596,43.614,17.646,54,8,95,3.368,126.073,1225.828,44,76892,10.274,8.696,1,0,52,3.407,126.209,288.761,8,18113,22.331,10.955,17,6,129,3.333,126.039,627.629,20,39369
2,16.165,10.959,126.955,17.213,8.965,129.167,4.419,5.556,5.585,3.685,75.676,0.686,6.269,82,44,62.403,4.188,1.516,0.66,0.905,116.061,20.262,119,69,169,10.976,127.101,1876.175,115,117686,29.884,12.325,21,12,72,11.148,127.281,483.081,26,30302,4.162,3.318,2,0,28,11.035,127.409,67.276,4,4220,24.422,13.746,16,5,89,11.286,127.247,394.793,20,24764
3,9.167,18.882,128.049,12.68,16.667,129.167,4.672,2.778,4.217,2.768,3.6,0.716,4.714,132,5,7.696,2.778,1.524,0.656,0.949,165.212,26.938,170,103,247,18.897,128.05,1514.462,166,94997,35.85,14.868,20,13,76,18.889,128.225,328.633,33,20614,24.71,22.565,3,0,88,18.898,128.385,226.507,17,14208,34.235,22.475,15,8,150,19.005,128.284,313.822,25,19685
4,18.605,25.974,126.28,18.654,24.242,129.167,3.662,6.439,6.756,3.506,83.751,0.672,6.917,201,51,68.587,3.627,1.927,0.519,0.93,151.761,36.349,145,83,255,26.051,126.425,2823.445,144,177105,49.883,23.614,22,13,107,25.88,126.368,928.06,45,58214,11.247,9.511,2,0,50,25.814,126.414,209.242,9,13125,18.497,8.789,13,4,72,25.862,126.229,344.129,16,21586
5,9.932,35.394,127.478,12.81,33.712,129.167,3.283,3.662,4.013,3.151,85.394,0.761,4.521,272,29,54.09,3.283,1.273,0.785,0.947,155.029,27.159,131,86,234,35.428,127.575,1539.747,153,96583,46.114,18.876,27,13,93,35.395,127.512,458.004,42,28729,11.714,8.145,10,0,57,35.367,127.523,116.346,10,7298,21.82,8.55,15,8,57,35.337,127.482,216.718,21,13594
6,10.283,40.158,127.851,12.841,38.005,129.167,4.167,3.03,4.266,3.069,171.466,0.784,4.561,302,0,138.366,3.03,1.39,0.719,0.961,143.557,25.634,119,85,239,40.202,127.89,1476.153,140,92594,45.129,20.898,27,12,104,40.186,128.009,464.046,41,29108,20.229,17.565,3,0,91,40.224,128.086,208.014,15,13048,24.288,13.44,18,7,93,40.128,128.024,249.751,20,15666
7,23.594,49.05,126.294,20.557,46.338,129.167,5.177,6.566,7.025,4.276,108.735,0.702,7.356,367,0,129.428,4.397,1.643,0.609,0.926,166.476,36.225,183,71,255,49,126.511,3927.922,165,246385,56.693,26.362,22,12,132,49.062,126.529,1337.631,54,83905,5.476,5.679,2,0,57,49.259,126.309,129.212,4,8105,20.685,10.155,14,5,72,49.106,126.2,488.055,18,30614
8,30.864,54.618,124.58,24.942,52.525,129.167,4.293,9.343,10.059,3.907,95.718,0.623,9.616,421,0,103.671,4.052,2.575,0.388,0.91,169.14,30.011,153,91,255,54.616,124.564,5220.372,166,327456,53.37,22.329,68,15,119,54.656,124.718,1647.229,53,103325,8.198,6.252,3,0,42,54.514,124.612,253.035,7,15872,21.833,10.324,13,4,87,54.635,124.762,673.845,20,42268
9,3.699,59.254,128.603,8.844,57.197,129.167,3.662,1.389,3.482,1.353,173.661,0.594,3.716,453,0,170.218,1.389,2.574,0.388,0.943,132.159,28.582,105,80,210,59.218,128.641,488.804,131,30661,27.815,13.48,20,11,74,59.378,128.7,102.875,23,6453,6.905,6.187,2,0,32,59.463,128.757,25.539,5,1602,18.763,11.5,12,8,103,59.496,128.605,69.396,16,4353
10,13.328,64.546,127.527,14.374,62.121,129.167,4.419,3.914,4.652,3.648,147.914,0.811,5.227,492,0,142.853,3.914,1.275,0.784,0.966,137.903,28.607,129,82,252,64.52,127.58,1837.93,133,115287,53.691,25.537,79,12,105,64.673,127.754,715.582,54,44886,6.519,6.045,3,0,39,64.637,127.843,86.885,5,5450,17.263,6.951,12,4,52,64.424,127.589,230.078,16,14432
