 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
1,15.368,1.939,126.805,15.489,0.126,129.04,3.914,5.05,5.295,3.695,70.274,0.805,5.704,8,41,62.301,3.814,1.433,0.698,0.951,128.089,51.868,112,27,255,1.768,126.726,1968.512,120,123478,80.023,37.362,54,13,191,1.763,126.893,1229.814,77,77142,16.132,12.518,8,0,83,1.717,126.966,247.917,13,15551,23.323,9.628,17,8,60,1.928,126.857,358.429,21,22483
2,16.436,6.619,126.528,17.33,4.672,129.04,4.293,5.177,5.874,3.563,72.381,0.688,6.39,40,41,52.224,3.669,1.649,0.607,0.911,163.055,44.495,166,49,255,6.693,126.665,2680.045,164,168110,98.151,42.691,137,9,202,6.612,126.632,1613.256,103,101194,16.212,10.427,4,0,55,6.679,126.737,266.474,15,16715,30.212,13.059,27,8,95,6.619,126.537,496.584,28,31149
3,31.231,11.901,126.406,22.952,8.712,129.04,7.323,6.187,7.642,5.204,38.362,0.745,8.573,78,48,43.807,5.81,1.469,0.681,0.946,169.056,46.669,255,65,255,11.769,126.41,5279.741,164,331180,107.307,46.19,116,6,220,11.903,126.678,3351.276,114,210214,12.607,9.201,4,0,64,12.05,126.741,393.741,11,24698,31.722,12.472,28,8,105,11.916,126.585,990.713,30,62144
4,1.865,21.25,128.68,6.436,19.823,129.04,2.778,0.884,2.721,0.873,177.881,0.566,2.803,157,1,172.235,0.884,3.118,0.321,0.921,157.393,44.877,112,61,242,21.299,128.694,293.576,155,18415,29.556,9.405,20,15,51,21.262,128.734,55.128,27,3458,3.821,2.797,4,0,13,21.261,128.76,7.126,4,447,16.017,3.627,15,9,30,21.233,128.703,29.876,15,1874
5,15.065,24.808,126.697,16.948,22.222,129.04,5.177,4.924,6.36,3.016,45.891,0.659,6.523,178,39,47.353,3.467,2.109,0.474,0.894,105.831,35.154,89,35,237,24.738,126.595,1594.38,100,100010,67.276,40.191,20,5,194,25.001,127.071,1013.542,62,63576,26.54,18.932,8,0,102,24.982,127.012,399.831,24,25080,29.986,22.792,25,9,255,24.91,126.623,451.754,25,28337
6,4.99,34.001,128.203,9.453,32.449,129.04,3.409,2.02,3.547,1.791,16.592,0.702,3.79,258,16,29.982,2.02,1.98,0.505,0.929,105.524,41.281,85,37,249,34.208,128.246,526.555,97,33029,48.502,26.124,26,13,117,33.984,128.37,242.019,41,15181,25.821,17.947,10,3,83,33.971,128.418,128.845,22,8082,37.201,15.116,17,11,94,33.97,128.223,185.631,37,11644
7,5.755,42.309,128.135,9.915,40.657,129.04,3.662,2.146,3.608,2.031,14.686,0.736,3.963,322,13,22.479,2.146,1.776,0.563,0.933,117.823,39.814,106,53,255,42.43,128.132,678.086,109,42534,56.568,35.787,27,9,151,42.32,128.386,325.556,47,20421,29.291,24.771,9,0,118,42.406,128.452,168.573,21,10574,28.56,14.776,15,8,103,42.337,128.253,164.364,26,10310
8,21.028,45.598,126.159,19.103,42.803,129.04,5.429,5.808,6.967,3.843,53.486,0.724,7.508,342,45,47.726,4.073,1.813,0.552,0.931,140.715,45.298,108,39,255,45.713,126.214,2958.922,131,185603,86.023,41.321,116,10,181,45.564,126.283,1808.867,95,113464,31.926,23.216,5,0,122,45.48,126.225,671.326,28,42110,36.751,18.579,22,8,114,45.512,126.066,772.799,33,48475
9,3.141,51.239,128.661,9.718,49.242,129.04,4.293,0.884,4.531,0.882,2.015,0.418,4.323,390,5,6.71,0.884,5.135,0.195,0.921,112.264,34.105,110,41,219,50.987,128.673,352.578,109,22116,71.168,38.805,19,12,168,50.958,128.675,223.51,64,14020,5.264,4.584,4,0,23,51.025,128.667,16.532,4,1037,37.213,13.777,37,12,93,50.984,128.666,116.872,38,7331
10,4.687,58.247,128.434,9.884,56.187,129.04,4.167,1.515,4.054,1.472,1.297,0.603,4.197,445,1,173.089,1.515,2.754,0.363,0.947,29.497,7.887,28,14,65,58.222,128.46,138.251,29,8672,8.017,4.089,6,2,36,58.088,128.5,37.576,7,2357,0.571,0.938,0,0,4,58.051,128.518,2.678,0,168,15.67,4.322,15,7,28,58.111,128.445,73.446,15,4607
11,4.958,67.098,128.507,11.19,64.646,129.04,4.924,1.263,4.911,1.285,0.18,0.498,4.939,512,1,175.601,1.263,3.821,0.262,0.948,27.145,7.388,24,11,59,67.036,128.522,134.584,26,8442,9.965,4.628,6,1,27,66.731,128.55,49.405,9,3099,1.071,1.611,0,0,12,66.83,128.565,5.309,1,333,15.765,5.498,15,4,46,66.942,128.552,78.165,15,4903
