 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AF8-DAPI,StdDev+AF8-DAPI,Mode+AF8-DAPI,Min+AF8-DAPI,Max+AF8-DAPI,XM+AF8-DAPI,YM+AF8-DAPI,IntDen+AF8-DAPI,Median+AF8-DAPI,RawIntDen+AF8-DAPI,Mean+AF8-Sox2,StdDev+AF8-Sox2,Mode+AF8-Sox2,Min+AF8-Sox2,Max+AF8-Sox2,XM+AF8-Sox2,YM+AF8-Sox2,IntDen+AF8-Sox2,Median+AF8-Sox2,RawIntDen+AF8-Sox2,Mean+AF8-Klf4,StdDev+AF8-Klf4,Mode+AF8-Klf4,Min+AF8-Klf4,Max+AF8-Klf4,XM+AF8-Klf4,YM+AF8-Klf4,IntDen+AF8-Klf4,Median+AF8-Klf4,RawIntDen+AF8-Klf4,Mean+AF8-Sox9,StdDev+AF8-Sox9,Mode+AF8-Sox9,Min+AF8-Sox9,Max+AF8-Sox9,XM+AF8-Sox9,YM+AF8-Sox9,IntDen+AF8-Sox9,Median+AF8-Sox9,RawIntDen+AF8-Sox9
1,25.427,6.578,127.633,24.227,2.146,129.164,9.469,4.419,8.532,3.794,4.01,0.544,9.523,2.146,0.126,173.911,4.419,2.249,0.445,0.882,157.894,35.574,159,58,255,6.788,127.717,4014.73,160,251841,53.034,19.572,41,11,110,6.954,127.816,1348.478,50,84589,3.979,3.827,2,0,49,7.173,127.634,101.181,3,6347,34.152,14.138,29,10,153,7.023,127.709,868.383,32,54473
2,5.611,20.839,128.446,10.315,18.813,129.164,4.293,1.641,4.126,1.731,1.84,0.663,4.339,18.813,0.631,8.366,1.641,2.383,0.42,0.964,122.653,26.819,109,81,213,20.889,128.517,688.26,114,43174,42.96,5.827,40,27,60,20.791,128.469,241.068,43,15122,5.037,2.893,3,0,14,20.968,128.451,28.264,5,1773,48.551,17.658,32,21,141,20.702,128.514,272.441,45,17090
3,6.345,26.529,128.132,10.032,24.873,129.164,3.283,2.399,3.228,2.503,176.807,0.792,3.483,24.873,0,136.469,2.399,1.29,0.775,0.94,166.892,18.546,168,128,244,26.518,128.14,1058.884,165,66423,48.389,10.765,41,27,83,26.646,128.19,307.018,47,19259,9.073,4.574,9,0,28,26.564,128.122,57.565,9,3611,51.91,18.285,49,19,112,26.727,128.212,329.352,50,20660
4,6.664,30.466,128.216,10.624,28.535,129.164,3.788,1.894,4.084,2.077,5.624,0.742,4.235,28.535,1.894,26.565,1.894,1.966,0.509,0.972,196.639,20.095,192,150,250,30.419,128.202,1310.314,196,82195,49.943,11.005,47,22,85,30.52,128.226,332.795,48,20876,21.385,14.238,11,0,94,30.793,128.229,142.501,17,8939,42.969,11.391,41,22,91,30.35,128.227,286.326,41,17961
5,19.433,34.802,126.444,17.422,32.828,129.164,4.167,6.06,6.145,4.027,75.793,0.805,6.355,33.964,6.06,69.044,4.167,1.526,0.655,0.939,178.473,24.668,173,127,255,34.71,126.491,3468.223,174,217559,53.549,12.98,54,23,104,34.852,126.531,1040.599,53,65276,11.565,8.182,6,0,59,34.802,126.828,224.744,9,14098,54.656,22.918,47,16,157,35.018,126.354,1062.12,52,66626
6,22.796,40.305,126.553,18.906,38.004,129.164,4.672,6.06,6.227,4.661,93.658,0.801,6.615,38.13,0,113.629,4.672,1.336,0.749,0.963,194.057,25.286,196,110,255,40.283,126.599,4423.79,194,277501,52.735,12.704,54,26,91,40.332,126.664,1202.167,53,75411,6.138,3.878,4,0,29,40.319,126.781,139.935,5,8778,80.648,32.237,90,24,213,40.365,126.667,1838.489,79,115327
7,24.151,46.799,125.984,20.822,44.696,129.164,4.545,6.692,7.137,4.309,95.127,0.7,7.51,44.948,0,116.996,4.53,1.656,0.604,0.915,167.339,29.341,147,102,255,46.767,125.823,4041.464,165,253518,49.727,11.753,47,25,86,46.825,125.982,1200.987,48,75337,9.076,5.623,8,0,50,46.893,125.798,219.196,8,13750,50.719,25.368,31,15,191,46.915,126.197,1224.947,46,76840
8,4.081,51.168,128.252,7.729,49.999,129.164,2.399,2.02,2.489,2.088,19.745,0.859,2.781,50.251,1.768,39.472,2.02,1.192,0.839,0.952,123.652,40.681,92,76,220,51.254,128.373,504.629,107,31655,42.516,6.59,41,26,61,51.202,128.244,173.508,42,10884,5.508,3.486,4,0,18,51.087,128.122,22.478,5,1410,75.648,15.154,74,36,118,51.235,128.226,308.724,75,19366
9,17.233,55.228,127.487,16.128,52.398,129.164,5.808,3.662,5.944,3.691,12.518,0.832,6.237,52.398,2.399,21.371,3.662,1.61,0.621,0.972,185.395,30.904,190,97,255,55.286,127.575,3194.874,187,200412,49.647,9.48,50,22,80,55.203,127.493,855.55,50,53668,4.322,3.982,2,0,53,55.18,127.43,74.479,4,4672,45.099,13.801,38,17,108,55.023,127.483,777.181,42,48752
10,16.468,62.174,127.338,16.424,59.595,129.164,5.05,4.419,4.793,4.374,175.493,0.767,5.431,61.489,4.419,54.462,4.419,1.096,0.913,0.945,135.206,14.517,132,94,198,62.203,127.359,2226.521,134,139668,45.621,7.273,47,22,73,62.206,127.322,751.276,46,47127,9.034,5.907,5,0,41,62.408,126.871,148.766,8,9332,41.779,13.266,38,18,129,62.258,127.287,688.004,39,43158
