 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
123,13.471,22.745,96.484,15.833,21.086,99.242,3.535,5.934,6.449,2.66,65.737,0.675,6.562,169,283,59.982,2.831,2.425,0.412,0.937,76.198,20.804,74,31,172,22.752,96.431,1026.471,74,64387,18.857,6.572,13,5,47,22.857,96.599,254.023,18,15934,4.625,3.108,3,0,15,22.53,96.209,62.302,4,3908,34.554,19.988,22,10,207,22.766,96.604,465.481,31,29198
124,14.97,72.702,96.61,15.746,70.454,99.242,4.545,5.177,6.133,3.108,51.137,0.759,6.355,560,278,49.028,3.32,1.974,0.507,0.939,159.953,41.352,154,51,255,72.791,96.717,2394.456,161,150196,49.263,22.781,27,13,118,72.791,96.759,737.455,45,46258,12.354,8.751,8,0,60,72.669,96.505,184.93,10,11600,49.603,27.975,24,15,233,72.89,96.886,742.54,42,46577
125,12.483,101.736,96.589,14.453,99.242,98.864,4.672,4.167,5.549,2.864,40.05,0.751,5.682,786,271,36.87,2.991,1.938,0.516,0.931,91.587,21.895,74,43,177,101.668,96.564,1143.264,88,71713,22.617,10.766,13,4,57,101.695,96.674,282.321,20,17709,5.156,4.547,1,0,48,101.548,96.568,64.359,4,4037,30.47,34.433,16,7,255,101.823,97.023,380.349,22,23858
126,18.094,89.32,94.875,19.182,87.247,98.358,4.419,7.323,7.135,3.229,75.135,0.618,7.478,705,302,78.311,3.522,2.209,0.453,0.878,163.275,49.324,255,60,255,89.328,94.75,2954.363,154,185317,64.48,25.233,68,15,143,89.411,94.868,1166.731,64,73185,21.833,12.961,18,0,74,89.45,94.96,395.064,20,24781,34.966,25.869,27,11,233,89.218,94.866,632.683,29,39686
127,24.137,60.871,93.843,22.422,57.954,98.106,5.556,8.081,9.1,3.377,64.043,0.603,8.967,461,307,57.653,3.867,2.694,0.371,0.892,130.773,40.328,108,50,255,60.893,94.009,3156.398,124,197990,43.413,27.146,20,5,116,61.007,94.195,1047.85,37,65728,14.69,12.967,2,0,90,60.963,94.242,354.555,11,22240,31.376,21.276,19,7,136,60.911,94.094,757.319,24,47504
128,29.876,126.097,92.308,25.421,123.358,97.98,4.672,9.975,9.854,3.86,77.301,0.581,10.321,990,326,75.114,4.472,2.552,0.392,0.928,136.855,38.459,119,58,255,126.059,92.406,4088.651,130,256467,38.787,16.577,34,7,99,126.115,92.472,1158.776,38,72686,25.157,16.546,5,0,98,126.108,92.418,751.58,23,47144,31.401,31.784,16,7,255,126.127,93.359,938.135,21,58846
129,33.75,65.735,93.004,25.853,63.005,97.601,5.682,9.596,10.076,4.265,66.407,0.635,10.317,505,326,68.459,4.713,2.362,0.423,0.895,150.837,42.436,255,47,255,65.802,93.029,5090.683,147,319321,48.712,24.321,34,6,120,65.795,93.133,1644.025,47,103124,8.551,6.578,5,0,58,65.869,93.211,288.602,7,18103,73.165,42.173,25,12,255,65.835,93.087,2469.289,68,154890
130,34.116,118.472,92.033,27.22,116.54,97.348,4.04,11.364,11.033,3.937,90.893,0.579,11.381,931,252,93.18,4.04,2.802,0.357,0.932,140.726,37.339,118,49,255,118.439,92.175,4801.06,136,301154,54.36,28.273,13,2,129,118.594,92.091,1854.557,54,116330,15.209,11.832,3,0,73,118.625,92.282,518.887,13,32548,36.213,27.119,24,5,255,118.533,92.162,1235.442,28,77495
131,35.918,15.028,92.484,24.86,12.121,96.717,6.187,8.333,8.372,5.463,78.811,0.73,8.605,106,323,75.556,5.893,1.533,0.652,0.922,141.738,38.231,128,60,255,15.115,92.571,5090.922,137,319336,37.458,17.401,27,7,95,15.205,92.541,1345.427,34,84394,38.287,28.495,10,0,159,15.413,92.548,1375.175,31,86260,25.444,19.021,19,7,252,15.183,92.53,913.903,21,57326
132,47.906,29.407,89.643,33.579,24.874,96.591,8.207,12.374,13.022,4.684,63.252,0.534,13.139,211,356,70.346,5.376,2.78,0.36,0.847,130.418,39.676,122,47,255,29.499,89.922,6247.848,126,391906,32.625,14.951,20,3,84,29.634,90.041,1562.958,31,98039,61.439,37.575,20,0,206,29.703,90.088,2943.299,59,184623,31.507,32.091,16,6,255,29.538,89.613,1509.408,22,94680
133,4.32,128.814,93.919,11.042,128.03,96.465,1.263,4.924,4.686,1.174,88.526,0.445,4.939,1021,259,94.399,1.263,3.991,0.251,0.906,157.339,43.682,255,81,255,128.834,94.132,679.76,148,42639,36.244,15.785,23,11,77,128.873,93.904,156.584,32,9822,9.624,5.309,5,1,29,128.887,93.666,41.577,9,2608,36.015,14.215,35,13,91,128.841,93.862,155.596,35,9760
134,24.95,1.372,90.688,23.957,0,96.212,3.03,10.227,10.566,3.006,94.793,0.546,10.358,4,261,99.118,3.03,3.515,0.285,0.954,166.652,40.771,156,50,255,1.378,90.547,4157.888,164,260810,41.084,11.839,34,13,84,1.298,90.391,1025.02,40,64296,17.655,8.047,14,0,51,1.373,90.22,440.483,17,27630,38.887,16.27,30,9,129,1.341,90.229,970.211,36,60858
135,23.722,4.396,91.243,25.028,2.652,96.212,3.157,10.606,11.05,2.733,94.289,0.476,10.752,24,261,99.462,2.97,4.043,0.247,0.889,128.082,26.765,127,55,235,4.399,91.324,3038.362,126,190586,30.667,12.642,13,4,68,4.262,91.216,727.475,31,45632,27.26,16.653,12,0,85,4.26,91.215,646.664,25,40563,23.664,11.594,17,6,129,4.223,91.734,561.357,21,35212
136,18.031,91.634,91.501,20.858,89.394,95.833,4.167,8.081,8.029,2.859,76.052,0.521,8.361,717,328,75.124,3.114,2.808,0.356,0.856,172.265,40.907,255,82,255,91.624,91.513,3106.053,167,194832,63.661,23.981,82,11,126,91.722,91.602,1147.855,65,72001,7.615,5.867,4,0,39,91.745,91.821,137.31,6,8613,51.337,24.895,47,10,164,91.661,91.511,925.637,47,58062
137,26.958,51.562,91.4,23.432,49.116,94.949,5.934,7.828,8.296,4.138,65.542,0.617,8.441,395,333,55.359,4.681,2.005,0.499,0.891,175.866,41.337,255,79,255,51.579,91.366,4741.054,170,297390,29.936,10.039,30,8,66,51.649,91.379,807.011,29,50621,9.6,7.31,5,0,59,51.558,91.308,258.79,8,16233,49.499,25.143,45,14,245,51.586,91.358,1334.411,44,83703
138,9.055,10.421,92.555,12.698,8.838,94.823,3.283,4.545,5.252,2.195,61.032,0.706,5.255,71,307,54.782,2.315,2.392,0.418,0.938,81.819,26.315,61,32,157,10.376,92.274,740.882,79,46473,23.086,13.018,13,4,71,10.356,92.107,209.05,20,13113,6.313,6.662,1,0,36,10.445,91.973,57.169,4,3586,26.004,9.258,20,11,57,10.403,92.292,235.466,24,14770
139,18.923,47.408,90.809,19.103,45.455,94.444,4.167,7.071,7.443,3.237,73.773,0.652,7.743,368,331,65.943,3.612,2.299,0.435,0.904,162.656,37.207,255,78,255,47.465,90.817,3078.01,155,193073,27.614,10.681,27,7,65,47.47,91.034,522.554,27,32778,15.549,11.189,6,0,66,47.538,90.876,294.245,13,18457,32.699,13.3,28,11,115,47.549,91.3,618.781,30,38814
140,30.577,75.986,89.318,26.585,73.232,94.444,5.682,10.48,10.912,3.568,66.573,0.544,11.278,585,358,68.318,3.953,3.059,0.327,0.891,127.569,38.469,112,44,255,76.055,89.197,3900.692,118,244677,34.953,17.936,13,5,86,75.848,89.28,1068.766,32,67040,40.442,28.78,12,0,138,75.836,89.301,1236.589,35,77567,28.681,20.32,20,6,236,75.679,88.801,876.981,23,55010
141,14.619,37.736,91.577,14.971,35.732,94.066,4.293,4.545,4.722,3.942,126.068,0.82,5.028,293,278,118.496,4.293,1.198,0.835,0.939,113.254,44.785,94,43,255,37.716,91.912,1655.662,101,103854,29.441,9.239,27,8,60,37.697,91.762,430.392,30,26997,12.209,7.424,9,0,43,37.855,91.99,178.489,11,11196,59.292,20.359,62,22,177,37.676,91.598,866.794,57,54371
142,11.191,71.761,91.94,16.565,69.571,93.939,5.303,5.051,6.514,2.187,39.703,0.513,7.058,552,319,42.825,2.576,2.978,0.336,0.81,82.929,17.582,83,41,153,71.722,91.904,928.092,84,58216,17.758,5.592,17,4,42,71.721,91.981,198.736,17,12466,30.781,12.314,32,2,69,71.6,91.818,344.479,32,21608,20.95,4.96,20,10,43,71.704,91.877,234.462,20,14707
