 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AF8-DAPI,StdDev+AF8-DAPI,Mode+AF8-DAPI,Min+AF8-DAPI,Max+AF8-DAPI,XM+AF8-DAPI,YM+AF8-DAPI,IntDen+AF8-DAPI,Median+AF8-DAPI,RawIntDen+AF8-DAPI,Mean+AF8-Sox2,StdDev+AF8-Sox2,Mode+AF8-Sox2,Min+AF8-Sox2,Max+AF8-Sox2,XM+AF8-Sox2,YM+AF8-Sox2,IntDen+AF8-Sox2,Median+AF8-Sox2,RawIntDen+AF8-Sox2,Mean+AF8-Klf4,StdDev+AF8-Klf4,Mode+AF8-Klf4,Min+AF8-Klf4,Max+AF8-Klf4,XM+AF8-Klf4,YM+AF8-Klf4,IntDen+AF8-Klf4,Median+AF8-Klf4,RawIntDen+AF8-Klf4,Mean+AF8-Sox9,StdDev+AF8-Sox9,Mode+AF8-Sox9,Min+AF8-Sox9,Max+AF8-Sox9,XM+AF8-Sox9,YM+AF8-Sox9,IntDen+AF8-Sox9,Median+AF8-Sox9,RawIntDen+AF8-Sox9
89,30.879,36.493,96.983,21.123,33.585,100.25,6.06,6.313,6.929,5.675,128.859,0.87,7.298,33.838,29.797,142.734,5.855,1.221,0.819,0.968,138.906,26.037,129,83,236,36.421,96.912,4289.228,133,269060,47.65,11.437,54,20,78,36.46,96.974,1471.371,48,92298,1.639,2.038,0,0,21,36.432,97.003,50.614,1,3175,20.388,7.617,17,5,60,36.565,97.019,629.563,19,39492
90,47.378,78.975,93.975,27.995,75.377,98.861,7.449,9.469,10.412,5.793,120.114,0.76,10.915,76.387,30.302,119.827,6.043,1.797,0.556,0.947,141.448,26.21,150,77,236,79.113,94,6701.532,139,420382,66.084,24.38,34,20,152,78.665,93.941,3130.932,64,196401,2.265,2.458,0,0,23,78.586,94.082,107.334,2,6733,31.578,16.651,20,7,175,78.72,93.871,1496.112,28,93850
91,34.051,69.781,94.189,25.322,66.413,98.735,6.566,9.091,10.317,4.202,116.109,0.667,9.877,66.665,31.06,122.471,4.255,2.455,0.407,0.935,163.676,23.925,160,91,231,69.832,94.147,5573.334,164,349611,37.314,6.322,34,21,60,69.761,94.243,1270.588,37,79703,1.591,1.721,0,0,15,69.849,94.148,54.185,1,3399,25.158,8.381,23,9,99,69.724,94.23,856.65,24,53737
92,23.322,116.072,94.347,23.283,113.381,98.735,5.429,8.838,9.99,2.972,116.945,0.541,9.997,114.013,30.429,117.86,3.22,3.361,0.298,0.913,111.343,29.057,129,45,172,115.901,94.765,2596.795,118,162895,30.623,8.136,34,11,57,115.893,94.607,714.212,31,44802,1.731,1.854,0,0,16,115.924,94.646,40.38,1,2533,31.865,11.667,30,9,108,115.961,94.523,743.162,31,46618
93,39.918,54.99,94.437,24.842,51.64,98.609,6.439,8.333,8.907,5.706,112.688,0.813,8.896,52.524,31.06,124.592,5.819,1.561,0.641,0.957,147.701,23.784,134,74,230,55.06,94.445,5895.863,146,369843,37.997,9.317,41,14,69,54.852,94.301,1516.741,38,95144,1.369,1.977,0,0,34,55.024,94.155,54.648,1,3428,29.174,9.161,29,9,82,55.013,94.298,1164.561,28,73052
94,28.248,60.18,92.716,27.632,57.574,98.104,4.798,10.985,11.905,3.021,101.469,0.465,11.465,58.206,31.06,106.639,3.585,3.94,0.254,0.814,145.812,26.076,145,71,215,60.219,92.799,4118.94,146,258378,59.04,20.886,47,17,131,60.015,92.987,1667.771,58,104618,1.811,1.911,0,0,21,60.096,93.047,51.156,1,3209,60.322,24.934,48,16,154,60.02,93.102,1704.006,57,106891
95,28.918,64.411,93.364,24.171,61.741,97.978,5.808,8.459,9.635,3.822,114.714,0.622,9.735,61.867,31.439,123.896,4.126,2.521,0.397,0.93,150.38,25.004,141,87,250,64.378,93.416,4348.674,148,272789,54.662,17.824,34,18,109,64.278,93.403,1580.714,54,99157,1.627,1.811,0,0,27,64.37,93.451,47.059,1,2952,81.06,36.533,45,17,211,64.289,93.325,2344.09,80,147043
96,26.288,2.266,91.637,26.104,0,97.346,5.05,10.353,10.975,3.05,109.976,0.485,11.18,0,31.817,116.854,3.39,3.599,0.278,0.897,142.83,25.015,148,81,251,2.225,91.838,3754.66,140,235527,44.747,9.839,38,20,79,2.256,91.562,1176.278,45,73787,2.146,2.118,1,0,19,2.33,91.406,56.417,2,3539,33.907,9.644,29,14,78,2.331,91.466,891.323,32,55912
97,63.926,106.079,90.507,33.186,102.397,97.22,7.323,12.878,12.704,6.407,103.731,0.729,13.1,105.301,31.944,100.552,6.601,1.983,0.504,0.962,119.702,22.027,117,70,204,106.188,90.498,7652.029,118,480006,40.639,12.999,34,15,94,106.155,90.572,2597.863,39,162962,1.721,1.865,0,0,23,106.085,90.511,110.012,1,6901,25.316,9.941,21,8,162,106.037,90.696,1618.352,23,101518
98,35.422,92.505,92.221,29.842,88.887,97.094,7.071,11.111,11.987,3.763,116.037,0.5,12.689,89.392,32.322,121.159,4.671,3.186,0.314,0.848,145.078,17.255,148,94,204,92.547,92.186,5138.959,146,322363,51.873,14.513,54,20,110,92.627,92.168,1837.452,52,115262,1.824,1.8,0,0,13,92.585,92.272,64.627,1,4054,56.066,21.804,49,8,155,92.592,92.089,1985.98,54,124579
99,37.144,24.802,93.098,23.314,21.464,96.841,6.692,7.702,7.925,5.968,123.728,0.859,8.105,23.358,32.322,108.153,6.202,1.328,0.753,0.959,132.07,18.791,126,91,205,24.714,93.091,4905.575,128,307723,30.414,6.577,27,15,54,24.888,93.059,1129.68,30,70864,1.463,1.741,0,0,17,24.719,93.038,54.345,1,3409,19.537,6.439,16,4,60,24.957,93.117,725.674,19,45521
100,16.85,50.046,93.258,16.294,47.852,95.957,4.293,5.555,6.061,3.54,119.868,0.798,6.411,48.231,33.206,122.125,3.928,1.712,0.584,0.939,187.341,53.258,255,61,255,50.041,93.203,3156.726,195,198019,33.342,7.086,27,15,68,50.118,93.311,561.827,32,35243,1.355,1.461,0,0,9,50.021,93.276,22.828,1,1432,22.936,7.827,17,8,69,50.097,93.344,386.47,22,24243
101,28.28,14.732,92.755,20.906,11.363,95.831,6.818,6.187,7.865,4.578,142.936,0.813,7.772,12.247,33.333,133.025,4.622,1.718,0.582,0.952,151.543,30.109,148,58,254,14.734,92.708,4285.673,151,268837,71.479,26.106,47,20,151,14.581,92.769,2021.45,71,126804,1.844,2.084,0,0,19,14.812,92.767,52.145,1,3271,32.236,14.325,28,9,141,14.702,92.654,911.632,30,57186
102,27.738,32.004,91.099,27.556,28.282,95.831,7.576,9.975,11.809,2.991,125.17,0.459,12.3,28.408,33.333,125.811,3.437,3.949,0.253,0.896,140.932,22.64,129,81,226,31.981,91.087,3909.213,138,245222,62.808,17.671,68,23,116,32.1,90.887,1742.186,63,109286,2.386,2.396,0,0,20,31.956,91.084,66.173,2,4151,60.548,23.521,46,16,152,32.107,90.892,1679.504,59,105354
103,38.738,97.92,89.939,26.117,95.2,94.316,5.555,9.722,9.615,5.13,98.407,0.714,10.226,95.705,34.974,110.225,5.555,1.874,0.533,0.944,160.209,27.677,148,89,255,97.851,89.813,6206.18,159,389309,69.353,23.624,82,20,148,97.881,89.955,2686.594,70,168528,1.8,2.043,0,0,27,98.106,89.824,69.744,1,4375,42.455,16.396,43,7,141,97.844,89.974,1644.624,41,103166
104,25.347,7.701,89.819,22.335,4.293,93.558,6.692,7.323,7.908,4.081,133.156,0.639,8.686,4.293,35.605,122.535,4.822,1.938,0.516,0.902,157.197,30.87,157,75,254,7.628,89.806,3984.489,154,249944,47.535,10.975,47,21,85,7.683,89.879,1204.877,47,75581,1.525,1.656,0,0,16,7.672,89.897,38.642,1,2424,32.331,9.532,29,13,73,7.624,89.935,819.506,31,51407
105,40.762,113.755,88.517,26.332,110.856,93.558,6.313,9.848,10.136,5.12,111.212,0.739,10.422,111.614,35.605,109.093,5.291,1.979,0.505,0.959,79.899,8.031,79,55,106,113.746,88.491,3256.87,80,204301,20.91,4.698,20,9,41,113.656,88.776,852.33,20,53466,1.849,1.861,0,0,17,113.787,88.523,75.387,1,4729,17.804,5.484,15,6,42,113.587,88.873,725.738,17,45525
