 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AF8-DAPI,StdDev+AF8-DAPI,Mode+AF8-DAPI,Min+AF8-DAPI,Max+AF8-DAPI,XM+AF8-DAPI,YM+AF8-DAPI,IntDen+AF8-DAPI,Median+AF8-DAPI,RawIntDen+AF8-DAPI,Mean+AF8-Sox2,StdDev+AF8-Sox2,Mode+AF8-Sox2,Min+AF8-Sox2,Max+AF8-Sox2,XM+AF8-Sox2,YM+AF8-Sox2,IntDen+AF8-Sox2,Median+AF8-Sox2,RawIntDen+AF8-Sox2,Mean+AF8-Klf4,StdDev+AF8-Klf4,Mode+AF8-Klf4,Min+AF8-Klf4,Max+AF8-Klf4,XM+AF8-Klf4,YM+AF8-Klf4,IntDen+AF8-Klf4,Median+AF8-Klf4,RawIntDen+AF8-Klf4,Mean+AF8-Sox9,StdDev+AF8-Sox9,Mode+AF8-Sox9,Min+AF8-Sox9,Max+AF8-Sox9,XM+AF8-Sox9,YM+AF8-Sox9,IntDen+AF8-Sox9,Median+AF8-Sox9,RawIntDen+AF8-Sox9
1,4.83,4.102,128.333,8.591,2.651,129.164,3.03,1.894,3.121,1.97,6.036,0.822,3.194,2.651,1.01,18.435,1.894,1.584,0.631,0.973,126.591,13.645,130,92,161,4.1,128.363,611.469,127,38357,57.604,11.468,61,30,85,4.091,128.389,278.243,58,17454,3.294,2.175,3,0,10,4.012,128.329,15.91,3,998,37.221,7.703,38,21,60,4.167,128.381,179.789,36,11278
2,31.58,8.675,124.896,24.689,5.934,129.164,4.924,9.217,9.962,4.036,102.336,0.651,9.591,7.071,0,106.049,4.441,2.468,0.405,0.911,148.083,21.183,138,97,238,8.682,124.884,4676.479,145,293352,61.523,13.32,61,33,106,8.748,124.848,1942.906,59,121877,3.516,2.723,2,0,28,8.779,124.709,111.033,3,6965,45.153,15.874,31,17,113,8.834,124.611,1425.938,42,89448
3,14.65,14.056,126.114,18.34,12.121,129.164,3.409,6.944,7.529,2.477,104.592,0.547,7.736,12.121,0,116.147,2.731,3.039,0.329,0.919,149.273,26.267,139,90,246,13.965,126.18,2186.891,144,137182,60.169,10.605,61,32,98,14.018,126.177,881.487,59,55295,3.384,2.371,2,0,16,14.104,126.014,49.578,3,3110,69.918,22.556,62,27,167,14.02,126.209,1024.323,67,64255
4,6.759,16.615,128.086,10.346,15.025,129.164,3.409,2.651,3.343,2.574,17.288,0.794,3.67,15.656,2.399,40.815,2.651,1.299,0.77,0.956,121.507,16.628,114,81,165,16.533,128.109,821.292,123,51519,59.323,11.902,54,34,96,16.516,128.124,400.977,58,25153,4.509,3.155,3,0,23,16.705,128.112,30.48,4,1912,43.125,11.646,36,19,80,16.618,128.166,291.491,42,18285
5,3.985,21.713,127.766,8.53,20.833,129.164,1.641,3.03,3.372,1.505,100.786,0.688,3.446,20.833,0,118.443,1.584,2.24,0.446,0.935,128.436,12.113,129,98,165,21.693,127.8,511.867,128,32109,52.624,8.693,47,34,82,21.675,127.817,209.727,51,13156,3.164,2.344,1,0,16,21.725,127.743,12.61,3,791,34.084,8.28,30,15,55,21.659,127.782,135.838,34,8521
6,9.278,24.395,127.62,11.695,22.727,129.164,3.156,3.283,3.77,3.133,125.155,0.852,4.383,22.727,0,131.496,3.156,1.203,0.831,0.972,129.297,19.162,125,92,191,24.424,127.701,1199.616,126,75251,48.119,6.481,48,26,70,24.394,127.647,446.443,48,28005,2.797,2.24,2,0,19,24.412,127.726,25.953,2,1628,21.495,7.152,17,8,59,24.34,127.669,199.429,20,12510
7,13.263,27.71,126.868,14.713,26.262,129.164,3.156,5.05,5.436,3.107,77.411,0.77,5.647,26.641,5.05,63.435,3.131,1.75,0.572,0.969,133.584,20.586,135,81,207,27.704,126.978,1771.773,132,111142,67.476,17.744,75,26,112,27.612,126.915,894.957,69,56140,2.867,2.192,2,0,14,27.775,126.981,38.021,3,2385,47.513,12.844,45,18,95,27.662,126.885,630.185,47,39531
8,5.739,33.421,127.874,9.484,31.944,129.164,2.651,2.904,3.447,2.12,126.312,0.802,3.848,31.944,0,131.009,2.372,1.626,0.615,0.951,90.064,12.875,94,63,123,33.436,127.793,516.872,89,32423,41.578,5.581,41,22,62,33.415,127.865,238.613,41,14968,2.808,2.428,1,0,16,33.489,127.765,16.117,2,1011,33.186,20.7,30,14,194,33.381,127.73,190.453,29,11947
9,10.713,36.702,127.759,12.736,34.721,129.164,3.914,3.156,4.125,3.307,179.191,0.83,4.448,34.721,0,145.408,3.156,1.247,0.802,0.971,137.644,21.625,136,80,199,36.724,127.757,1474.544,139,92497,61.039,18.293,44,24,110,36.623,127.828,653.89,60,41018,3.399,2.912,3,0,28,36.697,127.79,36.41,3,2284,28.815,10.816,24,11,85,36.573,127.758,308.692,26,19364
10,44.493,42.275,124.71,40.873,39.141,129.164,6.439,9.848,9.855,5.748,78.585,0.335,10.847,40.782,9.848,65.225,6.4,1.714,0.583,0.887,135.686,17.923,127,72,211,42.232,124.71,6037.041,134,378699,49.649,9.644,54,23,87,42.195,124.623,2209.034,49,138571,2.628,2.303,1,0,18,42.271,124.54,116.931,2,7335,21.055,6.276,18,8,59,42.5,124.806,936.804,20,58765
11,4.878,48.087,127.974,8.665,46.842,129.164,2.273,2.651,3.018,2.058,120.128,0.816,3.411,46.842,0,128.991,2.254,1.467,0.682,0.958,126.572,11.378,130,95,162,48.073,128.002,617.431,127,38731,44.732,7.013,47,27,65,48.103,128.03,218.208,45,13688,2.627,2.214,2,0,12,48.108,127.908,12.817,2,804,24.611,11.447,21,10,95,48.142,127.962,120.056,22,7531
12,14.634,51.172,126.846,15.531,49.241,129.164,3.535,5.177,5.585,3.336,104.353,0.762,5.826,49.368,0,119.899,3.443,1.674,0.597,0.963,139.009,30.883,150,73,240,51.167,126.963,2034.298,139,127610,59.882,14.474,47,30,95,51.077,126.916,876.338,58,54972,3.322,2.556,2,0,20,51.134,126.802,48.622,3,3050,38.413,11.654,32,15,83,51.087,126.878,562.146,36,35263
