 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
1,12.276,2.669,127.243,13.899,0.884,129.167,3.535,4.419,4.474,3.493,87.614,0.798,4.913,18,35,64.093,3.489,1.281,0.781,0.949,78.923,23.752,76,22,171,2.685,127.327,968.824,77,60771,101.865,42.459,55,29,199,2.778,127.482,1250.443,96,78436,12.8,7.995,8,0,40,2.822,127.547,157.126,11,9856,33.917,8.205,30,14,67,2.716,127.35,416.347,33,26116
2,18.429,8.1,127.512,18.402,5.177,129.167,6.439,3.788,6.536,3.59,12.881,0.684,6.964,41,21,22.38,3.788,1.821,0.549,0.921,95.445,31.549,98,19,198,8.057,127.648,1758.968,93,110334,125.669,54.67,61,25,246,8.102,127.744,2315.973,127,145273,8.96,5.93,6,0,31,8.134,127.77,165.129,8,10358,47.432,12.959,41,19,100,8.259,127.637,874.127,47,54831
3,7.254,19.071,128.275,12.619,16.54,129.167,4.798,2.273,4.145,2.228,1.31,0.572,4.903,131,0,168.111,2.273,1.86,0.538,0.87,95.569,32.704,112,19,194,19.148,128.294,693.231,93,43484,98.433,57.931,27,16,226,19.221,128.381,714.004,87,44787,4.899,3.724,2,0,23,19.081,128.374,35.535,4,2229,62.591,22.82,46,18,126,19.12,128.32,454.018,59,28479
4,11.478,29.855,127.79,14.269,27.273,129.167,4.798,3.409,4.308,3.392,169.427,0.708,5.003,216,0,137.045,3.409,1.27,0.787,0.934,110.272,35.56,124,24,222,29.928,127.855,1265.748,109,79396,118.565,80.867,255,19,255,29.899,128.198,1360.939,90,85367,4.728,4.54,0,0,28,29.865,128.069,54.267,4,3404,53.103,22.03,37,21,133,29.955,127.998,609.534,46,38234
5,7.19,34.175,128.022,10.734,32.449,129.167,3.788,2.652,3.871,2.365,25.771,0.784,4.182,258,17,28.887,2.652,1.637,0.611,0.942,78.612,21.826,64,26,146,34.201,128.032,565.215,77,35454,70.357,39.07,28,16,165,34.177,128.243,505.862,60,31731,3.576,2.857,2,0,15,34.213,128.165,25.715,3,1613,100.554,40.487,82,32,220,34.146,128.169,722.979,94,45350
6,4.894,43.733,128.438,9.423,41.793,129.167,3.535,1.768,3.682,1.692,171.771,0.693,3.681,331,0,157.834,1.768,2.176,0.46,0.955,102.534,36.365,99,33,233,43.856,128.438,501.829,96,31478,68.261,51.371,24,17,231,43.933,128.647,334.085,48,20956,2.414,2.94,1,0,19,43.976,128.667,11.813,1,741,51.964,20.241,35,20,126,43.894,128.537,254.326,47,15953
7,2.726,55.001,128.762,8.487,53.03,129.167,3.662,1.01,3.615,0.96,176.223,0.476,3.681,420,0,174.094,1.01,3.765,0.266,0.884,107.959,29.49,107,43,193,54.982,128.777,294.309,107,18461,90.363,34.383,71,33,205,54.959,128.838,246.339,85,15452,3.468,2.772,1,0,13,54.985,128.863,9.454,3,593,45.181,10.107,35,24,68,54.967,128.78,123.17,43,7726
8,2.152,58.483,128.432,5.604,57.576,129.167,1.641,1.641,1.905,1.438,127.623,0.861,2.15,456,0,130.236,1.581,1.325,0.755,0.944,58.963,16.759,61,25,110,58.46,128.44,126.9,58,7960,47.607,10.367,42,28,74,58.507,128.497,102.461,46,6427,3.244,2.57,3,0,15,58.477,128.489,6.983,3,438,46.533,11.732,36,26,92,58.496,128.368,100.149,45,6282
9,8.178,64.093,127.589,12.088,62.247,129.167,3.662,3.03,3.725,2.795,164.498,0.703,4.042,496,1,141.34,3.007,1.333,0.75,0.888,102.187,32.151,88,29,202,64.162,127.557,835.723,98,52422,117.616,47.75,61,42,233,64.122,127.829,961.905,112,60337,6.7,5.011,3,0,27,64.195,127.901,54.793,6,3437,44.749,12.318,31,20,83,64.17,127.722,365.969,44,22956
10,1.546,77.225,128.873,6.331,75.884,129.167,2.778,0.758,2.787,0.706,1.506,0.485,2.803,601,0,172.235,0.758,3.946,0.253,0.907,95.866,21.127,85,47,148,77.227,128.88,148.247,95,9299,108.608,24.805,102,60,168,77.26,128.905,167.951,104,10535,5.186,3.12,4,0,19,77.242,128.877,8.019,5,503,38.299,7.371,34,21,61,77.178,128.879,59.225,38,3715
11,15.751,83.934,127.831,16.542,80.934,129.167,6.187,3.03,6.531,3.071,0.95,0.723,6.279,642,18,15.154,3.03,2.127,0.47,0.954,115.76,29.512,99,35,222,83.974,127.834,1823.327,113,114371,165.299,70.013,255,32,255,83.88,128.026,2603.602,174,163315,5.098,3.811,3,0,19,83.922,128.075,80.301,4,5037,46.787,10.952,40,24,92,83.83,127.898,736.945,46,46226
12,1.132,88.826,128.796,4.163,88.005,129.167,1.641,0.884,1.589,0.907,0,0.821,1.685,697,0,167.005,0.884,1.753,0.571,0.947,71.394,24.668,45,28,143,88.839,128.849,80.811,69,5069,37.225,9.104,32,23,61,88.814,128.842,42.135,35,2643,2.07,2.154,1,0,8,88.834,128.82,2.344,1,147,39.817,5.314,36,32,57,88.837,128.806,45.069,39,2827
13,20.661,93.48,126.399,19.743,90.783,129.167,4.924,6.313,6.565,4.007,104.932,0.666,6.782,723,0,114.179,4.441,1.638,0.61,0.859,171.203,45.66,204,41,255,93.483,126.521,3537.242,174,221879,75.694,24.304,54,34,167,93.402,126.215,1563.915,70,98099,2.644,2.38,1,0,16,93.373,126.164,54.618,2,3426,74.285,21.997,59,36,177,93.409,126.245,1534.82,69,96274
14,22.813,97.835,125.357,25.2,94.571,129.167,6.187,8.838,10.062,2.887,62.064,0.451,10.613,750,69,55.176,3.847,3.485,0.287,0.79,89.407,26.7,85,26,206,97.893,125.423,2039.662,88,127941,85.539,28.057,75,20,158,97.955,125.66,1951.422,86,122406,11.551,10.452,4,0,64,98.368,126.895,263.509,8,16529,43.711,9.877,39,22,83,97.932,125.613,997.185,42,62550
15,11.829,103.37,127.568,14.3,101.515,129.167,4.293,3.914,4.547,3.312,42.569,0.727,5.286,806,27,40.156,3.788,1.373,0.728,0.944,120.186,31.141,157,44,221,103.371,127.576,1421.694,118,89178,143.482,67.156,255,34,255,103.344,127.783,1697.272,139,106464,18.875,14.559,9,0,69,103.322,127.918,223.271,14,14005,63.253,18.061,71,25,127,103.319,127.635,748.232,62,46934
16,4.862,108.549,128.42,9.736,106.818,129.167,3.409,1.768,3.663,1.69,176.343,0.645,3.593,846,0,161.565,1.768,2.168,0.461,0.898,104.384,35.092,82,27,218,108.715,128.463,507.552,100,31837,85.826,35.808,61,25,186,108.68,128.524,417.319,81,26177,13.295,7.895,6,1,36,108.687,128.545,64.646,11,4055,37.902,8.231,38,21,72,108.518,128.455,184.292,37,11560
17,5.436,114.639,128.637,12.484,111.742,129.167,5.556,1.389,5.36,1.291,178.489,0.438,5.568,885,0,176.1,1.389,4.151,0.241,0.913,115.49,37.58,107,24,229,114.647,128.65,627.836,110,39382,113.707,65.132,43,30,255,114.435,128.719,618.143,96,38774,8.405,7.153,3,0,34,114.276,128.751,45.69,6,2866,71.293,27.089,46,31,174,114.44,128.688,387.571,66,24311
18,16.229,118.967,127.199,16.443,116.035,129.167,5.682,3.914,5.757,3.589,26.308,0.754,6.381,919,27,27.072,3.914,1.604,0.624,0.922,113.938,34.973,91,29,244,118.771,127.124,1849.121,112,115989,141.395,65.326,100,25,255,118.962,127.325,2294.722,142,143940,12.627,9.291,6,0,54,119.04,127.298,204.921,11,12854,67.886,19.843,58,23,131,119.013,127.263,1101.734,66,69108
19,5.181,127.424,128.499,11.578,125.126,129.167,4.167,1.894,4.476,1.474,173.412,0.486,4.577,991,0,155.556,1.894,3.037,0.329,0.815,194.692,54.243,255,56,255,127.543,128.565,1008.743,209,63275,117.662,45.264,58,35,211,127.384,128.37,609.63,119,38240,4.191,3.442,3,0,20,127.473,128.319,21.713,3,1362,65.286,25.758,46,27,145,127.438,128.361,338.262,60,21218
20,18.557,51.257,126.94,18.111,47.98,129.04,6.439,4.419,6.059,3.899,167.868,0.711,6.615,380,11,166.759,4.419,1.554,0.644,0.891,117.039,34.757,106,30,246,51.394,126.933,2171.855,113,136233,143.943,55.318,192,23,253,51.224,127.061,2671.117,144,167550,6.752,4.451,6,0,28,51.22,126.982,125.29,6,7859,63.555,17.394,50,19,119,51.272,127.005,1179.373,62,73978
21,17.393,68.985,126.394,16.621,66.54,128.914,5.051,4.924,5.341,4.146,44.277,0.791,6.062,527,38,35.676,4.464,1.288,0.776,0.926,110.009,31.324,106,31,220,68.959,126.335,1913.384,107,120020,155.772,64.293,255,34,255,69.019,126.513,2709.331,154,169947,6.2,5.003,3,0,31,69.002,126.506,107.833,5,6764,98.603,31.447,77,28,193,69.015,126.485,1714.999,96,107576
