 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AC0-DAPI,StdDev+AC0-DAPI,Mode+AC0-DAPI,Min+AC0-DAPI,Max+AC0-DAPI,XM+AC0-DAPI,YM+AC0-DAPI,IntDen+AC0-DAPI,Median+AC0-DAPI,RawIntDen+AC0-DAPI,Mean+AC0-Sox2,StdDev+AC0-Sox2,Mode+AC0-Sox2,Min+AC0-Sox2,Max+AC0-Sox2,XM+AC0-Sox2,YM+AC0-Sox2,IntDen+AC0-Sox2,Median+AC0-Sox2,RawIntDen+AC0-Sox2,Mean+AC0-Klf4,StdDev+AC0-Klf4,Mode+AC0-Klf4,Min+AC0-Klf4,Max+AC0-Klf4,XM+AC0-Klf4,YM+AC0-Klf4,IntDen+AC0-Klf4,Median+AC0-Klf4,RawIntDen+AC0-Klf4,Mean+AC0-Sox9,StdDev+AC0-Sox9,Mode+AC0-Sox9,Min+AC0-Sox9,Max+AC0-Sox9,XM+AC0-Sox9,YM+AC0-Sox9,IntDen+AC0-Sox9,Median+AC0-Sox9,RawIntDen+AC0-Sox9
1,8.481,1.986,127.957,11.683,0.126,129.167,3.788,2.904,3.672,2.941,175.252,0.781,4.08,1,12,21.801,2.904,1.249,0.801,0.948,66.741,20.192,54,33,139,2.199,127.983,566.044,61,35506,9.876,2.967,8,3,19,2.007,127.967,83.76,10,5254,3.276,2.71,1,0,15,2.222,127.908,27.787,3,1743,33.806,22.199,16,9,128,2.249,127.754,286.721,26,17985
2,2.503,11.517,128.831,8.604,9.47,129.167,3.914,0.758,3.975,0.802,178.795,0.425,3.932,75,0,174.472,0.758,4.959,0.202,0.949,101.592,32.358,65,51,178,11.496,128.874,254.278,95,15950,8.28,2.115,7,3,13,11.555,128.834,20.725,8,1300,2.261,1.925,1,0,11,11.636,128.866,5.659,2,355,20.573,11.548,17,8,72,11.769,128.792,51.493,17,3230
3,8.784,18.243,128.491,15.723,14.899,129.167,6.944,1.641,6.852,1.632,0.681,0.447,6.973,118,5,5.194,1.641,4.198,0.238,0.944,137.753,34.571,133,63,252,18.146,128.5,1210.046,135,75902,12.027,4.227,13,4,30,18.286,128.579,105.649,12,6627,16.84,13.947,10,0,70,18.516,128.719,147.928,13,9279,27.265,20.873,16,8,209,18.802,128.554,239.5,22,15023
4,7.413,25.829,128.359,12.976,22.98,129.167,5.303,1.768,5.194,1.817,173.849,0.553,5.515,182,0,164.055,1.768,2.859,0.35,0.927,120.301,19.434,128,69,178,25.812,128.38,891.807,121,55940,12.733,2.981,13,6,21,25.853,128.396,94.394,13,5921,27.062,12.052,21,2,65,25.788,128.458,200.617,27,12584,36.576,24.408,21,12,254,25.816,128.375,271.145,29,17008
5,2.71,35.74,128.495,6.928,34.596,129.167,2.399,1.768,2.045,1.688,12.254,0.71,2.429,274,0,171.027,1.768,1.212,0.825,0.902,208.629,35.053,255,116,255,35.795,128.519,565.422,211,35467,10.406,3.431,8,4,22,35.839,128.568,28.202,10,1769,3.488,2.582,3,0,13,35.812,128.465,9.454,3,593,18.888,5.665,19,8,37,35.823,128.544,51.19,18,3211
6,14.141,52.009,127.343,16.313,48.864,129.167,5.682,4.04,5.336,3.374,161.687,0.668,5.989,387,5,161.565,3.757,1.582,0.632,0.881,190.992,39.661,255,95,255,51.926,127.312,2700.77,189,169410,21.758,8.367,20,4,50,52.204,127.432,307.669,20,19299,8.515,6.778,2,0,44,52.252,127.536,120.412,7,7553,22.532,9.113,17,9,74,52.066,127.392,318.621,20,19986
7,3.555,55.946,128.614,8.234,54.167,129.167,3.409,1.263,3.415,1.325,178.992,0.659,3.492,429,0,167.471,1.263,2.577,0.388,0.955,158.493,45.073,162,68,255,55.886,128.621,563.461,158,35344,14.444,3.747,13,7,27,55.901,128.658,51.35,14,3221,7.556,5.745,4,0,36,56.033,128.763,26.863,6,1685,21.973,6.757,18,10,43,56.025,128.638,78.117,20,4900
8,20.406,61.26,127.153,19.103,57.954,129.167,7.071,3.914,7.279,3.57,168.745,0.703,7.206,459,7,168.887,3.719,2.039,0.49,0.933,150.153,38.257,154,66,255,61.08,127.174,3064.029,148,192196,20.205,6.3,13,7,45,61.254,127.134,412.297,20,25862,7.488,5.571,3,0,42,61.346,127.052,152.806,6,9585,27.286,13.559,21,9,138,61.375,127.163,556.798,24,34926
9,18.206,68.734,127.543,18.746,65.025,129.167,7.071,3.535,6.825,3.397,166.51,0.651,7.231,515,6,167.905,3.535,2.009,0.498,0.9,150.588,37.319,138,64,255,68.796,127.464,2741.614,143,171972,22.231,9.083,20,5,54,68.835,127.715,404.741,21,25388,26.538,18.565,2,0,99,68.933,127.852,483.145,24,30306,34.6,18.241,22,9,143,68.664,127.612,629.925,30,39513
10,17.855,75.225,127.257,18.511,72.096,129.167,6.187,4.167,6.237,3.645,158.852,0.655,6.549,571,5,160.866,4.066,1.711,0.584,0.917,160.36,39.328,135,66,255,75.151,127.153,2863.269,154,179603,19.829,6.714,20,7,44,75.325,127.296,354.045,19,22208,8.742,5.524,7,0,40,75.323,127.33,156.09,8,9791,24.056,13.5,18,8,157,75.407,127.295,429.531,21,26943
11,4.846,81.128,128.521,9.884,79.167,129.167,4.04,1.641,3.95,1.562,2.522,0.623,4.072,627,4,7.125,1.641,2.529,0.395,0.944,179.605,48.332,152,70,255,80.973,128.519,870.445,180,54600,15.694,6.849,13,6,41,81.291,128.622,76.06,14,4771,3.22,3.03,1,0,15,81.388,128.681,15.607,2,979,25.701,13.093,21,8,85,81.314,128.547,124.556,22,7813
12,21.107,90.35,127.688,19.381,86.49,129.167,7.702,3.283,7.833,3.431,176.948,0.706,7.931,685,0,166.185,3.283,2.283,0.438,0.971,142.767,30.487,135,49,255,90.255,127.748,3013.46,141,189024,17.565,9.186,9,2,47,90.165,128.02,370.752,16,23256,23.942,20.701,3,0,101,90.135,128.149,505.352,20,31699,31.23,19.272,21,9,162,90.458,127.651,659.194,25,41349
13,9.406,97.976,128.381,15.889,94.571,129.167,6.944,2.146,6.044,1.981,0.099,0.468,6.963,749,4,4.16,2.146,3.051,0.328,0.926,159.093,38.836,141,66,254,98.193,128.454,1496.416,158,93865,14.985,5.171,13,5,33,98.236,128.463,140.945,15,8841,4.314,4.221,1,0,27,98.389,128.49,40.573,3,2545,34.292,14.417,19,12,80,98.044,128.516,322.543,32,20232
14,13.79,117.668,128.15,19.172,113.131,129.167,7.828,2.904,7.917,2.218,171.195,0.471,8.026,896,0,160.71,2.904,3.569,0.28,0.891,132.428,32.368,137,50,241,117.855,128.223,1826.18,133,114550,18.312,7.798,13,5,43,117.809,128.301,252.525,17,15840,8.42,7.402,3,0,42,117.773,128.43,116.107,6,7283,26.873,12.781,19,5,101,117.504,128.177,370.577,24,23245
15,9.087,123.471,128.139,12.588,121.212,129.167,4.672,2.399,4.786,2.418,3.031,0.721,4.78,960,0,167.8,2.399,1.979,0.505,0.952,179.316,40.333,255,84,255,123.361,128.119,1629.453,175,102210,16.209,5.786,13,6,34,123.409,128.262,147.29,15,9239,2.933,3.083,0,0,19,123.331,128.393,26.655,2,1672,26.404,24.317,14,8,196,123.283,127.939,239.93,19,15050
16,4.225,128.518,127.819,8.339,127.399,129.167,1.894,2.904,2.913,1.847,96.759,0.764,3.167,1014,0,113.499,1.894,1.577,0.634,0.94,189.226,40.108,142,101,255,128.594,127.86,799.422,195,50145,14.702,5.641,10,4,37,128.47,127.757,62.111,13,3896,4.079,3.691,2,0,21,128.437,127.77,17.234,3,1081,13.426,6.419,12,3,73,128.447,127.757,56.722,13,3558
17,8.864,32.996,127.347,13.665,30.556,129.04,4.924,3.283,4.62,2.443,159.126,0.597,5.323,242,11,157.694,2.887,1.891,0.529,0.866,112.34,19.37,104,66,205,33.022,127.367,995.766,109,62461,11.174,3.091,13,3,24,33.008,127.411,99.049,11,6213,22.097,11.214,12,1,57,33.109,127.47,195.866,21,12286,32.088,17.598,21,11,171,32.915,127.397,284.425,28,17841
18,13.296,39.694,127.287,15.359,36.616,128.914,5.934,3.283,5.87,2.884,9.653,0.708,6.042,290,21,10.84,3.119,2.035,0.491,0.922,188.908,48.444,255,74,255,39.443,127.208,2511.679,184,157549,13.694,4.639,13,4,31,39.818,127.445,182.076,13,11421,3.199,3.543,1,0,35,39.751,127.564,42.534,2,2668,22.44,8.958,19,8,66,39.488,127.312,298.358,20,18715
19,22.941,108.8,127.27,24.511,103.03,128.914,9.975,4.04,10.191,2.866,165.36,0.48,10.354,816,4,164.438,3.425,3.555,0.281,0.889,120.117,31.605,119,32,225,108.71,127.279,2755.595,123,172849,27.317,10.982,20,6,62,108.575,127.402,626.672,26,39309,31.205,23.33,5,0,115,108.515,127.516,715.869,27,44904,28.416,17.837,18,7,121,108.53,127.36,651.893,22,40891
