 ,Area,X,Y,Perim,BX,BY,Width,Height,Major,Minor,Angle,Circ,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
1,23.722,13.572,127.551,20.957,9.975,129.167,8.207,3.788,8.095,3.731,9.238,0.679,8.516,9.975,2.273,15.479,3.788,2.17,0.461,0.969,116.403,25.948,126,41,198,13.664,127.616,2761.318,119,173208,16.278,5.116,13,4,36,13.611,127.57,386.136,16,24221,8.756,5.647,5,0,39,13.83,127.644,207.711,8,13029,26.261,16.636,17,4,130,13.335,127.557,622.958,22,39076
2,13.344,22.183,127.88,15.236,19.571,129.167,5.682,3.157,5.576,3.047,8.535,0.722,5.82,19.571,1.263,12.529,3.157,1.83,0.547,0.958,132.281,34.769,138,53,221,22.267,127.997,1765.106,132,110719,20.19,5.603,20,7,38,22.306,127.929,269.407,20,16899,8.042,5.227,6,0,33,22.303,127.981,107.307,7,6731,21.125,8.847,16,5,63,22.273,127.94,281.89,19,17682
3,5.962,32.791,128.561,12.262,30.05,129.167,5.429,1.515,5.096,1.49,179.941,0.498,5.442,30.05,0,176.009,1.515,3.421,0.292,0.942,105.709,33.841,103,32,195,32.526,128.622,630.275,111,39535,18.476,5.203,16,8,39,32.636,128.602,110.161,18,6910,17.061,8.852,16,2,56,32.809,128.654,101.727,16,6381,25.019,13.901,20,10,171,32.534,128.578,149.171,21,9357
4,14.555,60.902,127.913,15.994,57.828,129.167,6.439,2.778,6.488,2.856,5.959,0.715,6.645,57.828,1.894,14.3,2.778,2.271,0.44,0.969,99.215,28.472,92,42,214,60.937,128.043,1444.093,96,90583,18.019,4.422,20,7,36,60.968,127.963,262.265,18,16451,11.55,5.676,11,1,38,60.895,127.899,168.111,11,10545,29.664,10.695,27,9,84,60.906,127.949,431.763,28,27083
5,24.137,68.814,125.655,23.827,66.793,129.167,4.672,7.828,8.542,3.598,77.229,0.534,8.646,67.172,7.702,61.189,4.275,2.374,0.421,0.87,183.893,57.888,255,36,255,68.871,126.029,4438.535,186,278414,8.117,3.259,6,2,26,68.801,125.78,195.914,7,12289,5.169,4.472,4,0,51,68.594,124.985,124.764,4,7826,16.719,8.198,14,5,75,68.712,125.305,403.545,15,25313
6,19.721,83.173,128.033,21.832,78.03,129.167,9.47,2.652,9.295,2.701,176.754,0.52,9.538,78.03,0,173.157,2.652,3.441,0.291,0.962,38.943,12.89,27,15,83,82.568,128.078,767.968,36,48172,6.272,3.205,6,0,23,83.269,128.099,123.68,6,7758,5.741,5.82,2,0,54,83.557,128.169,113.206,4,7101,8.664,3.34,7,1,25,82.925,128.049,170.853,8,10717
7,42.327,96.442,124.951,29.314,92.298,129.167,7.197,9.343,10.274,5.245,114.635,0.619,11.069,92.298,0,122.421,5.898,1.959,0.511,0.875,166.887,46.076,255,25,255,96.356,124.904,7063.77,163,443086,14.134,5.715,13,3,43,96.73,125.07,598.247,13,37526,5.997,4.197,3,0,32,96.742,125.075,253.832,5,15922,30.673,14.623,20,2,90,96.553,125.276,1298.27,29,81436
8,2.63,101.362,128.676,7.045,100,129.167,2.904,1.136,2.826,1.185,3.726,0.666,2.929,100,0,172.569,1.136,2.385,0.419,0.946,156.806,33.211,179,73,218,101.381,128.731,412.473,163,25873,16.515,4.218,15,7,33,101.359,128.674,43.443,16,2725,6.897,6.707,4,0,53,101.119,128.568,18.142,5,1138,20.345,8.953,17,7,68,101.245,128.654,53.518,18,3357
9,2.423,111.383,128.78,7.52,109.722,129.167,3.283,0.884,3.328,0.927,179.816,0.539,3.321,109.722,0,171.254,0.884,3.59,0.279,0.953,108.263,46.571,56,33,202,111.162,128.849,262.345,102,16456,18.138,6.697,14,6,40,111.423,128.759,43.953,16,2757,5.579,3.303,6,0,15,111.527,128.749,13.519,5,848,30.711,16.501,19,9,79,111.342,128.712,74.418,25,4668
10,18.015,124.136,127.743,18.162,120.707,129.167,6.818,3.283,6.705,3.421,177.728,0.686,6.875,120.707,0.884,7.386,3.283,1.96,0.51,0.96,192.593,42.52,255,33,255,124.09,127.763,3469.503,200,217630,20.177,5.304,20,9,40,124.136,127.848,363.482,20,22800,12.104,6.06,10,0,41,124.007,127.862,218.058,11,13678,25.835,10.958,17,5,86,124.286,127.946,465.417,25,29194
11,31.374,117.309,126.11,20.945,114.268,129.04,6.061,6.061,6.402,6.239,64.499,0.899,6.903,115.53,5.808,50.194,6.061,1.026,0.975,0.975,181.854,43.391,255,74,255,117.378,126.105,5705.526,176,357888,29.141,9.404,27,7,64,117.359,126.262,914.286,28,57350,6.096,3.887,3,0,28,117.446,126.216,191.243,5,11996,37.445,14.693,37,7,85,117.193,126.165,1174.813,37,73692
12,44.431,105.827,125.367,24.812,102.02,128.914,7.449,7.323,7.591,7.453,108.228,0.907,8.075,104.167,7.576,63.034,7.323,1.018,0.982,0.975,154.473,33.309,136,53,249,105.735,125.519,6863.393,151,430517,29.581,9.227,34,7,62,105.941,125.508,1314.324,30,82443,6.876,4.567,4,0,30,105.949,125.453,305.517,6,19164,34.994,16.051,37,7,198,105.958,125.396,1554.796,34,97527
13,37.927,53.965,124.553,23.937,50.884,128.535,6.439,8.081,8.218,5.876,71.015,0.832,8.272,52.904,8.712,77.661,6.006,1.398,0.715,0.951,147.703,37.316,154,61,255,53.947,124.763,5601.87,146,351386,22.435,5.594,20,8,45,53.967,124.563,850.868,22,53372,10.665,5.55,8,0,41,53.926,124.288,404.502,10,25373,32.765,12.652,28,9,94,54.001,124.391,1242.647,31,77947
14,4.591,128.774,125.741,10.79,128.03,128.156,1.263,4.798,4.615,1.267,89.129,0.496,4.813,128.914,1.01,94.514,1.263,3.644,0.274,0.944,122.097,30.398,126,46,209,128.817,125.734,560.592,127,35164,26.073,6.747,23,10,52,128.791,125.755,119.71,25,7509,8.455,4.562,5,0,24,128.821,125.674,38.819,8,2435,33.41,14.286,22,11,91,128.803,125.489,153.396,30,9622
15,92.927,76.299,121.992,38.433,70.202,127.525,11.49,11.364,12.213,9.688,47.571,0.791,12.449,72.475,11.742,49.525,9.802,1.261,0.793,0.941,65.037,42.547,22,13,229,75.175,122.123,6043.676,53,379099,7.62,4.45,6,0,47,76.132,122.38,708.105,7,44417,10.699,9.245,6,0,129,76.382,121.756,994.236,9,62365,8.756,7.6,5,0,135,75.848,122.093,813.674,7,51039
16,52.115,40.2,123.469,28.531,36.111,127.399,8.586,8.712,9.598,6.913,44.457,0.805,10,37.879,10.354,52.696,7.137,1.388,0.72,0.955,153.661,37.827,161,75,255,40.101,123.5,8008.075,152,502319,23.587,5.816,20,8,50,40.31,123.591,1229.256,23,77107,9.451,4.984,8,0,37,40.282,123.541,492.519,9,30894,31.888,16.72,25,7,243,40.29,123.294,1661.832,29,104241
17,64.454,29.826,120.868,31.401,25.884,126.768,7.702,11.364,11.426,7.182,78.688,0.821,11.52,28.535,13.763,80.538,7.172,1.591,0.629,0.965,185.626,39.361,255,72,255,29.757,120.872,11964.422,184,750487,27.808,9.517,20,6,67,29.837,121.099,1792.367,27,112429,8.446,5.29,5,0,41,29.847,121.048,544.379,7,34147,29.441,13.47,25,6,113,29.804,120.892,1897.569,27,119028
18,30.035,23.189,122.961,20.741,20.076,126.01,6.061,6.566,6.554,5.835,68.677,0.877,7.016,22.096,9.722,59.744,6.043,1.123,0.89,0.967,184.809,37.066,162,72,255,23.195,122.851,5550.775,183,348181,31.512,10.291,27,12,68,23.123,122.967,946.473,29,59369,8.593,5.472,5,0,50,23.047,122.912,258.088,8,16189,30.859,13.638,20,7,96,23.214,122.945,926.848,28,58138
19,33.176,112.545,120.63,22.256,109.47,124.369,5.808,7.576,7.709,5.479,114.147,0.842,8.192,111.111,4.924,114.59,5.808,1.407,0.711,0.965,104.968,30.216,107,29,219,112.42,120.909,3482.401,106,218439,20.615,6.582,20,6,44,112.5,120.944,683.921,20,42900,16.488,10.662,12,0,82,112.88,120.549,547.009,14,34312,30.792,19.488,17,6,161,112.453,120.967,1021.545,24,64078
20,37.99,11.573,121.242,23.475,7.702,124.242,7.955,6.187,8.061,6.001,17.776,0.866,8.538,7.828,9.596,23.532,6.187,1.343,0.744,0.966,153.279,30.947,153,66,253,11.622,121.163,5823.1,153,365263,22.935,7.932,20,5,53,11.591,121.225,871.322,22,54655,12.491,8.372,7,0,118,11.391,121.259,474.52,11,29765,26.557,16.646,19,5,132,11.756,121.457,1008.919,22,63286
21,40.429,57.748,119.094,25.98,53.914,123.611,7.702,8.838,10.227,5.033,50.429,0.753,10,54.798,13.889,52.696,5.158,2.032,0.492,0.946,66.55,11.987,60,36,104,57.702,118.982,2690.599,66,168772,16.094,4.003,13,4,34,57.576,118.948,650.681,16,40815,12.37,5.902,9,0,46,57.729,119.17,500.123,11,31371,29.391,12.856,22,9,125,57.727,118.947,1188.269,26,74536
22,21.586,122.774,120.227,17.736,120.454,123.358,4.419,6.187,6.128,4.485,84.4,0.862,6.434,122.096,11.995,74.055,4.419,1.366,0.732,0.964,60.103,13.848,58,35,114,122.627,120.266,1297.377,58,81380,17.774,4.801,20,5,36,122.775,120.198,383.665,18,24066,13.131,8.672,7,1,65,122.447,119.953,283.437,11,17779,20.419,18.298,14,5,240,122.552,120.27,440.754,16,27647
23,29.477,2.812,119.379,20.797,0.253,122.853,5.303,6.944,7.218,5.2,104.071,0.856,7.362,0.758,6.566,120.964,5.303,1.388,0.72,0.97,68.845,21.368,49,27,124,2.83,119.392,2029.364,66,127295,9.56,3.498,6,1,28,2.944,119.275,281.81,9,17677,2.963,2.986,1,0,26,2.651,119.556,87.331,2,5478,13.356,5.549,12,2,50,2.722,119.46,393.709,12,24696
