 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AF8-DAPI,StdDev+AF8-DAPI,Mode+AF8-DAPI,Min+AF8-DAPI,Max+AF8-DAPI,XM+AF8-DAPI,YM+AF8-DAPI,IntDen+AF8-DAPI,Median+AF8-DAPI,RawIntDen+AF8-DAPI,Mean+AF8-Sox2,StdDev+AF8-Sox2,Mode+AF8-Sox2,Min+AF8-Sox2,Max+AF8-Sox2,XM+AF8-Sox2,YM+AF8-Sox2,IntDen+AF8-Sox2,Median+AF8-Sox2,RawIntDen+AF8-Sox2,Mean+AF8-Klf4,StdDev+AF8-Klf4,Mode+AF8-Klf4,Min+AF8-Klf4,Max+AF8-Klf4,XM+AF8-Klf4,YM+AF8-Klf4,IntDen+AF8-Klf4,Median+AF8-Klf4,RawIntDen+AF8-Klf4,Mean+AF8-Sox9,StdDev+AF8-Sox9,Mode+AF8-Sox9,Min+AF8-Sox9,Max+AF8-Sox9,XM+AF8-Sox9,YM+AF8-Sox9,IntDen+AF8-Sox9,Median+AF8-Sox9,RawIntDen+AF8-Sox9
165,33.844,25.145,78.673,27.41,23.232,84.72,4.419,11.111,10.931,3.942,97.632,0.566,11.367,23.358,44.443,102.184,4.321,2.773,0.361,0.933,130.571,26.096,132,57,212,25.173,78.641,4419.04,133,277203,28.503,7.229,27,11,51,25.125,78.6,964.638,28,60511,1.656,1.913,0,0,13,25.179,78.51,56.05,1,3516,25.32,9.197,23,6,65,25.118,78.78,856.921,24,53754
166,31.118,70.071,81.615,21.455,66.665,84.594,6.566,6.439,7.174,5.523,140.13,0.85,7.53,67.423,44.822,124.756,5.714,1.299,0.77,0.948,149.957,28.609,152,73,242,70.148,81.685,4666.356,150,292717,46.507,14.948,54,16,98,69.972,81.638,1447.188,47,90781,5.388,5.138,4,0,78,69.962,81.749,167.657,4,10517,46.183,22.48,28,11,244,69.948,81.748,1437.113,44,90149
167,19.034,76.303,81.121,17.809,74.241,84.342,4.167,6.439,6.891,3.517,115,0.754,7.175,74.872,44.822,118.369,3.841,1.959,0.51,0.946,162.741,41.78,164,78,250,76.24,81.137,3097.646,163,194313,33.389,7.99,27,16,74,76.349,81.083,635.541,32,39867,2.252,2.137,1,0,15,76.434,80.988,42.867,2,2689,34.839,16.402,24,12,237,76.476,80.991,663.136,32,41598
168,31.963,31.028,79.999,21.868,28.282,83.963,5.682,7.323,7.74,5.258,112.229,0.84,8.133,29.671,45.201,117.759,5.47,1.472,0.679,0.968,131.233,29.475,123,51,249,31.176,80.002,4194.567,127,263122,28.751,7.302,27,12,50,30.903,79.997,918.949,29,57645,1.289,1.687,0,0,16,30.888,79.917,41.209,1,2585,28.343,11.611,28,7,94,30.937,79.908,905.925,27,56828
169,32.728,84.523,79.024,23.296,82.069,83.584,4.924,8.838,8.846,4.711,93.14,0.758,8.911,84.215,45.58,97.326,4.851,1.878,0.532,0.942,148.203,33.859,140,62,253,84.442,78.894,4850.385,144,304261,38.162,11.242,27,14,68,84.487,78.964,1248.955,38,78346,2.063,2.093,0,0,17,84.547,78.988,67.528,2,4236,43.573,16.244,37,11,113,84.517,78.977,1426.049,41,89455
170,15.447,41.969,79.992,16.825,40.529,83.458,3.03,6.313,6.594,2.983,96.366,0.686,6.753,40.656,45.706,110.807,3.03,2.211,0.452,0.941,115.368,21.088,111,61,191,41.972,79.912,1782.135,115,111792,36.941,11.578,27,15,75,41.942,79.88,570.643,34,35796,1.594,1.871,0,0,12,41.922,80.232,24.63,1,1545,20.209,6.703,19,6,65,41.975,79.999,312.183,19,19583
171,6.823,1.119,81.348,10.315,0,83.079,2.651,3.283,3.232,2.688,106.761,0.806,3.662,0,46.085,136.397,2.651,1.203,0.832,0.959,60.921,6.305,60,44,77,1.099,81.305,415.659,60,26074,16.568,3.252,16,8,28,1.156,81.307,113.041,16,7091,1.734,1.8,0,0,11,1.249,81.438,11.829,1,742,19.171,12.587,14,5,121,1.235,81.196,130.8,16,8205
172,30.608,9.326,78.101,21.898,6.692,82.069,5.303,7.828,8.208,4.748,106.454,0.802,8.085,8.459,47.095,104.47,4.728,1.729,0.578,0.959,116.08,26.119,118,54,197,9.398,78.161,3552.952,118,222874,30.023,7.064,27,13,58,9.187,78.125,918.949,29,57645,1.749,2.363,0,0,40,9.414,78.528,53.532,1,3358,21.892,15.629,17,6,239,9.049,78.277,670.054,19,42032
173,15.017,60.137,79.598,15.993,58.079,81.943,4.419,4.798,5.577,3.428,62.412,0.738,6.074,58.079,52.019,43.315,3.655,1.627,0.615,0.93,156.967,27.461,138,98,244,60.18,79.561,2357.162,154,147863,40.486,13.701,27,16,80,60.032,79.65,607.978,38,38138,1.614,1.738,0,0,12,60.005,79.559,24.231,1,1520,40.669,18.448,23,12,131,59.988,79.706,610.72,36,38310
174,29.269,109.167,78.237,21.215,105.932,81.69,5.808,6.944,7.357,5.065,114.195,0.817,7.817,107.573,47.726,121.122,5.534,1.452,0.688,0.952,141.818,29.733,141,59,244,109.123,78.226,4150.823,140,260378,41.994,14.775,34,15,87,109.134,78.356,1229.108,39,77101,2.064,2.576,0,0,26,109.081,78.22,60.418,1,3790,32.241,16.969,21,9,185,109.184,78.262,943.659,28,59195
175,18.141,117.145,79.797,16.707,114.139,81.69,5.682,4.04,6.083,3.797,158.053,0.817,6.518,114.139,47.852,148.465,4.04,1.602,0.624,0.961,81.916,16.542,71,45,124,116.966,79.862,1486.069,81,93220,24.46,5.337,20,12,46,117.083,79.822,443.732,24,27835,2.986,5.508,0,0,72,116.591,79.771,54.169,1,3398,23.434,14.267,16,6,119,117.426,79.719,425.129,19,26668
176,34.019,47.596,78.025,21.855,44.443,81.438,6.313,6.944,7.261,5.965,118.796,0.895,7.427,45.454,48.105,125.311,5.986,1.217,0.822,0.97,142.394,34.224,124,55,255,47.73,78.16,4844.136,137,303869,37.863,10.421,47,14,75,47.473,77.966,1288.075,38,80800,2.916,3,1,0,24,47.498,77.944,99.204,2,6223,24.045,9.305,18,7,75,47.594,77.928,817.976,22,51311
177,30.4,126.183,77.743,21.972,123.103,81.311,5.429,7.449,7.426,5.212,96.198,0.791,7.644,125.25,48.105,112.329,5.429,1.425,0.702,0.95,143.153,37.195,148,63,254,126.198,77.66,4351.91,143,272992,37.395,12.446,27,13,79,125.964,77.652,1136.838,34,71313,2.36,2.388,1,0,19,126.109,77.593,71.737,2,4500,47.257,24.269,25,9,134,125.847,77.583,1436.651,41,90120
178,30.225,16.779,77.423,21.406,14.015,81.185,5.682,6.944,6.928,5.555,106.551,0.829,7.362,16.161,47.979,112.166,5.682,1.247,0.802,0.955,128.642,22.274,125,58,200,16.721,77.511,3888.218,129,243905,27.983,6.423,27,12,52,16.733,77.492,845.778,28,53055,1.31,1.628,0,0,10,16.872,77.402,39.583,1,2483,24.134,8.53,20,5,70,16.743,77.489,729.452,23,45758
179,30.48,114.541,75.098,24.946,111.992,80.175,5.303,9.722,10.204,3.803,112.736,0.615,10.48,111.992,48.989,111.93,4.301,2.683,0.373,0.923,149.333,28.647,153,66,249,114.553,75.059,4551.705,152,285525,37.263,11.729,27,13,71,114.436,75.07,1135.786,36,71247,2.324,2.207,1,0,15,114.46,75.036,70.828,2,4443,28.551,10.196,25,6,78,114.436,75.144,870.232,27,54589
