 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
1,10.012,5.601,128.017,12.754,3.283,129.167,4.798,2.652,4.581,2.783,2.479,0.773,4.903,26,9,11.889,2.652,1.646,0.607,0.962,159.435,48.936,206,62,255,5.638,128.016,1596.214,164,100125,6.325,2.46,6,1,16,5.586,128.01,63.322,6,3972,3.204,3.413,1,0,26,5.703,128.031,32.076,2,2012,38.186,12.809,31,17,109,5.75,128.099,382.31,35,23981
2,8.513,13.75,128.13,11.996,11.364,129.167,4.545,2.525,4.326,2.506,175.997,0.743,4.631,90,0,168.996,2.525,1.726,0.579,0.955,153.717,35.191,140,89,255,13.789,128.212,1308.616,145,82085,52.399,24.265,37,13,123,13.927,128.238,446.079,47,27981,9.341,6.835,2,0,36,14,128.236,79.52,8,4988,51.509,15.44,35,22,93,13.847,128.153,438.506,50,27506
3,4.926,17.56,128.077,8.221,16.288,129.167,2.525,2.399,2.778,2.258,142.649,0.916,3.012,129,1,146.976,2.399,1.23,0.813,0.96,106.945,17.412,110,63,150,17.535,128.141,526.826,108,33046,37.162,16.24,34,10,94,17.478,128.234,183.064,34,11483,14.579,9.886,7,0,49,17.502,128.284,71.82,12,4505,48.511,24.383,29,17,155,17.532,128.227,238.974,44,14990
4,15.097,21.451,127.112,15.341,19.318,129.167,4.167,4.798,4.889,3.931,95.803,0.806,5.252,158,0,117.181,4.167,1.244,0.804,0.953,189.241,40.35,255,68,255,21.4,127.082,2857.019,186,179211,54.272,24.206,68,12,134,21.565,127.265,819.366,54,51396,9.039,7.021,4,0,46,21.609,127.317,136.465,7,8560,30.597,12.661,23,10,92,21.558,127.192,461.926,27,28975
5,3.316,26.313,128.574,7.79,24.747,129.167,3.157,1.515,2.862,1.475,0.905,0.687,3.179,196,0,173.157,1.515,1.94,0.516,0.941,135.029,35.493,100,52,235,26.352,128.583,447.753,137,28086,34.567,22.896,13,7,125,26.359,128.719,114.624,26,7190,2.659,3.669,0,0,21,26.49,128.771,8.816,1,553,64.51,29.297,43,21,133,26.295,128.65,213.913,58,13418
6,9.741,30.444,127.918,12.889,28.283,129.167,4.419,3.283,4.248,2.92,14.465,0.737,4.632,224,11,17.447,3.283,1.455,0.687,0.924,120.723,38.628,89,58,254,30.652,128.086,1175.929,115,73762,30.774,17.28,18,7,97,30.393,128.217,299.761,26,18803,3.2,4.007,1,0,30,30.553,128.172,31.167,2,1955,29.779,16.304,22,8,128,30.175,127.972,290.069,25,18195
7,23.945,39.206,126.124,19.577,36.995,129.167,4.672,6.566,6.854,4.448,71.973,0.785,7.116,297,50,62.526,4.596,1.541,0.649,0.952,135.182,38.064,126,49,245,39.121,126.199,3236.954,133,203043,33.613,19.164,13,3,91,39.213,126.271,804.874,31,50487,2.906,3.012,0,0,24,38.975,125.863,69.588,2,4365,26.628,12.725,22,6,89,39.345,126.08,637.625,24,39996
8,17.345,45.496,127.456,17.718,42.929,129.167,5.808,4.419,5.918,3.732,24.031,0.694,6.385,340,21,24.538,4.419,1.586,0.63,0.919,155.608,48.507,255,33,255,45.723,127.553,2699.032,153,169301,49.067,27.85,13,3,124,45.448,127.607,851.075,46,53385,6.938,6.787,1,0,58,45.333,127.554,120.332,5,7548,67.451,34.205,28,10,183,45.467,127.487,1169.951,65,73387
9,15.639,52.152,127.539,15.71,49.116,129.167,5.429,3.535,5.375,3.705,167.985,0.796,5.764,389,4,151.189,3.535,1.451,0.689,0.961,185.535,48.588,255,62,255,52.155,127.717,2901.642,191,182010,54.357,17.787,54,14,110,52.179,127.585,850.102,52,53324,10.523,6.356,10,0,46,52.454,127.572,164.571,10,10323,35.457,11.208,30,8,77,52.053,127.531,554.518,34,34783
10,13.2,61.258,127.859,15.088,58.207,129.167,5.682,3.03,5.377,3.126,172.709,0.729,5.694,461,1,176.186,3.03,1.72,0.581,0.962,147.977,25.82,133,85,250,61.303,127.907,1953.319,144,122525,41.882,16.639,27,9,93,61.237,127.967,552.844,39,34678,28.089,17.768,27,0,123,61.032,128.052,370.784,25,23258,53.17,26.182,34,10,176,61.304,127.991,701.856,49,44025
11,8.131,66.149,128.006,11.06,64.268,129.167,3.788,2.778,3.778,2.74,4.079,0.835,4.08,509,12,21.801,2.778,1.379,0.725,0.961,154.116,43.412,163,59,255,66.344,128.022,1253.042,157,78599,49.559,26.87,20,10,113,66.254,128.201,402.939,42,25275,11.112,7.995,8,0,56,66.186,127.99,90.345,9,5667,31.261,12.408,23,13,101,66.18,128.081,254.167,28,15943
12,4.783,70.608,128.381,8.8,68.939,129.167,3.283,1.894,3.176,1.917,178.73,0.776,3.369,546,0,167.005,1.894,1.657,0.604,0.958,124.123,27.534,132,50,191,70.702,128.434,593.64,131,37237,26.253,13.957,17,6,69,70.651,128.548,125.561,22,7876,4.26,3.261,2,0,17,70.712,128.518,20.374,4,1278,43.68,19.141,27,17,116,70.547,128.516,208.907,38,13104
13,16.994,77.017,126,18.863,74.747,129.167,4.167,6.818,7.583,2.854,110.135,0.6,7.623,592,0,116.565,3.083,2.657,0.376,0.885,176.897,33.078,170,105,255,77.047,126.014,3006.255,171,188572,37.697,17.933,34,8,99,76.883,126.337,640.638,34,40185,30.926,21.078,7,1,96,76.829,126.381,525.567,25,32967,42.829,15.051,35,17,121,76.931,126.115,727.858,40,45656
14,26.002,81.138,125.429,22.09,79.167,129.167,4.167,8.081,8.371,3.955,86.092,0.67,8.505,635,64,71.834,4.167,2.116,0.472,0.909,168.187,37.607,255,87,255,81.094,125.404,4373.156,161,274313,50.651,18.363,61,11,109,81.154,125.722,1317.018,51,82612,18.375,11.206,9,0,84,81.123,125.889,477.772,16,29969,72.438,29.196,55,15,254,81.169,125.783,1883.508,69,118146
15,51.892,88.108,125.167,29.431,84.47,129.167,7.576,9.343,9.548,6.92,87.966,0.753,10.282,694,74,65.323,7.234,1.38,0.725,0.942,172.788,38.918,255,37,255,87.912,125.079,8966.282,171,562424,39.286,18.248,41,4,97,87.909,125.189,2038.61,39,127875,24.573,19.281,5,0,113,87.718,124.832,1275.138,19,79985,40.873,17.778,30,10,133,88.251,125.696,2121,37,133043
16,4.751,95.185,128.421,9.157,93.434,129.167,3.535,1.894,3.301,1.832,3.458,0.712,3.591,740,0,169.875,1.894,1.802,0.555,0.945,108.279,29.78,69,48,176,95.298,128.46,514.407,104,32267,26.262,13.836,13,6,63,95.468,128.522,124.764,23,7826,11.852,6.924,13,0,36,95.434,128.285,56.308,12,3532,26.584,13.726,19,10,91,95.254,128.253,126.294,23,7922
17,23.371,99.402,126.485,18.659,96.465,129.167,5.429,5.682,5.718,5.204,95.785,0.844,6.074,778,0,110.695,5.381,1.099,0.91,0.95,155.183,33.674,144,75,255,99.398,126.521,3626.821,151,227498,51.662,23.522,34,8,107,99.531,126.831,1207.399,52,75736,43.74,23.109,29,0,135,99.391,126.832,1022.262,42,64123,36.656,16.295,32,9,106,99.483,126.743,856.703,33,53738
18,14.922,108.99,127.144,16.874,106.313,129.167,5.05,5.05,6.106,3.112,134.066,0.659,6.966,842,0,133.531,3.661,1.962,0.51,0.91,123.791,29.318,130,50,220,108.974,127.277,1847.192,124,115868,42.317,19.671,21,7,95,109.109,127.379,631.455,40,39609,14.842,11.346,8,0,73,108.984,127.664,221.469,11,13892,45.687,22.12,28,12,130,109.088,127.343,681.737,39,42763
19,14.093,113.532,127.104,16.068,111.111,129.167,4.293,4.672,5.352,3.353,116.18,0.686,6.161,880,1,134.17,3.845,1.596,0.627,0.913,156.072,29.598,149,73,249,113.527,127.146,2199.515,153,137968,43.931,16.053,48,12,86,113.475,127.299,619.116,44,38835,8.921,6.255,4,0,33,113.612,126.673,125.72,8,7886,39.328,16.977,28,12,142,113.449,127.295,554.247,35,34766
20,15.305,119.317,127.693,16.738,115.783,129.167,6.061,3.788,6.142,3.173,161.06,0.686,6.615,917,0,156.371,3.718,1.936,0.517,0.95,112.072,24.437,101,62,229,119.183,127.74,1715.206,108,107589,29.156,11.469,34,8,59,119.074,127.857,446.222,29,27990,66.334,44.835,15,2,204,118.875,127.972,1015.216,58,63681,40.364,16.193,28,14,131,119.104,127.799,617.745,38,38749
21,12.004,128.229,126.284,16.203,126.515,129.167,2.778,6.692,5.967,2.561,97.882,0.575,6.81,1014,0,100.685,2.778,2.33,0.429,0.919,104.704,29.379,101,42,208,128.334,126.413,1256.916,102,78842,32.466,17.029,13,5,88,128.531,126.241,389.739,30,24447,83.212,54.177,81,2,251,128.611,126.107,998.923,78,62659,32.463,16.935,20,9,163,128.424,126.078,389.707,28,24445
22,2.2,1.397,128.513,6.288,0.126,129.04,2.273,1.389,2.296,1.22,167.355,0.699,2.429,1,1,152.103,1.389,1.882,0.531,0.882,171.63,33.355,144,109,249,1.305,128.548,377.591,164,23685,51.232,23.97,20,13,117,1.383,128.625,112.711,47,7070,7.42,8.932,2,0,51,1.537,128.603,16.325,5,1024,40.587,13.385,31,21,94,1.447,128.522,89.292,38,5601
23,12.658,33.696,126.455,13.652,31.692,129.04,3.914,4.798,4.761,3.385,64.839,0.853,4.995,260,39,73.856,3.493,1.406,0.711,0.94,125.634,31.401,124,45,216,33.571,126.357,1590.283,126,99753,41.617,27.183,20,3,110,33.419,126.261,526.794,36,33044,8.777,8.214,3,0,65,33.415,126.236,111.101,7,6969,38.637,19.872,25,9,108,33.646,126.275,489.075,33,30678
24,29.525,73.566,124.18,23.74,71.338,129.04,4.672,9.217,9.437,3.984,99.039,0.658,9.272,579,1,96.254,4.07,2.369,0.422,0.914,136.454,30.714,128,59,255,73.548,124.132,4028.788,131,252712,42.151,14.404,41,10,86,73.511,124.211,1244.497,42,78063,8.348,5.36,6,0,40,73.506,124.195,246.483,7,15461,44.194,18.452,30,11,129,73.463,124.162,1304.822,41,81847
25,34.483,10.913,123.238,26.21,8.586,128.661,4.924,10.48,10.831,4.054,104.508,0.631,10.875,75,4,105.489,4.332,2.672,0.374,0.939,183.139,34.147,255,90,255,10.882,123.228,6315.188,176,396130,38.992,15.807,47,7,96,11.147,123.352,1344.566,39,84340,7.196,5.815,5,0,44,11.101,123.507,248.125,6,15564,92.28,32.31,98,24,217,11.059,123.184,3182.097,91,199602
