 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
1,17.696,12.51,126.612,18.69,10.227,129.167,5.556,5.808,7.19,3.134,52.95,0.637,7.686,84,45,47.663,3.258,2.294,0.436,0.914,131.523,33.515,128,57,235,12.662,126.729,2327.403,128,145990,32.286,14.416,20,8,78,12.485,126.65,571.337,29,35838,4.743,5.615,0,0,57,12.429,126.593,83.936,3,5265,17.591,8.876,13,3,55,12.653,126.717,311.288,15,19526
2,17.393,16.398,126.088,18.616,13.636,129.167,5.429,6.061,7.616,2.908,53.435,0.631,7.68,109,44,46.332,3.031,2.619,0.382,0.92,114.28,22.243,114,64,183,16.322,126.088,1987.675,115,124680,33.747,17.39,18,6,84,16.34,126.342,586.96,29,36818,2.814,3.791,0,0,41,16.304,126.232,48.943,2,3070,18.435,12.734,8,2,109,16.216,126.222,320.646,15,20113
3,12.945,27.356,127.19,14.927,25.379,129.167,4.545,4.545,5.565,2.962,49.367,0.73,6.082,205,36,48.366,3.03,1.879,0.532,0.947,61.855,13.004,61,31,96,27.416,127.327,800.713,61,50226,11.576,4.36,8,2,27,27.375,127.425,149.857,11,9400,0.993,1.288,0,0,9,27.396,127.405,12.849,1,806,5.825,2.449,6,0,16,27.381,127.302,75.407,6,4730
4,8.146,33.424,127.957,12.815,31.187,129.167,4.798,2.904,5.064,2.048,24.406,0.623,5.544,247,22,30.069,2.305,2.472,0.404,0.927,71.166,22.325,54,34,152,33.647,128.111,579.754,65,36366,12.26,4.294,13,3,27,33.571,128.116,99.878,12,6265,1.971,1.828,1,0,9,33.598,128.158,16.054,2,1007,22.247,10.757,14,6,57,33.803,128.175,181.231,20,11368
5,18.286,46.011,128.004,21.149,41.919,129.167,9.217,2.652,9.097,2.559,6.699,0.514,9.464,332,17,13.109,2.652,3.554,0.281,0.948,76.023,12.134,76,36,113,46.064,127.986,1390.129,76,87198,7.89,2.24,6,3,17,46.084,128.068,144.277,8,9050,1.684,4.938,0,0,79,45.571,127.659,30.784,1,1931,9.853,8.72,6,2,129,46.358,127.881,180.163,8,11301
6,24.902,56.66,127.174,22.225,52.778,129.167,8.712,4.545,8.604,3.685,22.402,0.633,9.657,418,33,25.56,4.179,2.335,0.428,0.964,62.905,11.43,65,32,101,56.723,127.244,1566.434,63,98257,12.515,4.335,13,3,29,56.652,127.315,311.654,12,19549,1.569,1.722,0,0,13,56.457,127.32,39.058,1,2450,14.135,5.985,14,3,80,56.629,127.231,351.988,13,22079
7,9.39,83.257,128.248,13.955,80.555,129.167,5.682,2.146,5.362,2.23,179.808,0.606,5.717,638,5,6.34,2.146,2.405,0.416,0.938,69.435,11.643,69,42,111,83.321,128.263,651.989,69,40897,12.214,3.145,13,3,24,83.352,128.276,114.688,12,7194,2.986,3.061,1,0,29,83.41,128.353,28.042,2,1759,15.881,7.369,12,4,58,83.101,128.311,149.123,14,9354
8,6.329,118.776,128.318,11.178,116.919,129.167,4.293,2.146,4.077,1.977,11.073,0.637,4.41,928,14,23.629,2.146,2.063,0.485,0.922,99.025,29.27,77,44,204,118.653,128.361,626.736,95,39313,19.491,10.638,13,5,64,118.598,128.469,123.361,16,7738,3.552,4.298,1,0,31,118.705,128.594,22.479,2,1410,13.657,8.26,9,2,54,118.989,128.34,86.439,12,5422
9,28.361,75.787,125.384,21.332,73.106,129.04,5.177,7.197,7.344,4.917,89.023,0.783,7.51,591,1,106.607,5.103,1.494,0.669,0.933,159.89,37.553,169,72,255,75.775,125.431,4534.682,160,284445,43.79,20.487,20,7,117,75.717,125.502,1241.93,43,77902,5.686,5.193,0,0,44,75.616,125.57,161.255,4,10115,25.696,13.846,15,6,89,75.644,125.402,728.782,22,45714
10,31.996,112.078,125.215,24.363,109.596,129.04,5.303,8.712,8.705,4.68,90.543,0.677,9.071,869,1,106.164,5.223,1.86,0.538,0.923,139.406,32.068,133,66,255,112.01,125.33,4460.423,135,279787,50.929,25.086,75,7,123,112.043,125.5,1629.517,54,102214,16.149,13.432,1,0,78,112.082,125.575,516.719,14,32412,27.924,17.823,12,3,120,112.089,125.387,893.449,24,56043
11,35.057,126.754,124.251,25.551,124.369,129.04,4.545,9.596,10.065,4.435,88.52,0.675,9.833,996,1,102.609,4.474,2.27,0.441,0.942,147.603,37.149,135,62,255,126.769,124.312,5174.491,140,324578,46.743,18.085,47,11,95,126.834,124.385,1638.652,47,102787,16.709,11.802,5,0,73,126.846,124.359,585.765,15,36743,27.668,11.349,17,7,76,126.736,124.159,969.972,26,60843
12,36.46,69.219,124.16,25.551,66.667,128.914,4.924,9.217,9.765,4.754,82.013,0.702,9.664,542,75,72.512,4.804,2.054,0.487,0.943,113.051,32.778,123,45,248,69.112,124.282,4121.811,111,258547,29.587,16.475,20,7,110,69.107,124.273,1078.73,25,67665,3.295,3.805,0,0,29,69.1,124.271,120.125,2,7535,24.338,18.679,14,4,237,68.991,123.888,887.343,20,55660
13,36.189,98.956,124.782,25.447,96.465,128.914,5.303,8.965,9.475,4.863,76.704,0.702,9.504,776,73,70.602,5.303,1.948,0.513,0.937,129.056,29.026,113,59,249,98.977,124.881,4670.398,125,292958,50.013,24.486,20,6,109,98.937,125.049,1809.919,51,113530,18.004,14.779,2,0,96,98.837,124.98,651.542,15,40869,25.736,14.124,16,4,113,98.839,124.714,931.36,23,58421
14,25.555,4.647,125.052,23.858,2.652,128.788,5.05,8.333,8.915,3.65,74.834,0.564,9.052,27,69,67.011,4.455,2.443,0.409,0.837,111.029,20.63,106,59,186,4.596,125.082,2837.379,110,177979,33.729,14.414,20,7,81,4.608,125.352,861.947,32,54067,3.314,4.046,0,0,29,4.556,125.281,84.685,2,5312,13.07,6.127,8,3,53,4.621,125.141,334.021,12,20952
15,22.223,93.676,124.623,20.914,91.793,128.535,3.662,7.702,8.134,3.479,84.572,0.638,7.832,732,65,69.228,3.586,2.338,0.428,0.91,121.883,27.559,112,64,220,93.666,124.619,2708.661,120,169905,29.637,13.567,20,8,74,93.671,124.591,658.636,27,41314,14.09,11.592,5,0,57,93.628,124.386,313.137,10,19642,14.617,10.919,9,2,128,93.771,124.733,324.838,12,20376
16,40.669,107.107,122.464,26.432,104.545,127.778,5.05,10.354,10.473,4.944,82.904,0.732,10.628,837,93,76.954,5.05,2.118,0.472,0.96,138.406,29.716,150,59,239,107.042,122.346,5628.78,138,353074,43.682,20.729,20,9,100,107.008,122.308,1776.472,43,111432,12.775,11.677,1,0,71,106.96,122.198,519.541,9,32589,18.198,10.983,12,2,106,107.025,122.157,740.085,16,46423
17,29.461,20.384,123.676,23.136,17.55,127.651,5.808,8.333,9.162,4.094,64.643,0.692,9.093,148,78,64.502,4.442,2.238,0.447,0.93,126.525,35.607,133,52,251,20.4,123.728,3727.592,125,233819,26.696,13.009,13,5,70,20.324,123.878,786.509,24,49335,1.939,2.367,0,0,25,20.251,123.597,57.137,1,3584,13.755,9.399,8,2,104,20.226,123.919,405.251,12,25420
18,47.205,58.737,121.604,29.916,54.419,126.641,8.712,9.722,11.995,5.011,51.064,0.663,12.531,432,97,49.086,5.305,2.394,0.418,0.959,67.766,18.345,62,31,130,58.467,121.366,3198.9,65,200656,13.534,6.681,9,2,40,58.281,121.266,638.884,12,40075,1.489,2.002,0,0,25,58.397,121.26,70.305,1,4410,11.6,9.928,8,2,155,58.353,121.189,547.599,10,34349
19,30.051,120.321,122.234,23.167,117.55,126.641,5.556,8.586,8.616,4.441,68.917,0.704,8.882,938,88,75.174,4.611,1.94,0.515,0.927,135.67,38.984,106,61,255,120.415,122.309,4077.029,127,255738,45.405,23.164,20,9,112,120.279,122.15,1364.478,42,85589,24.447,21.093,7,0,111,120.214,122.062,734.665,18,46083,13.646,8.042,8,2,77,120.143,121.941,410.081,12,25723
