 ,Area,X,Y,Perim,BX,BY,Width,Height,Major,Minor,Angle,Circ,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
339,26.974,30.054,18.942,20.907,26.515,21.97,7.323,5.556,7.707,4.456,157.207,0.776,7.714,26.515,108.712,158.895,4.631,1.73,0.578,0.932,153.472,40.377,255,68,255,30.001,19.066,4139.778,146,259674,66.348,34.98,89,8,164,30.099,19.087,1789.688,64,112261,4.245,4.541,0,0,30,30.207,19.008,114.497,3,7182,41.28,20.702,23,10,128,30.191,18.975,1113.484,36,69845
340,18.828,91.203,19.005,17.514,89.015,21.843,4.545,5.808,6.15,3.898,113.506,0.771,6.149,89.899,107.323,109.179,4.177,1.578,0.634,0.923,122.455,32.697,112,67,255,91.156,19.095,2305.547,116,144619,46.742,22.987,13,7,107,91.134,19.286,880.042,48,55202,7.075,5.97,2,0,29,91.116,19.409,133.213,6,8356,36.227,15.883,38,8,123,91.099,19.18,682.072,34,42784
341,14.635,17.957,19.016,15.999,15.783,21.717,4.545,5.303,5.779,3.224,128.158,0.718,6.373,16.667,107.449,123.69,3.651,1.792,0.558,0.926,118.851,29.385,147,56,226,17.977,18.99,1739.375,118,109105,38.513,18.635,27,7,95,17.89,19.132,563.637,34,35355,16.394,14.552,4,0,66,17.813,19.261,239.93,11,15050,27.061,10.664,24,5,71,17.841,19.085,396.036,25,24842
342,22.208,86.171,18.728,18.777,83.333,21.591,5.429,5.808,6.554,4.314,133.347,0.792,7.121,84.091,107.702,127.073,4.688,1.519,0.658,0.942,133.348,30.592,129,61,252,86.136,18.829,2961.329,128,185754,66.243,39.194,12,2,221,86.12,18.922,1471.083,66,92276,7.483,7.062,0,0,42,86.202,18.861,166.182,6,10424,64.417,27.69,44,15,144,86.18,18.836,1430.542,64,89733
343,28.521,123.255,17.441,22.557,120.328,21.465,6.566,7.449,8.827,4.114,130.375,0.704,9.15,120.833,107.702,129.401,4.422,2.146,0.466,0.947,132.053,32.352,115,59,252,123.284,17.553,3766.22,127,236242,60.919,29.178,75,6,134,123.284,17.525,1737.446,64,108984,10.982,9.375,1,0,55,123.199,17.559,313.217,9,19647,32.123,15.38,17,5,92,123.293,17.447,916.167,29,57468
344,26.05,4.287,15.746,22.618,1.515,19.949,5.934,8.081,9.249,3.586,123.568,0.64,9.162,2.273,109.217,119.745,3.775,2.579,0.388,0.914,123.595,30.506,98,57,230,4.31,15.614,3219.609,118,201955,50.472,24.768,78,6,108,4.255,15.966,1314.786,53,82472,16.888,13.164,4,0,84,4.309,16.049,439.925,15,27595,20.843,10.738,14,4,76,4.288,16.014,542.944,18,34057
345,23.116,51.464,17.251,21.276,47.98,19.949,7.323,5.556,7.811,3.768,150.918,0.642,8.133,48.106,110.48,152.241,4.341,2.073,0.482,0.892,104.761,27.917,109,45,198,51.172,17.374,2421.67,105,151903,37.091,24.834,20,2,118,50.952,17.731,857.404,27,53782,2.072,2.568,0,0,18,51.042,17.69,47.89,1,3004,21.154,10.352,14,3,82,51.131,17.497,489.011,18,30674
346,28.521,114.151,17.047,21.708,110.227,19.823,7.955,5.177,7.997,4.541,159.654,0.761,8.308,110.227,111.49,163.217,4.953,1.761,0.568,0.937,145.419,30.52,143,58,246,114.094,17.083,4147.446,143,260155,57.292,30.844,20,6,173,114.106,17.241,1634.013,57,102496,6.51,6.585,0,0,41,114.202,17.334,185.679,4,11647,25.111,12.465,18,7,147,114.003,17.168,716.188,22,44924
347,9.167,128.263,17.479,13.037,126.641,19.697,2.652,5.051,4.795,2.434,100.043,0.678,5.151,128.283,109.47,101.31,2.652,1.97,0.508,0.941,119.205,26.206,120,46,194,128.261,17.448,1092.727,121,68543,61.014,40.722,13,6,173,128.513,17.575,559.301,56,35083,3.165,3.453,0,0,22,128.495,17.632,29.015,2,1820,25.68,11.898,16,6,78,128.442,17.435,235.403,24,14766
348,7.971,65.889,17.194,11.122,64.52,19.192,2.778,4.04,4.282,2.37,114.065,0.81,4.41,64.773,109.975,113.629,2.429,1.807,0.553,0.948,39.752,6.217,44,24,59,65.912,17.135,316.867,40,19876,8.16,2.839,6,2,17,65.965,17.103,65.044,8,4080,1.74,1.723,0,0,8,66.029,17.011,13.87,1,870,10.196,3.603,10,2,28,65.863,17.052,81.273,10,5098
349,29.318,107.948,15.658,23.659,104.167,19.066,8.333,6.313,9.124,4.091,144.949,0.658,9.21,104.293,111.616,151.327,4.423,2.23,0.448,0.914,144.759,28.96,145,72,249,107.915,15.643,4243.992,143,266211,60.821,29.133,89,4,163,107.958,15.81,1783.12,62,111849,5.471,5.093,0,0,27,108.016,15.796,160.411,4,10062,26.563,11.867,16,4,78,107.924,15.78,778.761,25,48849
350,12.1,11.104,15.71,14.435,8.207,17.803,4.924,3.662,4.909,3.138,21.777,0.73,5.311,8.207,114.268,28.393,3.655,1.564,0.639,0.898,60.56,11.917,68,33,102,11.201,15.753,732.784,62,45965,17.528,7.614,13,3,41,11.36,15.843,212.095,17,13304,6.748,4.173,5,0,33,11.004,15.675,81.656,6,5122,20.292,12.441,14,6,116,10.778,15.656,245.542,17,15402
351,30.992,61.506,14.431,20.95,58.333,17.803,6.439,6.439,6.853,5.758,132.065,0.887,7.099,59.217,112.247,141.499,5.803,1.19,0.84,0.969,125.896,43.928,174,38,254,61.622,14.444,3901.728,129,244742,22.18,13.569,10,2,70,61.507,14.545,687.396,19,43118,1.707,2.267,0,0,15,61.456,14.588,52.896,1,3318,20.125,9.172,16,4,67,61.377,14.376,623.707,18,39123
352,32.522,83.845,13.426,22.378,80.429,16.919,6.692,7.197,8.293,4.993,128.936,0.816,8.207,80.934,112.626,126.87,5.185,1.661,0.602,0.95,147.109,39.521,255,59,255,83.834,13.453,4784.289,140,300102,58.426,31.464,75,3,209,83.875,13.544,1900.152,62,119190,4.676,4.485,0,0,26,83.859,13.669,152.073,3,9539,26.218,11.853,18,4,74,83.835,13.581,852.669,25,53485
353,23.579,72.434,13.615,19.391,69.318,16.54,6.061,6.061,6.99,4.295,131.803,0.788,6.921,69.444,113.763,141.667,4.354,1.628,0.614,0.93,101.5,30.346,75,40,191,72.494,13.652,2393.229,103,150119,33.74,19.888,20,4,95,72.612,13.771,795.548,29,49902,3.342,4.135,0,0,43,72.568,13.96,78.802,2,4943,17.381,8.638,10,3,84,72.47,13.666,409.81,15,25706
354,42.677,46.179,13.086,26.911,41.162,16.414,9.596,6.692,9.709,5.597,160.599,0.741,9.903,41.162,114.899,160.641,5.761,1.735,0.576,0.932,173.83,38.115,165,72,255,46.124,13.034,7418.58,173,465342,46.896,20.011,54,5,93,46.306,13.193,2001.401,51,125541,4.272,4.374,0,0,28,46.183,13.238,182.331,3,11437,20.52,8.024,17,5,56,46.205,13.215,875.722,19,54931
355,22.829,96.213,14.025,18.986,93.182,16.414,6.566,4.924,6.578,4.419,170.378,0.796,6.711,93.182,114.394,168.056,4.749,1.489,0.672,0.944,136.976,31.179,136,64,255,96.228,14.094,3127.049,136,196149,63.453,34.007,13,6,150,96.258,14.217,1448.573,64,90864,6.823,6.967,0,0,44,96.091,14.274,155.755,5,9770,20.062,9.085,15,4,71,96.271,13.972,458.004,19,28729
356,10.904,29.775,14.612,13.961,27.273,16.162,5.177,3.283,5.169,2.686,166.608,0.703,5.431,27.273,113.131,162.408,2.929,1.924,0.52,0.911,107.751,29.091,121,46,207,29.809,14.499,1174.973,108,73702,31.376,16.437,13,7,82,29.774,14.653,342.136,27,21461,15.311,12.543,5,0,68,29.796,14.693,166.963,11,10473,18.342,8.711,14,5,65,29.668,14.68,200.011,16,12546
357,24.934,104.527,11.983,20.371,101.263,15.025,6.566,6.061,7.835,4.052,139.254,0.755,8.106,101.389,114.899,142.595,4.285,1.934,0.517,0.942,138.81,30.138,143,53,253,104.514,11.992,3461.038,137,217099,59.996,28.219,61,3,130,104.53,12.19,1495.921,63,93834,4.719,4.544,0,0,25,104.458,12.26,117.654,3,7380,18.237,7.53,14,4,65,104.576,11.917,454.72,17,28523
358,27.166,23.931,9.011,26.118,21.843,14.773,4.672,10.48,11.023,3.138,105.468,0.5,10.753,22.348,114.394,105.668,3.615,3.513,0.285,0.899,160.664,48.043,255,54,255,24.055,8.965,4364.531,151,273772,5.549,5.338,3,0,39,23.425,9.305,150.75,4,9456,0.957,1.807,0,0,22,23.881,8.977,25.986,0,1630,26.317,10.521,20,8,73,23.887,9.125,714.912,24,44844
