 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AC0-DAPI,StdDev+AC0-DAPI,Mode+AC0-DAPI,Min+AC0-DAPI,Max+AC0-DAPI,XM+AC0-DAPI,YM+AC0-DAPI,IntDen+AC0-DAPI,Median+AC0-DAPI,RawIntDen+AC0-DAPI,Mean+AC0-Sox2,StdDev+AC0-Sox2,Mode+AC0-Sox2,Min+AC0-Sox2,Max+AC0-Sox2,XM+AC0-Sox2,YM+AC0-Sox2,IntDen+AC0-Sox2,Median+AC0-Sox2,RawIntDen+AC0-Sox2,Mean+AC0-Klf4,StdDev+AC0-Klf4,Mode+AC0-Klf4,Min+AC0-Klf4,Max+AC0-Klf4,XM+AC0-Klf4,YM+AC0-Klf4,IntDen+AC0-Klf4,Median+AC0-Klf4,RawIntDen+AC0-Klf4,Mean+AC0-Sox9,StdDev+AC0-Sox9,Mode+AC0-Sox9,Min+AC0-Sox9,Max+AC0-Sox9,XM+AC0-Sox9,YM+AC0-Sox9,IntDen+AC0-Sox9,Median+AC0-Sox9,RawIntDen+AC0-Sox9
1,8.975,16.612,127.997,12.489,14.394,129.167,4.798,2.778,4.429,2.58,15.712,0.723,5.113,114,14,20.225,2.778,1.717,0.583,0.934,53.844,30.463,30,17,163,16.95,127.847,483.272,45,30314,23.879,8.998,20,3,51,16.895,127.975,214.327,23,13444,6.234,5.18,2,0,27,16.898,127.8,55.957,5,3510,30.103,24.78,22,8,194,16.725,127.975,270.189,22,16948
2,8.704,22.909,128.064,12.132,20.455,129.167,4.545,2.778,4.223,2.624,168.093,0.743,4.656,162,0,167.471,2.778,1.609,0.621,0.949,120.064,24.182,138,44,177,22.799,128.097,1045.092,122,65555,34.407,10.44,27,14,65,22.943,128.188,299.49,33,18786,8.863,5.111,5,0,26,22.93,128.213,77.144,8,4839,33.775,13.537,24,8,79,22.967,128.204,293.99,32,18441
3,17.345,33.332,127.63,17.065,30.05,129.167,6.313,3.662,6.006,3.677,175.218,0.748,6.523,238,0,165.426,3.662,1.634,0.612,0.96,135.575,34.305,123,48,246,33.37,127.634,2351.572,130,147506,53.838,26.828,75,8,113,33.307,127.877,933.831,57,58576,7.673,5.747,3,0,36,33.627,127.865,133.086,7,8348,48.61,26.826,29,7,164,33.186,127.935,843.152,43,52888
4,3.619,42.537,128.805,11.948,39.773,129.167,5.429,1.01,5.18,0.889,179.769,0.319,5.442,315,0,176.009,1.01,5.824,0.172,0.849,99.317,23.128,89,44,175,42.708,128.832,359.417,99,22545,15.163,5.1,13,3,30,42.504,128.818,54.873,14,3442,9.85,7.798,7,0,41,42.509,128.881,35.647,8,2236,24.203,10.052,15,7,49,42.248,128.781,87.587,22,5494
5,10.06,50.108,128.144,13.973,47.222,129.167,5.556,2.652,5.06,2.531,179.96,0.647,5.578,374,0,174.806,2.652,1.999,0.5,0.94,82.635,16.929,77,37,142,50.017,128.182,831.275,82,52143,21.559,7.142,20,7,44,49.979,128.241,216.878,21,13604,22.277,12.595,19,1,66,49.795,128.288,224.1,21,14057,33.013,35.251,21,11,255,50.095,127.924,332.092,25,20831
6,33.511,58.976,126.008,22.705,55.429,129.167,6.566,7.071,7.429,5.743,125.933,0.817,7.85,450,0,115.741,5.979,1.294,0.773,0.953,142.654,35.345,132,47,255,58.971,125.977,4780.399,140,299858,38.081,19.369,20,6,98,59.096,126.193,1276.126,35,80047,13.431,9.562,8,0,69,58.997,126.207,450.08,11,28232,34.824,19.451,16,7,159,59.064,126.088,1166.986,30,73201
7,24.392,65.474,126.385,19.725,62.879,129.167,5.05,5.934,6.429,4.831,107.71,0.788,6.829,501,2,123.69,4.943,1.331,0.751,0.942,130.59,43.727,97,50,255,65.485,126.474,3185.301,121,199803,44.971,25.005,15,2,119,65.54,126.661,1096.92,43,68806,6.325,5.395,3,0,51,65.591,126.796,154.273,5,9677,34.901,20.984,21,9,186,65.344,126.388,851.282,29,53398
8,16.197,70.412,127.13,16.573,68.308,129.167,4.545,4.798,5.055,4.08,72.925,0.741,5.859,549,37,52.883,4.53,1.239,0.807,0.941,135.807,38.874,112,53,255,70.567,127.25,2199.706,130,137980,51.208,26.737,20,8,112,70.381,127.401,829.425,51,52027,11.233,8.616,7,0,72,70.236,127.303,181.948,9,11413,62.298,37.76,35,13,232,70.331,127.31,1009.062,52,63295
9,7.812,80.311,128.135,11.43,78.409,129.167,4.167,2.399,4.144,2.4,11.699,0.751,4.405,623,16,27.3,2.399,1.726,0.579,0.95,86.939,16.808,80,48,137,80.34,128.131,679.138,86,42600,37.104,15.695,27,11,77,80.41,128.22,289.845,33,18181,6.227,3.996,4,0,22,80.181,128.253,48.64,6,3051,34.304,17.774,19,9,152,80.428,128.17,267.973,30,16809
10,38.341,93.327,125.749,25.052,89.141,129.167,8.333,6.818,9.567,5.102,143.165,0.768,10.23,706,0,144.545,5.367,1.875,0.533,0.961,122.298,45.026,255,31,255,93.189,125.621,4689.019,113,294126,47.887,26.331,20,6,136,93.126,126.053,1836.048,47,115169,47.412,33.621,11,0,159,92.933,126.195,1817.826,45,114026,29.11,17.985,20,5,154,93.235,126.048,1116.114,24,70010
