 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean+AC0-DAPI,StdDev+AC0-DAPI,Mode+AC0-DAPI,Min+AC0-DAPI,Max+AC0-DAPI,XM+AC0-DAPI,YM+AC0-DAPI,IntDen+AC0-DAPI,Median+AC0-DAPI,RawIntDen+AC0-DAPI,Mean+AC0-Sox2,StdDev+AC0-Sox2,Mode+AC0-Sox2,Min+AC0-Sox2,Max+AC0-Sox2,XM+AC0-Sox2,YM+AC0-Sox2,IntDen+AC0-Sox2,Median+AC0-Sox2,RawIntDen+AC0-Sox2,Mean+AC0-Klf4,StdDev+AC0-Klf4,Mode+AC0-Klf4,Min+AC0-Klf4,Max+AC0-Klf4,XM+AC0-Klf4,YM+AC0-Klf4,IntDen+AC0-Klf4,Median+AC0-Klf4,RawIntDen+AC0-Klf4,Mean+AC0-Sox9,StdDev+AC0-Sox9,Mode+AC0-Sox9,Min+AC0-Sox9,Max+AC0-Sox9,XM+AC0-Sox9,YM+AC0-Sox9,IntDen+AC0-Sox9,Median+AC0-Sox9,RawIntDen+AC0-Sox9
391,23.335,20.744,11.407,23.817,17.675,16.16,5.303,8.333,8.791,3.38,65.301,0.517,9.528,71,480,57.995,4.244,2.601,0.384,0.834,148.762,46.176,255,47,255,20.788,11.432,3471.337,141,54447,66.15,29.04,30,14,135,20.703,11.585,1543.603,64,24211,4.902,4.512,1,0,37,20.796,11.516,114.379,4,1794,15.99,7.161,13,6,47,96.732,12.642,411.865,14,6460
392,25.758,96.743,12.724,18.941,94.183,15.908,5.303,6.313,6.31,5.197,80.039,0.902,6.555,379,473,74.358,5.303,1.214,0.824,0.938,145.168,43.254,122,55,255,96.786,12.63,3739.177,142,58648,58.114,27.86,33,19,140,96.792,12.899,1496.869,50,23478,5.765,4.969,3,0,32,96.722,12.641,148.488,5,2329,16.884,12.581,11,4,95,5.173,11.348,416.583,13,6534
393,24.674,5.338,11.474,19.593,2.778,14.898,4.798,6.818,6.576,4.778,92.783,0.808,6.933,21,479,79.509,4.798,1.376,0.727,0.916,123.959,34.462,123,54,242,5.416,11.628,3058.515,119,47972,55.455,24.413,42,13,122,5.462,11.365,1368.273,50,21461,21.992,19.894,6,0,148,5.53,11.318,542.629,17,8511,29.387,15.402,18,6,103,32.038,11.733,599.564,27,9404
394,20.402,32,11.735,19.002,29.29,14.898,5.555,6.313,7.207,3.605,48.728,0.71,7.575,119,476,53.13,4.202,1.999,0.5,0.872,159.7,41.398,255,65,255,32.079,11.878,3258.199,154,51104,85.056,38.182,106,18,205,32.067,11.778,1735.318,82,27218,5.747,5.654,1,0,36,32.051,11.768,117.248,4,1839,42.063,20.099,22,9,128,36.888,12.285,506.862,41,7950
395,12.05,36.729,12.115,13.916,34.845,14.645,3.788,4.798,5.157,2.975,61.618,0.782,5.544,140,472,59.931,3.329,1.733,0.577,0.887,156.54,32.121,156,88,255,36.628,12.051,1886.292,153,29586,77.72,30.035,54,24,148,36.785,12.23,936.516,79,14689,3.762,3.349,2,0,17,36.758,12.228,45.331,3,711,16.719,11.961,9,4,127,90.963,9.045,576.675,13,9045
396,34.492,91.086,9.231,24.975,88.123,14.14,5.808,9.343,9.373,4.686,71.043,0.695,10.081,352,492,67.932,5.158,2,0.5,0.908,124.909,38.248,124,53,255,91.187,9.214,4308.392,117,67576,61.091,28.344,27,14,141,90.928,9.298,2107.144,60,33050,34.072,26.835,5,0,158,90.926,9.32,1175.219,28,18433,13.16,4.139,13,5,32,72.215,10.188,271.857,13,4264
397,20.657,72.279,10.239,20.517,69.69,13.383,5.555,6.818,8.182,3.215,59.723,0.617,8.336,278,485,54.866,3.782,2.545,0.393,0.863,98.889,22.558,95,57,169,72.249,10.284,2042.75,95,32040,35.083,9.234,33,16,67,72.191,10.153,724.717,33,11367,13.975,9.212,10,0,103,72.119,10.025,288.688,12,4528,15.624,9.965,9,4,85,85.484,8.669,585.729,13,9187
398,37.489,85.479,8.478,26.674,82.568,13.383,6.06,10.1,10.077,4.737,76.401,0.662,10.353,335,498,77.32,5.406,2.128,0.47,0.872,126.269,36.362,98,43,255,85.523,8.505,4733.647,120,74246,72.371,32.846,33,14,145,85.446,8.573,2713.084,75,42554,39.095,29.239,7,0,134,85.492,8.588,1465.629,36,22988,19.356,11.398,13,7,90,50.404,11.541,162.897,16,2555
399,8.416,50.255,11.54,10.616,48.48,13.13,3.535,3.03,3.591,2.984,27.556,0.938,3.788,194,471,53.13,3.03,1.203,0.831,0.933,72.417,11.051,63,45,98,50.188,11.528,609.446,72,9559,25.848,6.405,25,13,46,50.136,11.529,217.536,25,3412,5.258,4.385,4,0,23,49.996,11.419,44.247,4,694,17.688,7.255,13,5,60,26.169,9.444,339.438,16,5324
400,19.191,26.055,9.496,16.441,23.483,12.12,4.798,5.05,5.244,4.66,111.091,0.892,5.561,97,465,129.472,4.798,1.125,0.889,0.944,154.525,37.651,157,65,255,25.989,9.62,2965.431,150,46512,53.708,13.894,54,18,92,26.217,9.431,1030.684,54,16166,4.023,4.487,0,0,33,26.239,9.501,77.209,3,1211,11.836,5.583,11,3,42,46.73,8.387,249.032,11,3906
401,21.04,46.827,8.482,19.568,44.693,12.12,4.798,7.575,6.444,4.157,82.259,0.69,7.642,182,493,82.405,4.791,1.55,0.645,0.857,130.467,40.504,142,37,255,46.673,8.499,2744.962,132,43054,65.679,29.222,42,16,147,46.64,8.364,1381.853,60,21674,51.742,36.274,17,3,172,46.556,8.254,1088.638,43,17075,17.58,12.433,14,5,159,14.357,7.897,424.808,15,6663
402,24.164,14.37,8.004,21.44,11.868,11.868,5.05,7.828,8.051,3.821,68.823,0.661,8.225,50,495,72.121,4.127,2.107,0.475,0.879,136.008,34.017,101,77,255,14.421,7.979,3286.443,130,51547,64.377,27.241,30,17,150,14.471,8.086,1555.589,63,24399,10.095,13.237,4,0,166,14.377,7.985,243.931,7,3826,17.925,10.39,10,3,71,52.089,6.808,689.141,15,10809
403,38.445,51.98,6.548,26.317,48.228,11.868,6.818,9.595,10.331,4.738,60.59,0.698,10.62,194,501,61.607,5.054,2.18,0.459,0.915,126.328,35.139,123,40,247,51.938,6.494,4856.696,122,76176,86.672,38.257,100,11,176,52.071,6.811,3332.093,94,52263,40.174,29.361,7,0,134,52.138,6.817,1544.495,35,24225,26.144,13.227,25,7,102,39.837,7.822,300.037,24,4706
404,11.476,39.902,8.007,16.023,38.633,11.11,2.778,6.565,6.642,2.2,80.251,0.562,6.685,157,493,79.114,2.562,3.019,0.331,0.835,96.683,28.777,78,45,155,39.843,8.234,1109.55,94,17403,40.194,16.687,25,15,93,39.831,8.233,461.276,36,7235,4.056,4.041,3,0,36,39.874,7.93,46.542,3,730,78.577,40.485,105,14,246,97.732,6.892,2249.384,74,35281
405,28.627,97.935,6.948,23.312,94.435,10.858,6.818,7.07,8.157,4.468,38.371,0.662,8.794,379,496,50.826,5.194,1.826,0.548,0.838,123.724,26.135,116,64,228,97.982,7.029,3541.787,121,55552,56.786,21.686,65,13,123,97.851,6.953,1625.593,57,25497,26.214,19.183,12,0,113,97.699,6.935,750.411,22,11770,31.496,15.075,19,11,82,37.753,7.362,267.075,27,4189
406,8.48,37.686,7.086,16.528,36.613,10.353,2.02,7.07,6.912,1.562,91.986,0.39,7.11,149,470,96.116,2.008,4.425,0.226,0.764,156.925,27.544,151,79,218,37.668,7.269,1330.657,158,20871,60.925,21.877,33,25,122,37.69,7.221,516.617,58,8103,9.346,8.722,8,0,64,37.704,7.047,79.249,8,1243,27.646,14.957,14,4,106,107.143,6.729,821.372,25,12883
