 ,Area,X,Y,Perim,BX,BY,Width,Height,Major,Minor,Angle,Circ,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
1,5.022,0.621,126.671,11.116,0,129.167,1.515,4.672,5.012,1.276,97.486,0.511,4.839,0,0,105.124,1.494,3.929,0.254,0.904,106.194,17.288,96,80,156,0.623,126.567,533.283,101,33451,37.305,11.716,20,14,66,0.585,126.906,187.337,39,11751,20.143,11.938,23,0,72,0.501,127.142,101.153,20,6345,49.016,17.298,47,16,127,0.594,126.699,246.148,47,15440
2,25.444,4.648,127.169,21.388,1.389,129.167,7.071,5.177,7.12,4.55,13.658,0.699,7.356,2.399,4.924,39.428,5.177,1.565,0.639,0.901,144.405,30.458,152,61,251,4.483,127.249,3674.201,145,230470,43.679,19.978,20,6,105,4.505,127.276,1111.363,43,69712,13.228,9.848,5,0,64,4.411,127.363,336.572,11,21112,40.025,15.438,24,15,106,4.715,127.171,1018.388,38,63880
3,6.871,11.18,127.741,10.198,9.975,129.167,2.778,3.283,3.575,2.447,62.822,0.83,3.855,10.48,3.283,58.392,2.655,1.46,0.685,0.954,124.694,33.479,104,62,224,11.162,127.77,856.782,116,53743,30.042,13.43,27,7,75,11.321,127.872,206.42,27,12948,22.573,12.369,11,0,57,11.366,127.843,155.102,22,9729,36.181,13.675,29,17,128,11.226,127.646,248.603,33,15594
4,11.957,16.99,127.59,13.616,14.646,129.167,4.419,3.535,4.451,3.42,150.032,0.81,5.028,14.646,0.253,151.504,3.535,1.302,0.768,0.954,120.6,22.984,139,59,186,16.944,127.66,1441.973,123,90450,42.617,22.236,20,10,131,17.077,127.858,509.561,38,31963,18.289,13.539,5,0,66,17.24,127.88,218.679,14,13717,64.821,23.245,69,21,133,17.135,127.696,775.047,64,48616
5,6.106,20.799,128.32,10.168,18.939,129.167,3.914,2.02,3.852,2.018,5.465,0.742,3.947,18.939,0.126,172.648,2.02,1.909,0.524,0.954,128.274,26.916,127,75,219,20.719,128.354,783.225,127,49129,43.846,21.858,22,13,113,20.681,128.459,267.718,38,16793,7.326,5.596,3,0,37,20.606,128.491,44.734,6,2806,47.303,17.86,29,21,101,20.64,128.426,288.825,43,18117
6,16.022,28.943,127.918,17.509,25.505,129.167,6.944,3.03,6.74,3.027,178.344,0.657,7.037,25.505,1.136,9.293,3.03,2.227,0.449,0.967,157.012,41.571,139,63,255,28.843,128.009,2515.633,151,157797,35.394,16.432,20,8,86,28.78,128.107,567.08,32,35571,8.838,7.946,2,0,56,28.728,128.21,141.599,6,8882,43.584,18.847,24,13,173,28.905,128.026,698.301,41,43802
7,18.286,37.05,126.519,16.726,34.848,129.167,4.419,5.682,5.888,3.954,109.187,0.821,6.002,35.48,0.126,112.249,3.998,1.489,0.672,0.946,154.211,34.9,169,72,255,37.007,126.724,2819.858,155,176880,37.238,17.9,20,8,121,37.12,126.956,680.924,34,42712,9.771,7.482,4,0,50,37.1,126.867,178.664,8,11207,46.201,18.362,28,13,109,37.161,126.72,844.81,44,52992
8,4.671,39.925,128.182,8.265,38.636,129.167,2.525,2.273,2.562,2.321,162.553,0.859,2.879,38.636,0,142.125,2.273,1.104,0.906,0.953,157.205,34.111,168,95,245,39.863,128.252,734.314,156,46061,34.038,13.839,27,15,75,39.752,128.252,158.992,31,9973,7.403,6.102,5,0,40,39.721,128.334,34.579,6,2169,39.543,14.867,31,18,95,39.757,128.248,184.706,36,11586
9,29.971,43.791,126.326,21.332,40.025,129.167,6.692,5.934,6.516,5.856,37.718,0.828,7.457,40.025,3.662,28.301,5.934,1.113,0.899,0.946,160.79,30.509,150,79,255,43.828,126.378,4819.107,157,302286,77.786,37.941,75,11,201,43.904,126.532,2331.357,75,146238,18.682,14.248,7,0,88,43.827,126.665,559.922,15,35122,40.784,14.944,33,13,116,43.782,126.432,1222.353,37,76674
10,12.77,63.606,127.869,14.46,61.111,129.167,5.177,2.904,5.283,3.077,3.153,0.767,5.44,61.237,2.02,21.801,2.904,1.717,0.582,0.969,134.26,34.304,111,65,245,63.487,127.907,1714.457,130,107542,38.095,21.591,20,7,115,63.485,128.092,486.461,32,30514,18.74,16.656,5,0,89,63.49,128.199,239.309,14,15011,35.627,15.92,21,13,101,63.602,127.991,454.943,31,28537
