 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Mean-DAPI,StdDev-DAPI,Mode-DAPI,Min-DAPI,Max-DAPI,XM-DAPI,YM-DAPI,IntDen-DAPI,Median-DAPI,RawIntDen-DAPI,Mean-Sox2,StdDev-Sox2,Mode-Sox2,Min-Sox2,Max-Sox2,XM-Sox2,YM-Sox2,IntDen-Sox2,Median-Sox2,RawIntDen-Sox2,Mean-Klf4,StdDev-Klf4,Mode-Klf4,Min-Klf4,Max-Klf4,XM-Klf4,YM-Klf4,IntDen-Klf4,Median-Klf4,RawIntDen-Klf4,Mean-Sox9,StdDev-Sox9,Mode-Sox9,Min-Sox9,Max-Sox9,XM-Sox9,YM-Sox9,IntDen-Sox9,Median-Sox9,RawIntDen-Sox9
1,14.284,15.371,127.492,16.129,12.247,129.167,5.429,4.04,4.929,3.69,148.687,0.69,5.936,97,0,156.161,4.04,1.336,0.749,0.901,92.348,42.304,83,17,254,15.269,127.65,1319.122,84,82744,92.171,52.295,20,12,200,15.464,127.823,1316.587,87,82585,5.586,5.383,0,0,34,15.446,127.914,79.791,4,5005,23.337,8.412,19,6,62,15.541,127.365,333.352,22,20910
2,19.912,22.979,127.033,18.475,20.581,129.167,5.556,4.924,5.69,4.456,48.297,0.733,6.609,171,38,46.548,4.923,1.277,0.783,0.947,94.763,40.026,60,21,250,23.191,127.037,1886.904,88,118359,107.765,59.231,45,7,243,23.206,127.421,2145.806,110,134599,8.279,8.885,0,0,60,22.965,127.531,164.842,5,10340,35.114,22.878,22,6,176,23.098,127.304,699.193,28,43858
3,14.491,51.618,127.072,16.024,49.874,129.167,4.04,4.798,5.168,3.57,63.516,0.709,5.886,397,38,54.605,4.04,1.448,0.691,0.921,112.871,40.133,97,34,255,51.538,127.108,1635.671,104,102600,134.79,63.587,180,21,255,51.702,127.278,1953.303,138,122524,10.899,8.838,2,0,66,51.721,127.233,157.939,9,9907,29.164,12.661,21,10,106,51.621,127.187,422.628,26,26510
4,5.293,57.501,128.373,9.41,55.556,129.167,3.662,1.894,3.564,1.891,174.321,0.751,3.716,440,1,170.218,1.894,1.884,0.531,0.946,58.645,23.573,40,18,141,57.494,128.488,310.395,56,19470,43.747,22.192,20,12,100,57.504,128.544,231.545,37,14524,2.822,2.604,1,0,14,57.476,128.592,14.938,2,937,37.12,13.076,27,18,76,57.61,128.461,196.472,33,12324
5,5.978,61.848,128.336,10.032,59.975,129.167,3.788,1.894,3.852,1.976,179.584,0.746,3.955,475,9,16.699,1.894,1.949,0.513,0.965,49.28,22.591,38,14,140,61.811,128.454,294.612,44,18480,25.779,14.839,20,8,87,61.778,128.494,154.113,21,9667,2.293,2.287,0,0,13,61.729,128.406,13.71,2,860,29.699,8.414,23,15,63,61.907,128.401,177.548,28,11137
6,4.065,71.029,128.59,9.096,69.192,129.167,3.662,1.389,3.802,1.361,178.93,0.617,3.739,548,6,11.689,1.389,2.793,0.358,0.924,68.212,27.769,45,20,178,71.096,128.669,277.299,62,17394,29.725,15.849,19,8,84,71.207,128.699,120.842,25,7580,5.133,3.583,3,0,20,71.346,128.586,20.868,4,1309,28.467,11.312,21,11,85,71.073,128.583,115.725,25,7259
7,17.218,75.824,127.239,17.065,73.485,129.167,5.177,4.545,5.566,3.939,37.478,0.743,6.273,585,33,40.101,4.545,1.413,0.708,0.933,94.229,32.413,86,20,221,75.77,127.285,1622.391,89,101767,108.549,57.561,25,20,235,75.856,127.564,1868.953,110,117233,16.494,9.649,9,0,52,75.777,127.553,283.979,14,17813,39.806,14.834,30,12,101,75.925,127.462,685.356,37,42990
8,15.113,101.066,127.934,17.404,97.601,129.167,6.818,3.03,6.485,2.967,177.664,0.627,6.837,773,4,4.236,3.03,2.186,0.458,0.942,107.398,35.743,85,30,236,101.068,127.83,1623.124,101,101813,93.166,51.13,144,10,209,100.942,128.156,1408.032,93,88321,7.053,6.467,3,0,36,101.01,128.29,106.59,5,6686,35.943,14.275,23,12,89,100.937,128.068,543.215,33,34074
9,23.594,121.288,126.851,19.904,118.055,129.167,6.061,5.177,6.755,4.447,143.231,0.748,7.534,936,0,140.44,5.089,1.519,0.658,0.937,106.127,27.355,89,29,227,121.286,126.948,2504.011,105,157068,113.197,49.668,158,14,209,121.31,127.131,2670.814,123,167531,7.208,5.393,5,0,38,121.179,127.118,170.072,6,10668,59.995,20.67,57,15,141,121.296,127.06,1415.541,59,88792
10,24.423,127.74,125.254,21.728,125.631,129.167,3.662,8.333,8.817,3.527,94.249,0.65,8.516,1001,1,105.479,3.662,2.5,0.4,0.95,127.242,50.032,86,35,255,127.661,125.553,3107.695,116,194935,105.129,46.36,130,20,223,127.993,125.532,2567.621,103,161058,4.993,4.332,1,0,26,128.063,125.431,121.942,4,7649,89.935,34.306,63,27,191,127.954,125.378,2196.534,86,137781
11,2.806,6.51,128.423,6.645,5.303,129.04,2.399,1.515,2.394,1.492,179.641,0.799,2.481,42,1,165.256,1.515,1.604,0.623,0.944,41.506,13.337,41,16,76,6.524,128.447,116.458,41,7305,35.188,13.424,22,14,67,6.586,128.518,98.73,34,6193,3.511,2.627,2,0,13,6.635,128.53,9.852,3,618,31.097,16.623,19,9,99,6.463,128.491,87.252,26,5473
12,1.801,30.99,128.73,6.836,29.419,129.04,3.03,0.758,3.106,0.739,178.947,0.484,3.054,233,1,172.875,0.758,4.205,0.238,0.922,65.487,26.312,44,16,132,30.909,128.763,117.972,66,7400,35.522,17.789,20,10,111,30.903,128.788,63.992,31,4014,3.142,2.815,1,0,13,30.942,128.778,5.659,3,355,22.363,4.995,27,9,38,31.034,128.741,40.286,22,2527
13,6.281,38.697,128.215,12.366,35.732,129.04,4.798,2.273,4.59,1.742,164.158,0.516,5.09,283,1,156.615,2.273,2.635,0.38,0.854,122.589,33.573,105,26,212,38.733,128.238,770.009,125,48300,83.386,48.466,40,13,200,38.893,128.378,523.765,75,32854,3.391,3.684,0,0,24,38.769,128.461,21.299,2,1336,33.477,10.723,31,16,85,38.708,128.292,210.278,31,13190
14,1.897,42.747,128.668,6.331,41.54,129.04,2.652,0.884,2.811,0.859,4.405,0.595,2.726,329,6,13.392,0.884,3.271,0.306,0.941,110.958,31.2,87,51,213,42.857,128.708,210.501,111,13204,96.655,37.082,79,30,179,42.891,128.74,183.367,101,11502,5.176,4.591,4,0,36,42.803,128.679,9.82,4,616,42.034,10.735,40,25,75,42.802,128.685,79.743,40,5002
15,5.054,85.708,128.264,9.379,83.965,129.04,3.535,1.894,3.431,1.875,178.928,0.722,3.571,665,5,8.13,1.894,1.829,0.547,0.943,72.325,23.61,60,25,194,85.813,128.308,365.507,71,22927,53.987,32.433,27,13,148,85.815,128.461,272.835,43,17114,21.763,18.725,7,0,96,85.894,128.499,109.985,15,6899,55.397,22.574,41,27,163,85.761,128.385,279.961,48,17561
16,9.135,94.195,127.842,12.649,91.793,129.04,4.419,2.778,4.141,2.809,170.487,0.717,4.714,727,1,159.624,2.778,1.474,0.678,0.927,96.942,32.997,81,28,211,93.952,127.864,885.558,91,55548,114.138,64.867,27,13,235,94.201,128.062,1042.637,110,65401,24.044,20.054,3,0,98,94.247,128.154,219.636,19,13777,31.527,12.383,26,12,95,94.313,127.923,287.996,28,18065
17,9.693,113.612,127.526,13.081,111.364,129.04,4.167,3.409,4.331,2.85,138.272,0.712,5.012,882,1,139.086,3.332,1.52,0.658,0.918,72.852,21.049,79,28,148,113.504,127.589,706.144,71,44294,70.717,41.383,40,14,189,113.37,127.894,685.451,56,42996,5.02,3.624,3,0,23,113.552,127.426,48.656,4,3052,45.612,18.693,48,14,128,113.406,127.69,442.109,45,27732
18,21.921,81.819,126.454,18.407,78.662,128.788,6.566,4.672,6.692,4.171,163.058,0.813,6.872,623,13,159.567,4.284,1.604,0.623,0.957,45.49,14.049,41,12,105,81.836,126.365,997.169,44,62549,42.013,15.346,34,11,91,81.627,126.546,920.95,40,57768,17.512,13.794,4,0,69,80.966,126.782,383.872,14,24079,40.58,16.346,28,12,102,82.101,126.234,889.528,36,55797
19,28.313,90.872,124.919,21.708,88.131,128.788,5.808,7.323,8.16,4.418,123.215,0.755,8.72,702,4,124.38,4.588,1.847,0.541,0.945,127.019,34.896,113,43,235,90.88,124.968,3596.34,122,225586,139.764,58.978,199,24,255,90.869,125.076,3957.175,140,248220,6.203,5.4,4,0,51,90.846,124.997,175.619,5,11016,109.229,45.008,52,27,242,90.822,125.049,3092.645,104,193991
20,15.257,45.393,126.615,17.218,42.55,128.662,5.934,4.419,6.499,2.989,32.646,0.647,6.607,337,33,26.075,3.258,2.174,0.46,0.887,164.694,47.944,255,61,255,45.294,126.677,2512.684,164,157612,115.708,25.834,116,40,214,45.458,126.733,1765.329,115,110733,4.208,3.441,3,0,20,45.371,126.515,64.199,3,4027,22.054,5.974,22,8,49,45.492,126.648,336.476,22,21106
21,27.134,108.721,125.212,20.532,106.061,128.535,5.177,7.197,6.932,4.984,94.857,0.809,7.286,857,62,81.027,5.177,1.391,0.719,0.939,93.222,31.196,97,24,239,108.762,125.353,2529.455,90,158664,113.073,57.022,162,9,233,108.802,125.444,3068.094,120,192451,11.784,8.257,3,0,52,108.818,125.378,319.753,10,20057,88.586,40.137,39,16,208,108.76,125.395,2403.671,89,150774
22,30.641,65.462,124.059,24.189,62.752,128.409,4.924,9.217,8.781,4.443,91.579,0.658,9.287,520,79,82.972,4.893,1.976,0.506,0.914,73.279,26.737,59,18,181,65.434,124.133,2245.349,69,140843,58.107,23.868,61,8,130,65.363,123.84,1780.442,58,111681,19.696,14.806,13,0,82,65.493,122.91,603.508,17,37856,59.824,18.66,47,22,178,65.421,124.025,1833.067,57,114982
23,32.395,28.454,124.477,22.422,25.253,127.904,6.566,7.197,7.786,5.298,60.175,0.81,7.883,214,67,58.092,5.404,1.47,0.68,0.938,91.788,31.393,84,16,221,28.395,124.338,2973.43,89,186513,128.7,61.614,178,9,255,28.493,124.704,4169.191,137,261519,13.08,11.023,2,0,81,28.417,124.587,423.712,11,26578,40.8,20.214,24,11,153,28.418,124.576,1321.705,36,82906
24,33.096,36.463,123.381,25.008,33.586,127.273,5.556,8.333,8.404,5.014,103.743,0.665,9.039,275,15,114.775,5.556,1.676,0.597,0.897,89.936,35.006,76,20,250,36.325,123.42,2976.538,85,186708,128.185,64.033,130,7,255,36.451,123.832,4242.429,130,266113,9.478,8.339,2,0,59,36.503,123.711,313.679,7,19676,37.422,18.05,26,11,136,36.455,123.72,1238.534,33,77689
25,13.599,7.537,123.753,15.106,5.808,126.515,3.283,5.556,5.523,3.135,91.822,0.749,5.607,59,21,97.765,3.279,1.761,0.568,0.923,41.788,14.781,35,11,100,7.563,123.826,568.26,39,35645,36.627,11.258,34,8,67,7.64,123.763,498.082,36,31243,2.259,2.262,0,0,13,7.598,123.833,30.721,2,1927,22.912,8.735,19,10,73,7.583,123.827,311.575,21,19544
26,16.931,97.278,123.782,15.882,95.076,126.515,4.293,5.429,5.342,4.035,100.172,0.844,5.547,766,21,101.821,4.293,1.324,0.755,0.939,103.085,32.97,78,37,220,97.268,123.73,1745.289,98,109476,128.923,65.245,220,20,253,97.3,124.005,2182.744,125,136916,8.027,6.811,2,0,55,97.351,123.946,135.907,6,8525,36.406,13.667,26,12,96,97.31,123.898,616.374,34,38663
27,6.377,103.715,125.003,10.438,101.768,126.263,3.662,2.778,3.916,2.073,156.776,0.736,4.013,806,30,155.854,2.255,1.889,0.529,0.895,36.078,10.956,34,13,70,103.61,125.01,230.062,34,14431,26.883,7.95,24,11,49,103.648,124.948,171.427,25,10753,8.68,5.584,5,0,34,103.828,124.879,55.351,8,3472,49.672,35.391,35,17,255,103.929,125.062,316.756,41,19869
28,13.981,71.198,123.774,14.065,69.192,126.01,4.293,4.293,4.419,4.028,143.343,0.888,4.697,549,31,143.746,4.167,1.097,0.911,0.954,37.82,11.902,36,13,81,71.112,123.717,528.771,37,33168,21.489,7.215,20,6,53,71.034,123.772,300.447,20,18846,4.117,3.914,2,0,29,71.42,124.134,57.567,3,3611,29.885,15.63,21,11,110,71.221,123.988,417.829,25,26209
