,P7,P14,P28,P49,P70
0,0.6747299727662357,0.7457483567038623,0.22146264999292076,0.47125945050719364,0.2764166367703001
1,0.6401927547505937,0.6824506254313688,0.19961534456661387,0.33975983301230983,0.2128605582094102
2,0.5059450790215535,0.6349361497664272,0.3670973114540056,0.6633831914495728,0.5556579641382519
3,0.7800265611059035,0.6311809561580289,0.3785879696603148,0.521933908328001,0.11057911958845042
4,0.5948853256636082,0.7349518284835757,0.18852489796384986,0.5534352613422366,0.10494797986975796
5,0.5274843493101,0.5217827376562434,0.13468931350001057,0.4836977291455143,0.20515558619007906
6,0.6051825228113553,0.6942639782985924,0.28407796657986284,0.31210940174510804,0.20174154725282437
7,0.6090167190117692,0.6001846307949443,0.5841077069123414,0.5022095208830368,0.26431708401810033
8,0.5703011200764027,0.67065850619982,0.14333837458944446,0.4610238454032308,0.26975615857149426
9,0.5642316245595049,0.406255884756087,0.26934890394717187,0.3949779194818394,0.499487880103648
10,0.707676222495428,0.6094913114133483,0.08048046516815367,0.44076195757131376,0.3745566406075408
11,0.614202752272616,0.30689047789471324,0.10281897659027449,0.3782943175195717,0.18200134653387756
12,0.6210684929844505,0.6057198926158682,0.15821373854739898,0.42567032376223574,0.1485718834413855
13,0.44006336969639115,0.6143197032275551,0.4923486745781652,0.29085090967774735,0.3316012933351311
14,0.6768740684525416,0.6028994483273462,0.40498631343055835,0.4073053668684319,0.24274196205070195
15,0.6084306277055916,0.7316823919335989,0.3100397628158025,0.38225625583784223,0.3366880878632573
16,0.7186950878875997,0.6680008091665598,0.28634942312613876,0.061287453225890236,0.3041795211964482
17,0.6930663663991337,0.5441682788590478,0.26171366688477327,0.24158167919107051,0.40103244019628764
18,0.6192980640207735,0.5462292904888442,0.15492681004731243,0.268147371883601,0.1780287942539312
19,0.2886099127848658,0.33622495942937725,0.43851549153682606,0.24412505961910472,0.3883307492652468
20,0.5375601755769776,0.4947823929303137,0.17816933785164837,0.2505003271861257,0.4705811583144209
21,0.6190053404102231,0.20819084735771365,0.2859142436958704,0.42367537574360276,0.27344652347799403
22,0.487838434691035,0.6167505678245565,0.06102711028488052,0.5311135607841304,0.22444798016265255
23,0.5952949675734522,0.504096756296154,0.20583920613657186,0.20479420954764624,0.06906052989286274
24,0.5329076887278668,0.6898551231191308,0.2951104149515906,0.5459023539900701,0.32882520169557233
25,0.5933716986986738,0.6628797323540506,0.282141550130264,0.6157115395536809,0.1835303188801577
26,0.5014001924661534,0.5616777541086752,0.1353144496752739,0.5417962748938685,0.45421728696682623
27,0.45060209128869705,0.6155062050267237,0.12598771207226678,0.6712099143069816,0.39488684214452535
28,0.7707740023585437,0.7050728175233021,0.21969606425817642,0.5218803276013992,0.22867780965431056
