,Orientation,TR1,TR2,TR3
160,70.5,2018.0,68.0,360.0
161,71.5,2049.0,84.0,346.0
162,72.5,1915.0,82.0,301.0
163,73.5,1794.0,65.0,285.0
164,74.5,1688.0,71.0,276.0
165,75.5,1611.0,68.0,264.0
166,76.5,1544.0,79.0,242.0
167,77.5,1448.0,70.0,229.0
168,78.5,1432.0,63.0,235.0
169,79.5,1451.0,63.0,223.0
170,80.5,1415.0,81.0,228.0
171,81.5,1348.0,60.0,233.0
172,82.5,1381.0,49.0,224.0
173,83.5,1326.0,34.0,216.0
174,84.5,1358.0,34.0,208.0
175,85.5,1326.0,47.0,264.0
176,86.5,1239.0,37.0,318.0
177,87.5,1238.0,29.0,291.0
178,88.5,1302.0,31.0,286.0
179,89.5,1277.0,40.0,262.0
