,Orientation,TR1,TR2,TR3
0,-89.5,5.0,20.0,5.0
1,-88.5,1.0,19.0,9.0
2,-87.5,1.0,26.0,6.0
3,-86.5,3.0,25.0,11.0
4,-85.5,1.0,25.0,7.0
5,-84.5,3.0,24.0,13.0
6,-83.5,1.0,22.0,9.0
7,-82.5,3.0,21.0,13.0
8,-81.5,4.0,24.0,18.0
9,-80.5,2.0,23.0,14.0
10,-79.5,4.0,23.0,21.0
11,-78.5,3.0,21.0,20.0
12,-77.5,3.0,22.0,22.0
13,-76.5,4.0,27.0,30.0
14,-75.5,5.0,38.0,36.0
15,-74.5,2.0,46.0,45.0
16,-73.5,3.0,56.0,36.0
17,-72.5,5.0,51.0,36.0
18,-71.5,7.0,55.0,37.0
19,-70.5,2.0,48.0,26.0
20,-69.5,4.0,65.0,27.0
21,-68.5,8.0,64.0,24.0
22,-67.5,4.0,97.0,22.0
23,-66.5,5.0,98.0,18.0
24,-65.5,2.0,124.0,19.0
25,-64.5,10.0,108.0,28.0
26,-63.5,3.0,110.0,40.0
27,-62.5,4.0,111.0,35.0
28,-61.5,5.0,124.0,31.0
29,-60.5,5.0,111.0,42.0
30,-59.5,8.0,138.0,46.0
31,-58.5,4.0,133.0,70.0
32,-57.5,22.0,145.0,63.0
33,-56.5,15.0,165.0,64.0
34,-55.5,25.0,181.0,63.0
35,-54.5,9.0,231.0,74.0
36,-53.5,19.0,221.0,76.0
37,-52.5,35.0,273.0,64.0
38,-51.5,62.0,259.0,80.0
39,-50.5,79.0,482.0,97.0
40,-49.5,86.0,488.0,134.0
41,-48.5,126.0,482.0,156.0
42,-47.5,180.0,553.0,187.0
43,-46.5,200.0,567.0,193.0
44,-45.5,258.0,588.0,217.0
45,-44.5,309.0,673.0,228.0
46,-43.5,345.0,827.0,216.0
47,-42.5,384.0,1125.0,205.0
48,-41.5,388.0,1287.0,250.0
49,-40.5,560.0,1744.0,239.0
50,-39.5,844.0,2195.0,245.0
51,-38.5,1082.0,2855.0,257.0
52,-37.5,1456.0,3985.0,277.0
53,-36.5,1827.0,5858.0,392.0
54,-35.5,2047.0,8146.0,516.0
55,-34.5,2563.0,11430.0,815.0
56,-33.5,3064.0,13465.0,894.0
57,-32.5,4317.0,16392.0,927.0
58,-31.5,5744.0,19326.0,1160.0
59,-30.5,7236.0,22708.0,1513.0
60,-29.5,9635.0,27525.0,1826.0
61,-28.5,11373.0,34038.0,2394.0
62,-27.5,12546.0,39580.0,2991.0
63,-26.5,14196.0,43064.0,3684.0
64,-25.5,15304.0,43879.0,4434.0
65,-24.5,17551.0,45839.0,5391.0
66,-23.5,20585.0,46195.0,6522.0
67,-22.5,23905.0,47858.0,8120.0
68,-21.5,27997.0,47435.0,9948.0
69,-20.5,30941.0,44797.0,12376.0
70,-19.5,33738.0,42721.0,14658.0
71,-18.5,37168.0,41252.0,17080.0
72,-17.5,39724.0,39642.0,20551.0
73,-16.5,43728.0,36374.0,23957.0
74,-15.5,46138.0,34430.0,25917.0
75,-14.5,46935.0,31654.0,27419.0
76,-13.5,48591.0,28467.0,28957.0
77,-12.5,48081.0,26125.0,30525.0
78,-11.5,47234.0,24156.0,31231.0
79,-10.5,47006.0,21817.0,32451.0
80,-9.5,44685.0,20248.0,33108.0
81,-8.5,41749.0,18346.0,35148.0
82,-7.5,38776.0,16875.0,35453.0
83,-6.5,35933.0,14969.0,35750.0
84,-5.5,31785.0,13613.0,37801.0
85,-4.5,27674.0,12044.0,38430.0
86,-3.5,23553.0,10068.0,39530.0
87,-2.5,21399.0,8904.0,40459.0
88,-1.5,18585.0,8147.0,38803.0
89,-0.5,15683.0,7094.0,38199.0
90,0.5,13850.0,5794.0,36756.0
91,1.5,11761.0,4977.0,35167.0
92,2.5,10566.0,4316.0,32299.0
93,3.5,8987.0,3900.0,29475.0
94,4.5,7834.0,3542.0,28072.0
95,5.5,6266.0,2915.0,25231.0
96,6.5,5461.0,2504.0,22434.0
97,7.5,4561.0,2281.0,20423.0
98,8.5,3948.0,1877.0,19069.0
99,9.5,3311.0,1635.0,17177.0
100,10.5,2754.0,1596.0,15307.0
101,11.5,2392.0,1409.0,12971.0
102,12.5,1925.0,1299.0,10991.0
103,13.5,1603.0,1096.0,8748.0
104,14.5,1267.0,933.0,6633.0
105,15.5,1009.0,907.0,5616.0
106,16.5,844.0,856.0,4899.0
107,17.5,751.0,784.0,4056.0
108,18.5,670.0,814.0,3039.0
109,19.5,581.0,768.0,2497.0
110,20.5,438.0,511.0,1935.0
111,21.5,384.0,423.0,1776.0
112,22.5,324.0,376.0,1588.0
113,23.5,190.0,393.0,1335.0
114,24.5,156.0,341.0,1205.0
115,25.5,118.0,347.0,1022.0
116,26.5,86.0,316.0,886.0
117,27.5,66.0,305.0,837.0
118,28.5,58.0,311.0,615.0
119,29.5,67.0,337.0,447.0
120,30.5,55.0,323.0,397.0
121,31.5,58.0,242.0,403.0
122,32.5,65.0,197.0,371.0
123,33.5,47.0,201.0,307.0
124,34.5,57.0,167.0,137.0
125,35.5,45.0,188.0,120.0
126,36.5,45.0,158.0,105.0
127,37.5,33.0,201.0,62.0
128,38.5,24.0,204.0,54.0
129,39.5,22.0,169.0,37.0
130,40.5,23.0,166.0,26.0
131,41.5,17.0,174.0,31.0
132,42.5,21.0,176.0,8.0
133,43.5,19.0,167.0,10.0
134,44.5,16.0,186.0,14.0
135,45.5,16.0,193.0,11.0
136,46.5,18.0,167.0,11.0
137,47.5,13.0,194.0,9.0
138,48.5,19.0,137.0,16.0
139,49.5,17.0,77.0,7.0
140,50.5,20.0,81.0,10.0
141,51.5,22.0,67.0,14.0
142,52.5,17.0,79.0,6.0
143,53.5,2.0,76.0,11.0
144,54.5,2.0,78.0,13.0
145,55.5,2.0,60.0,10.0
146,56.5,4.0,55.0,13.0
147,57.5,0.0,50.0,15.0
148,58.5,4.0,39.0,8.0
149,59.5,3.0,29.0,11.0
150,60.5,2.0,37.0,21.0
151,61.5,3.0,31.0,11.0
152,62.5,2.0,34.0,16.0
153,63.5,3.0,30.0,14.0
154,64.5,4.0,30.0,15.0
155,65.5,5.0,20.0,23.0
156,66.5,4.0,23.0,21.0
157,67.5,6.0,24.0,26.0
158,68.5,2.0,26.0,33.0
159,69.5,0.0,22.0,34.0
160,70.5,0.0,18.0,3.0
161,71.5,0.0,21.0,6.0
162,72.5,0.0,19.0,2.0
163,73.5,0.0,18.0,0.0
164,74.5,0.0,24.0,0.0
165,75.5,0.0,17.0,7.0
166,76.5,0.0,20.0,4.0
167,77.5,0.0,23.0,2.0
168,78.5,0.0,12.0,0.0
169,79.5,0.0,24.0,7.0
170,80.5,0.0,19.0,6.0
171,81.5,1.0,18.0,3.0
172,82.5,0.0,25.0,3.0
173,83.5,1.0,22.0,4.0
174,84.5,0.0,24.0,2.0
175,85.5,1.0,24.0,6.0
176,86.5,0.0,28.0,5.0
177,87.5,1.0,22.0,4.0
178,88.5,2.0,23.0,7.0
179,89.5,1.0,28.0,7.0
