,Orientation,TR1,TR2,TR3
0,-89.5,8.0,68.0,59.0
1,-88.5,5.0,99.0,86.0
2,-87.5,7.0,91.0,60.0
3,-86.5,8.0,100.0,83.0
4,-85.5,5.0,97.0,59.0
5,-84.5,5.0,104.0,95.0
6,-83.5,7.0,107.0,82.0
7,-82.5,4.0,135.0,86.0
8,-81.5,12.0,138.0,92.0
9,-80.5,8.0,106.0,120.0
10,-79.5,7.0,110.0,140.0
11,-78.5,12.0,99.0,129.0
12,-77.5,14.0,93.0,132.0
13,-76.5,7.0,103.0,133.0
14,-75.5,3.0,117.0,143.0
15,-74.5,12.0,128.0,126.0
16,-73.5,4.0,129.0,142.0
17,-72.5,6.0,112.0,140.0
18,-71.5,8.0,114.0,153.0
19,-70.5,13.0,123.0,118.0
20,-69.5,9.0,110.0,117.0
21,-68.5,7.0,117.0,106.0
22,-67.5,8.0,103.0,97.0
23,-66.5,14.0,106.0,114.0
24,-65.5,7.0,122.0,111.0
25,-64.5,9.0,137.0,101.0
26,-63.5,12.0,168.0,95.0
27,-62.5,7.0,145.0,81.0
28,-61.5,9.0,166.0,110.0
29,-60.5,17.0,231.0,92.0
30,-59.5,14.0,217.0,100.0
31,-58.5,9.0,226.0,133.0
32,-57.5,17.0,207.0,175.0
33,-56.5,25.0,257.0,243.0
34,-55.5,22.0,267.0,245.0
35,-54.5,26.0,310.0,234.0
36,-53.5,30.0,366.0,257.0
37,-52.5,34.0,485.0,298.0
38,-51.5,35.0,614.0,305.0
39,-50.5,38.0,582.0,316.0
40,-49.5,39.0,538.0,370.0
41,-48.5,53.0,645.0,369.0
42,-47.5,61.0,790.0,377.0
43,-46.5,79.0,913.0,483.0
44,-45.5,101.0,976.0,580.0
45,-44.5,113.0,1108.0,654.0
46,-43.5,157.0,1105.0,939.0
47,-42.5,152.0,1350.0,1194.0
48,-41.5,197.0,2010.0,1553.0
49,-40.5,235.0,2248.0,1922.0
50,-39.5,303.0,2503.0,2451.0
51,-38.5,314.0,3118.0,2590.0
52,-37.5,426.0,3826.0,2972.0
53,-36.5,544.0,4335.0,3446.0
54,-35.5,605.0,5029.0,4080.0
55,-34.5,645.0,6267.0,4287.0
56,-33.5,765.0,6997.0,5015.0
57,-32.5,885.0,7906.0,5629.0
58,-31.5,1095.0,9156.0,6865.0
59,-30.5,1637.0,10585.0,7300.0
60,-29.5,2339.0,11474.0,7532.0
61,-28.5,2717.0,13007.0,8121.0
62,-27.5,3128.0,14767.0,8603.0
