,Orientation,TR1,TR2,TR3
0,-89.5,83.0,15.0,95.0
1,-88.5,89.0,27.0,136.0
2,-87.5,86.0,29.0,117.0
3,-86.5,101.0,37.0,106.0
4,-85.5,91.0,30.0,112.0
5,-84.5,98.0,23.0,125.0
6,-83.5,101.0,32.0,108.0
7,-82.5,110.0,27.0,114.0
8,-81.5,116.0,21.0,126.0
9,-80.5,112.0,26.0,110.0
10,-79.5,129.0,24.0,119.0
11,-78.5,141.0,38.0,118.0
12,-77.5,138.0,31.0,105.0
13,-76.5,141.0,23.0,113.0
14,-75.5,131.0,31.0,128.0
15,-74.5,121.0,36.0,135.0
16,-73.5,124.0,25.0,125.0
17,-72.5,141.0,30.0,140.0
18,-71.5,125.0,24.0,153.0
19,-70.5,171.0,35.0,174.0
20,-69.5,151.0,47.0,189.0
21,-68.5,199.0,54.0,237.0
22,-67.5,187.0,47.0,273.0
23,-66.5,210.0,58.0,323.0
24,-65.5,207.0,70.0,303.0
25,-64.5,214.0,79.0,294.0
26,-63.5,200.0,100.0,279.0
27,-62.5,213.0,163.0,293.0
28,-61.5,201.0,183.0,328.0
29,-60.5,216.0,186.0,366.0
30,-59.5,243.0,194.0,416.0
31,-58.5,261.0,215.0,485.0
32,-57.5,359.0,236.0,552.0
33,-56.5,410.0,249.0,750.0
34,-55.5,438.0,263.0,818.0
35,-54.5,484.0,382.0,860.0
36,-53.5,537.0,407.0,854.0
37,-52.5,652.0,433.0,1005.0
38,-51.5,819.0,411.0,908.0
39,-50.5,787.0,453.0,1017.0
40,-49.5,921.0,473.0,1131.0
41,-48.5,740.0,492.0,1268.0
42,-47.5,734.0,513.0,1454.0
43,-46.5,794.0,532.0,1491.0
44,-45.5,849.0,545.0,1551.0
45,-44.5,934.0,579.0,1652.0
46,-43.5,1192.0,639.0,1715.0
47,-42.5,1354.0,719.0,1823.0
48,-41.5,1516.0,762.0,1944.0
49,-40.5,1673.0,855.0,2185.0
50,-39.5,1921.0,953.0,2421.0
51,-38.5,1963.0,1152.0,2695.0
52,-37.5,1891.0,1430.0,2854.0
53,-36.5,2135.0,1706.0,3172.0
54,-35.5,2289.0,2414.0,3246.0
55,-34.5,2693.0,3325.0,3511.0
56,-33.5,3174.0,4130.0,4053.0
57,-32.5,3852.0,4789.0,4256.0
58,-31.5,4660.0,6004.0,4637.0
59,-30.5,5399.0,6969.0,5091.0
60,-29.5,6096.0,8064.0,5508.0
61,-28.5,6746.0,8819.0,5894.0
62,-27.5,7966.0,9820.0,6725.0
63,-26.5,9230.0,11440.0,7596.0
64,-25.5,10462.0,12787.0,8499.0
65,-24.5,12706.0,13092.0,9349.0
66,-23.5,14733.0,13118.0,10992.0
67,-22.5,18309.0,14525.0,12313.0
68,-21.5,20404.0,14643.0,13545.0
69,-20.5,22076.0,15798.0,14357.0
70,-19.5,25176.0,17103.0,15477.0
71,-18.5,27754.0,18440.0,16290.0
72,-17.5,30137.0,20020.0,17269.0
73,-16.5,31914.0,21396.0,18135.0
74,-15.5,33521.0,21899.0,20313.0
75,-14.5,33992.0,22702.0,21862.0
76,-13.5,35168.0,24475.0,24296.0
77,-12.5,36289.0,25225.0,26910.0
78,-11.5,37407.0,25729.0,29594.0
79,-10.5,37922.0,27088.0,31107.0
80,-9.5,38883.0,27737.0,33022.0
81,-8.5,38066.0,28406.0,33505.0
82,-7.5,36259.0,27710.0,33076.0
83,-6.5,33798.0,27564.0,32170.0
84,-5.5,32410.0,26917.0,31100.0
85,-4.5,30475.0,27212.0,30789.0
86,-3.5,28924.0,26562.0,30522.0
87,-2.5,26162.0,26912.0,30233.0
88,-1.5,23344.0,26922.0,28957.0
89,-0.5,21950.0,26241.0,27178.0
90,0.5,20009.0,25504.0,25889.0
91,1.5,18138.0,26031.0,24150.0
92,2.5,16842.0,25080.0,23356.0
93,3.5,16442.0,23066.0,21876.0
94,4.5,14716.0,22011.0,19826.0
95,5.5,13360.0,20728.0,18307.0
96,6.5,12557.0,20644.0,16091.0
97,7.5,12067.0,20858.0,15207.0
98,8.5,10476.0,19480.0,14003.0
99,9.5,9384.0,18119.0,12586.0
100,10.5,8376.0,16215.0,11079.0
101,11.5,7426.0,15126.0,9837.0
102,12.5,6562.0,15097.0,9022.0
