,Orientation,TR1,TR2,TR3
0,-89.5,1652.0,3215.0,1770.0
1,-88.5,1659.0,3065.0,1789.0
2,-87.5,1731.0,3063.0,1747.0
3,-86.5,1758.0,3140.0,1838.0
4,-85.5,1737.0,3101.0,1729.0
5,-84.5,1625.0,3229.0,1728.0
6,-83.5,1689.0,3155.0,1740.0
7,-82.5,1696.0,3283.0,1802.0
8,-81.5,1772.0,3240.0,1889.0
9,-80.5,1761.0,3253.0,1869.0
10,-79.5,1820.0,3388.0,1949.0
11,-78.5,1831.0,3321.0,1988.0
12,-77.5,1931.0,3506.0,2034.0
13,-76.5,2077.0,3499.0,2015.0
14,-75.5,1973.0,3649.0,2033.0
15,-74.5,2190.0,3749.0,2124.0
16,-73.5,2158.0,3857.0,2147.0
17,-72.5,2243.0,3750.0,2189.0
18,-71.5,2176.0,3854.0,2217.0
19,-70.5,2385.0,4036.0,2282.0
20,-69.5,2460.0,4047.0,2342.0
21,-68.5,2548.0,4095.0,2388.0
22,-67.5,2803.0,4111.0,2486.0
23,-66.5,2920.0,4254.0,2714.0
24,-65.5,2993.0,4390.0,2815.0
25,-64.5,3193.0,4654.0,2786.0
26,-63.5,3575.0,4755.0,3028.0
27,-62.5,3538.0,4971.0,3034.0
28,-61.5,3798.0,5281.0,3231.0
29,-60.5,3916.0,5377.0,3369.0
30,-59.5,4184.0,5659.0,3506.0
31,-58.5,4606.0,5943.0,3696.0
32,-57.5,4947.0,6325.0,3799.0
33,-56.5,5363.0,6555.0,4137.0
34,-55.5,5691.0,6968.0,4376.0
35,-54.5,5879.0,7021.0,4474.0
36,-53.5,6525.0,7205.0,4625.0
37,-52.5,7007.0,7791.0,4800.0
38,-51.5,7317.0,7850.0,5009.0
39,-50.5,7717.0,8223.0,5321.0
40,-49.5,8011.0,8747.0,5689.0
41,-48.5,8297.0,9148.0,5755.0
42,-47.5,8417.0,9216.0,5729.0
43,-46.5,8630.0,9418.0,6103.0
44,-45.5,9015.0,9415.0,6511.0
45,-44.5,9078.0,9459.0,6518.0
46,-43.5,9285.0,9556.0,6697.0
47,-42.5,9563.0,9351.0,7028.0
48,-41.5,9743.0,9119.0,7107.0
49,-40.5,9815.0,9119.0,7638.0
50,-39.5,9955.0,9023.0,7457.0
51,-38.5,9730.0,8662.0,7884.0
52,-37.5,9796.0,8491.0,7930.0
53,-36.5,9736.0,8309.0,7844.0
54,-35.5,9467.0,8095.0,7683.0
55,-34.5,9524.0,7984.0,7464.0
56,-33.5,9358.0,7956.0,7417.0
57,-32.5,9197.0,7581.0,7371.0
58,-31.5,9193.0,7297.0,7065.0
59,-30.5,9291.0,7224.0,6974.0
60,-29.5,9191.0,7051.0,6797.0
61,-28.5,8963.0,7091.0,6758.0
62,-27.5,8909.0,6942.0,6537.0
63,-26.5,8888.0,6609.0,6371.0
64,-25.5,8770.0,6418.0,6472.0
65,-24.5,8727.0,6155.0,6242.0
66,-23.5,8694.0,5869.0,6215.0
67,-22.5,8818.0,5708.0,6464.0
68,-21.5,8715.0,5522.0,6517.0
69,-20.5,8304.0,5329.0,6539.0
70,-19.5,8193.0,5186.0,6352.0
71,-18.5,8154.0,5179.0,6397.0
72,-17.5,8017.0,4821.0,6500.0
73,-16.5,8214.0,4801.0,6408.0
74,-15.5,8162.0,4596.0,6150.0
75,-14.5,7966.0,4453.0,6376.0
76,-13.5,7774.0,4556.0,6267.0
77,-12.5,7806.0,4298.0,6231.0
78,-11.5,7675.0,4303.0,6354.0
79,-10.5,7639.0,4125.0,6316.0
80,-9.5,7574.0,4067.0,6369.0
81,-8.5,7527.0,4015.0,6573.0
82,-7.5,7289.0,4038.0,6533.0
83,-6.5,7365.0,4036.0,6646.0
84,-5.5,7278.0,3965.0,6597.0
85,-4.5,7250.0,3933.0,6633.0
86,-3.5,7392.0,3860.0,6813.0
87,-2.5,7344.0,3959.0,6716.0
88,-1.5,7273.0,3801.0,6888.0
89,-0.5,7232.0,3945.0,6850.0
90,0.5,7331.0,3919.0,6883.0
91,1.5,7082.0,3831.0,7069.0
92,2.5,7194.0,3861.0,7188.0
93,3.5,7262.0,3878.0,7535.0
94,4.5,7273.0,3898.0,7544.0
